Sample,Profile,Models_Down,Models_Up,Models_Tied,Sign_P_Value
full,elder_text_heavy,10,4,2,0.179565
full,elder_zoom_heavy,9,5,2,0.423950
full,elder_combo_max,11,3,2,0.057373
full,elder_combo_mid,10,2,4,0.038574
full,colorblind_deuteranomaly,11,2,3,0.022461
primary,elder_text_heavy,10,4,2,0.179565
primary,elder_zoom_heavy,9,5,2,0.423950
primary,elder_combo_max,11,3,2,0.057373
primary,elder_combo_mid,10,2,4,0.038574
primary,colorblind_deuteranomaly,9,3,4,0.145996
precautionary,elder_text_heavy,9,3,4,0.145996
precautionary,elder_zoom_heavy,10,4,2,0.179565
precautionary,elder_combo_max,11,3,2,0.057373
precautionary,elder_combo_mid,9,3,4,0.145996
precautionary,colorblind_deuteranomaly,9,3,4,0.145996
uniform,elder_text_heavy,9,3,4,0.145996
uniform,elder_zoom_heavy,10,4,2,0.179565
uniform,elder_combo_max,11,3,2,0.057373
uniform,elder_combo_mid,9,3,4,0.145996
uniform,colorblind_deuteranomaly,8,2,6,0.109375
