screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[178, 253]",178,253,95,221,266,283,1,1,1,bracket,vision,0,
clock,8:30 AM,baseline,co_present,"[248, 380]",248,380,95,304,393,459,1,1,1,bracket,vision,0,
clock,Sun Sat,baseline,co_present,"[174, 599]",174,599,95,570,256,632,1,1,1,bracket,vision,0,
clock,9:00 AM,baseline,co_present,"[254, 730]",254,730,95,653,408,808,1,1,1,bracket,vision,0,
clock,World Clock,baseline,co_present,"[323, 2163]",323,2163,221,2162,426,2202,1,1,1,bracket,vision,0,
clock,Timers,baseline,co_present,"[540, 2151]",540,2151,482,2162,596,2202,1,1,1,bracket,vision,0,
clock,Stopwatch,baseline,co_present,"[755, 2154]",755,2154,666,2162,845,2202,1,1,1,bracket,vision,0,
clock,Bedtime,baseline,co_present,"[971, 2154]",971,2154,900,2162,1042,2202,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_text_heavy,co_present,"[196, 262]",196,262,95,221,319,304,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_text_heavy,co_present,"[247, 402]",247,402,95,325,393,480,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_text_heavy,co_present,"[201, 630]",201,630,95,591,309,674,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_text_heavy,co_present,"[254, 774]",254,774,95,695,408,850,1,1,1,bracket,vision,0,
clock,World Clock,elder_text_heavy,co_present,"[323, 2154]",323,2154,216,2160,432,2203,1,1,1,bracket,vision,0,
clock,Timers,elder_text_heavy,co_present,"[540, 2151]",540,2151,478,2160,600,2203,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_text_heavy,co_present,"[755, 2159]",755,2159,660,2160,851,2203,1,1,1,bracket,vision,0,
clock,Bedtime,elder_text_heavy,co_present,"[971, 2148]",971,2148,896,2160,1047,2203,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[204, 285]",204,285,108,252,303,322,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_zoom_heavy,co_present,"[287, 434]",287,434,108,346,448,523,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_zoom_heavy,co_present,"[199, 685]",199,685,108,649,293,719,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_zoom_heavy,co_present,"[290, 830]",290,830,108,743,466,920,1,1,1,bracket,vision,0,
clock,World Clock,elder_zoom_heavy,co_present,"[323, 2101]",323,2101,221,2130,426,2170,1,1,1,bracket,vision,0,
clock,Timers,elder_zoom_heavy,co_present,"[540, 2103]",540,2103,483,2130,597,2170,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_zoom_heavy,co_present,"[755, 2144]",755,2144,666,2130,845,2170,1,1,1,bracket,vision,0,
clock,Bedtime,elder_zoom_heavy,co_present,"[971, 2103]",971,2103,901,2130,1043,2170,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_combo_max,co_present,"[269, 331]",269,331,117,273,419,386,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_combo_max,co_present,"[309, 512]",309,512,117,412,495,609,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_combo_max,co_present,"[262, 803]",262,803,117,746,403,859,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_combo_max,co_present,"[321, 979]",321,979,117,885,513,1082,1,1,1,bracket,vision,0,
clock,World Clock,elder_combo_max,co_present,"[324, 2076]",324,2076,216,2106,432,2151,0,1,0,bracket,vision,0,
clock,Timers,elder_combo_max,co_present,"[540, 2101]",540,2101,476,2106,604,2151,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_combo_max,co_present,"[755, 2062]",755,2062,654,2106,857,2151,0,1,0,bracket,vision,0,
clock,Bedtime,elder_combo_max,co_present,"[971, 2077]",971,2077,892,2106,1052,2151,0,1,0,bracket,vision,0,
clock,Mon-Fri,elder_combo_mid,co_present,"[240, 305]",240,305,108,252,378,352,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_combo_mid,co_present,"[281, 462]",281,462,108,376,448,553,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_combo_mid,co_present,"[229, 728]",229,728,108,679,363,779,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_combo_mid,co_present,"[290, 892]",290,892,108,803,466,980,1,1,1,bracket,vision,0,
clock,World Clock,elder_combo_mid,co_present,"[323, 2107]",323,2107,216,2130,432,2174,1,1,1,bracket,vision,0,
clock,Timers,elder_combo_mid,co_present,"[540, 2100]",540,2100,477,2130,603,2174,0,1,0,bracket,vision,0,
clock,Stopwatch,elder_combo_mid,co_present,"[755, 2110]",755,2110,658,2130,854,2174,1,1,1,bracket,vision,0,
clock,Bedtime,elder_combo_mid,co_present,"[971, 2103]",971,2103,894,2130,1049,2174,1,1,1,bracket,vision,0,
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[176, 251]",176,251,95,221,266,283,1,1,1,bracket,vision,0,
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[247, 380]",247,380,95,304,393,459,1,1,1,bracket,vision,0,
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[174, 601]",174,601,95,570,256,632,1,1,1,bracket,vision,0,
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[254, 733]",254,733,95,653,408,808,1,1,1,bracket,vision,0,
clock,World Clock,colorblind_deuteranomaly,co_present,"[323, 2154]",323,2154,221,2162,426,2202,1,1,1,bracket,vision,0,
clock,Timers,colorblind_deuteranomaly,co_present,"[540, 2166]",540,2166,482,2162,596,2202,1,1,1,bracket,vision,0,
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[755, 2158]",755,2158,666,2162,845,2202,1,1,1,bracket,vision,0,
clock,Bedtime,colorblind_deuteranomaly,co_present,"[971, 2159]",971,2159,900,2162,1042,2202,1,1,1,bracket,vision,0,
contacts,All contacts,baseline,co_present,"[241, 251]",241,251,142,226,342,279,1,1,1,bracket,vision,0,
contacts,Your info,baseline,co_present,"[283, 407]",283,407,221,389,346,431,1,1,1,bracket,vision,0,
contacts,No contacts yet,baseline,co_present,"[538, 1487]",538,1487,317,1446,763,1530,1,1,1,bracket,vision,0,
contacts,Contacts,baseline,co_present,"[179, 2143]",179,2143,110,2161,248,2203,1,1,1,bracket,vision,0,
contacts,Highlights,baseline,co_present,"[540, 2145]",540,2145,463,2161,616,2203,1,1,1,bracket,vision,0,
contacts,Organize,baseline,co_present,"[899, 2124]",899,2124,831,2161,968,2203,0,1,0,bracket,vision,0,
contacts,All contacts,elder_text_heavy,co_present,"[288, 251]",288,251,142,214,436,291,1,1,1,bracket,vision,0,
contacts,Your info,elder_text_heavy,co_present,"[309, 417]",309,417,221,389,400,448,1,1,1,bracket,vision,0,
contacts,No contacts yet,elder_text_heavy,co_present,"[540, 1501]",540,1501,289,1453,792,1549,1,1,1,bracket,vision,0,
contacts,Contacts,elder_text_heavy,co_present,"[178, 2148]",178,2148,84,2147,275,2203,1,1,1,bracket,vision,0,
contacts,Highlights,elder_text_heavy,co_present,"[540, 2130]",540,2130,434,2147,646,2203,1,1,1,bracket,vision,0,
contacts,Organize,elder_text_heavy,co_present,"[900, 2144]",900,2144,805,2147,994,2203,1,1,1,bracket,vision,0,
contacts,All contacts,elder_zoom_heavy,co_present,"[276, 285]",276,285,162,258,394,318,1,1,1,bracket,vision,0,
contacts,Your info,elder_zoom_heavy,co_present,"[323, 468]",323,468,252,444,396,492,1,1,1,bracket,vision,0,
contacts,No contacts yet,elder_zoom_heavy,co_present,"[540, 1533]",540,1533,284,1482,796,1578,1,1,1,bracket,vision,0,
contacts,Contacts,elder_zoom_heavy,co_present,"[180, 2094]",180,2094,101,2130,258,2178,0,1,0,bracket,vision,0,
contacts,Highlights,elder_zoom_heavy,co_present,"[540, 2088]",540,2088,452,2130,627,2178,0,1,0,bracket,vision,0,
