screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[179, 251]",179,251,95,221,266,283,1,1,1,bracket,vision,0,
clock,8:30 AM,baseline,co_present,"[245, 384]",245,384,95,304,393,459,1,1,1,bracket,vision,0,
clock,Sun Sat,baseline,co_present,"[174, 601]",174,601,95,570,256,632,1,1,1,bracket,vision,0,
clock,9:00 AM,baseline,co_present,"[254, 729]",254,729,95,653,408,808,1,1,1,bracket,vision,0,
clock,World Clock,baseline,co_present,"[324, 2158]",324,2158,221,2162,426,2202,1,1,1,bracket,vision,0,
clock,Timers,baseline,co_present,"[539, 2166]",539,2166,482,2162,596,2202,1,1,1,bracket,vision,0,
clock,Stopwatch,baseline,co_present,"[756, 2165]",756,2165,666,2162,845,2202,1,1,1,bracket,vision,0,
clock,Bedtime,baseline,co_present,"[966, 2162]",966,2162,900,2162,1042,2202,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_text_heavy,co_present,"[207, 264]",207,264,95,221,319,304,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_text_heavy,co_present,"[242, 407]",242,407,95,325,393,480,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_text_heavy,co_present,"[201, 630]",201,630,95,591,309,674,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_text_heavy,co_present,"[249, 773]",249,773,95,695,408,850,1,1,1,bracket,vision,0,
clock,World Clock,elder_text_heavy,co_present,"[323, 2160]",323,2160,216,2160,432,2203,1,1,1,bracket,vision,0,
clock,Timers,elder_text_heavy,co_present,"[540, 2160]",540,2160,478,2160,600,2203,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_text_heavy,co_present,"[756, 2164]",756,2164,660,2160,851,2203,1,1,1,bracket,vision,0,
clock,Bedtime,elder_text_heavy,co_present,"[973, 2158]",973,2158,896,2160,1047,2203,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[202, 289]",202,289,108,252,303,322,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_zoom_heavy,co_present,"[279, 433]",279,433,108,346,448,523,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_zoom_heavy,co_present,"[200, 686]",200,686,108,649,293,719,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_zoom_heavy,co_present,"[291, 829]",291,829,108,743,466,920,1,1,1,bracket,vision,0,
clock,World Clock,elder_zoom_heavy,co_present,"[323, 2082]",323,2082,221,2130,426,2170,0,1,0,bracket,vision,0,
clock,Timers,elder_zoom_heavy,co_present,"[540, 2138]",540,2138,483,2130,597,2170,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_zoom_heavy,co_present,"[756, 2132]",756,2132,666,2130,845,2170,1,1,1,bracket,vision,0,
clock,Bedtime,elder_zoom_heavy,co_present,"[973, 2112]",973,2112,901,2130,1043,2170,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_combo_max,co_present,"[267, 329]",267,329,117,273,419,386,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_combo_max,co_present,"[305, 507]",305,507,117,412,495,609,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_combo_max,co_present,"[260, 801]",260,801,117,746,403,859,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_combo_max,co_present,"[313, 989]",313,989,117,885,513,1082,1,1,1,bracket,vision,0,
