screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[180, 251]",180,251,95,221,266,283,1,1,1,bracket,tree,62,
clock,8:30 AM,baseline,co_present,"[245, 381]",245,381,95,304,393,459,1,1,1,bracket,tree,62,
clock,Sun Sat,baseline,co_present,"[175, 600]",175,600,95,570,256,632,1,1,1,bracket,tree,62,
clock,9:00 AM,baseline,co_present,"[217, 730]",217,730,95,653,408,808,1,1,1,bracket,tree,62,
clock,World Clock,baseline,co_present,"[324, 2190]",324,2190,221,2162,426,2202,1,1,1,bracket,tree,59,
clock,Timers,baseline,co_present,"[540, 2182]",540,2182,482,2162,596,2202,1,1,1,bracket,tree,57,
clock,Stopwatch,baseline,co_present,"[756, 2184]",756,2184,666,2162,845,2202,1,1,1,bracket,tree,59,
clock,Bedtime,baseline,co_present,"[971, 2181]",971,2181,900,2162,1042,2202,1,1,1,bracket,tree,59,
clock,Mon-Fri,elder_text_heavy,co_present,"[207, 262]",207,262,95,221,319,304,1,1,1,bracket,tree,62,
clock,8:30 AM,elder_text_heavy,co_present,"[214, 401]",214,401,95,325,393,480,1,1,1,bracket,tree,62,
clock,Sun Sat,elder_text_heavy,co_present,"[201, 632]",201,632,95,591,309,674,1,1,1,bracket,tree,62,
clock,9:00 AM,elder_text_heavy,co_present,"[217, 772]",217,772,95,695,408,850,1,1,1,bracket,tree,62,
clock,World Clock,elder_text_heavy,co_present,"[324, 2181]",324,2181,216,2160,432,2203,1,1,1,bracket,tree,59,
clock,Timers,elder_text_heavy,co_present,"[540, 2182]",540,2182,478,2160,600,2203,1,1,1,bracket,tree,57,
clock,Stopwatch,elder_text_heavy,co_present,"[756, 2180]",756,2180,660,2160,851,2203,1,1,1,bracket,tree,59,
clock,Bedtime,elder_text_heavy,co_present,"[972, 2181]",972,2181,896,2160,1047,2203,1,1,1,bracket,tree,59,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[204, 286]",204,286,108,252,303,322,1,1,1,bracket,tree,62,
clock,8:30 AM,elder_zoom_heavy,co_present,"[282, 433]",282,433,108,346,448,523,1,1,1,bracket,tree,62,
clock,Sun Sat,elder_zoom_heavy,co_present,"[199, 683]",199,683,108,649,293,719,1,1,1,bracket,tree,62,
clock,9:00 AM,elder_zoom_heavy,co_present,"[289, 831]",289,831,108,743,466,920,1,1,1,bracket,tree,62,
clock,World Clock,elder_zoom_heavy,co_present,"[324, 2157]",324,2157,221,2130,426,2170,1,1,1,bracket,tree,59,
clock,Timers,elder_zoom_heavy,co_present,"[540, 2150]",540,2150,483,2130,597,2170,1,1,1,bracket,tree,57,
clock,Stopwatch,elder_zoom_heavy,co_present,"[755, 2151]",755,2151,666,2130,845,2170,1,1,1,bracket,tree,59,
clock,Bedtime,elder_zoom_heavy,co_present,"[972, 2150]",972,2150,901,2130,1043,2170,1,1,1,bracket,tree,59,
clock,Mon-Fri,elder_combo_max,co_present,"[267, 328]",267,328,117,273,419,386,1,1,1,bracket,tree,62,
clock,8:30 AM,elder_combo_max,co_present,"[309, 510]",309,510,117,412,495,609,1,1,1,bracket,tree,62,
clock,Sun Sat,elder_combo_max,co_present,"[258, 802]",258,802,117,746,403,859,1,1,1,bracket,tree,62,
clock,9:00 AM,elder_combo_max,co_present,"[317, 982]",317,982,117,885,513,1082,1,1,1,bracket,tree,62,
clock,World Clock,elder_combo_max,co_present,"[324, 2129]",324,2129,216,2106,432,2151,1,1,1,bracket,tree,59,
clock,Timers,elder_combo_max,co_present,"[540, 2130]",540,2130,476,2106,604,2151,1,1,1,bracket,tree,58,
clock,Stopwatch,elder_combo_max,co_present,"[756, 2130]",756,2130,654,2106,857,2151,1,1,1,bracket,tree,59,
clock,Bedtime,elder_combo_max,co_present,"[972, 2130]",972,2130,892,2106,1052,2151,1,1,1,bracket,tree,59,
clock,Mon-Fri,elder_combo_mid,co_present,"[243, 301]",243,301,108,252,378,352,1,1,1,bracket,tree,62,
clock,8:30 AM,elder_combo_mid,co_present,"[279, 464]",279,464,108,376,448,553,1,1,1,bracket,tree,62,
clock,Sun Sat,elder_combo_mid,co_present,"[235, 727]",235,727,108,679,363,779,1,1,1,bracket,tree,62,
clock,9:00 AM,elder_combo_mid,co_present,"[249, 891]",249,891,108,803,466,980,1,1,1,bracket,tree,62,
clock,World Clock,elder_combo_mid,co_present,"[324, 2161]",324,2161,216,2130,432,2174,1,1,1,bracket,tree,59,
clock,Timers,elder_combo_mid,co_present,"[540, 2159]",540,2159,477,2130,603,2174,1,1,1,bracket,tree,58,
clock,Stopwatch,elder_combo_mid,co_present,"[756, 2152]",756,2152,658,2130,854,2174,1,1,1,bracket,tree,59,
clock,Bedtime,elder_combo_mid,co_present,"[972, 2152]",972,2152,894,2130,1049,2174,1,1,1,bracket,tree,59,
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[180, 252]",180,252,95,221,266,283,1,1,1,bracket,tree,62,
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[245, 382]",245,382,95,304,393,459,1,1,1,bracket,tree,62,
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[175, 601]",175,601,95,570,256,632,1,1,1,bracket,tree,62,
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[249, 731]",249,731,95,653,408,808,1,1,1,bracket,tree,62,
clock,World Clock,colorblind_deuteranomaly,co_present,"[324, 2182]",324,2182,221,2162,426,2202,1,1,1,bracket,tree,59,
clock,Timers,colorblind_deuteranomaly,co_present,"[540, 2181]",540,2181,482,2162,596,2202,1,1,1,bracket,tree,57,
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[756, 2190]",756,2190,666,2162,845,2202,1,1,1,bracket,tree,59,
clock,Bedtime,colorblind_deuteranomaly,co_present,"[972, 2190]",972,2190,900,2162,1042,2202,1,1,1,bracket,tree,59,
contacts,All contacts,baseline,co_present,"[242, 253]",242,253,142,226,342,279,1,1,1,bracket,tree,66,
contacts,Your info,baseline,co_present,"[282, 409]",282,409,221,389,346,431,1,1,1,bracket,tree,68,
contacts,No contacts yet,baseline,co_present,"[539, 1486]",539,1486,317,1446,763,1530,1,1,1,bracket,tree,68,
contacts,Contacts,baseline,co_present,"[180, 2166]",180,2166,110,2161,248,2203,1,1,1,bracket,tree,65,
contacts,Highlights,baseline,co_present,"[540, 2165]",540,2165,463,2161,616,2203,1,1,1,bracket,tree,63,
contacts,Organize,baseline,co_present,"[900, 2165]",900,2165,831,2161,968,2203,1,1,1,bracket,tree,65,
contacts,All contacts,elder_text_heavy,co_present,"[290, 252]",290,252,142,214,436,291,1,1,1,bracket,tree,66,
contacts,Your info,elder_text_heavy,co_present,"[309, 418]",309,418,221,389,400,448,1,1,1,bracket,tree,68,
contacts,No contacts yet,elder_text_heavy,co_present,"[540, 1502]",540,1502,289,1453,792,1549,1,1,1,bracket,tree,68,
contacts,Contacts,elder_text_heavy,co_present,"[180, 2165]",180,2165,84,2147,275,2203,1,1,1,bracket,tree,65,
contacts,Highlights,elder_text_heavy,co_present,"[540, 2167]",540,2167,434,2147,646,2203,1,1,1,bracket,tree,63,
contacts,Organize,elder_text_heavy,co_present,"[900, 2175]",900,2175,805,2147,994,2203,1,1,1,bracket,tree,65,
contacts,All contacts,elder_zoom_heavy,co_present,"[278, 288]",278,288,162,258,394,318,1,1,1,bracket,tree,66,
contacts,Your info,elder_zoom_heavy,co_present,"[323, 468]",323,468,252,444,396,492,1,1,1,bracket,tree,68,
contacts,No contacts yet,elder_zoom_heavy,co_present,"[540, 1531]",540,1531,284,1482,796,1578,1,1,1,bracket,tree,68,
contacts,Contacts,elder_zoom_heavy,co_present,"[180, 2162]",180,2162,101,2130,258,2178,1,1,1,bracket,tree,65,
contacts,Highlights,elder_zoom_heavy,co_present,"[540, 2162]",540,2162,452,2130,627,2178,1,1,1,bracket,tree,64,
contacts,Organize,elder_zoom_heavy,co_present,"[900, 2161]",900,2161,822,2130,977,2178,1,1,1,bracket,tree,65,
contacts,All contacts,elder_combo_max,co_present,"[380, 310]",380,310,176,260,584,366,1,1,1,bracket,tree,66,
contacts,Your info,elder_combo_max,co_present,"[399, 523]",399,523,273,483,523,567,1,1,1,bracket,tree,68,
contacts,No contacts yet,elder_combo_max,co_present,"[540, 1583]",540,1583,199,1516,881,1645,1,1,1,bracket,tree,68,
contacts,Contacts,elder_combo_max,co_present,"[180, 2123]",180,2123,46,2079,314,2157,1,1,1,bracket,tree,65,
contacts,Highlights,elder_combo_max,co_present,"[540, 2121]",540,2121,390,2079,690,2157,1,1,1,bracket,tree,64,
contacts,Organize,elder_combo_max,co_present,"[900, 2124]",900,2124,766,2079,1033,2157,1,1,1,bracket,tree,65,
contacts,All contacts,elder_combo_mid,co_present,"[344, 286]",344,286,162,241,527,336,1,1,1,bracket,tree,66,
contacts,Your info,elder_combo_mid,co_present,"[360, 479]",360,479,252,444,470,516,1,1,1,bracket,tree,68,
contacts,No contacts yet,elder_combo_mid,co_present,"[540, 1550]",540,1550,242,1493,839,1605,1,1,1,bracket,tree,68,
contacts,Contacts,elder_combo_mid,co_present,"[180, 2151]",180,2151,63,2111,297,2178,1,1,1,bracket,tree,65,
contacts,Highlights,elder_combo_mid,co_present,"[540, 2161]",540,2161,409,2111,671,2178,1,1,1,bracket,tree,64,
contacts,Organize,elder_combo_mid,co_present,"[900, 2150]",900,2150,784,2111,1016,2178,1,1,1,bracket,tree,65,
contacts,All contacts,colorblind_deuteranomaly,co_present,"[241, 252]",241,252,142,226,342,279,1,1,1,bracket,tree,66,
contacts,Your info,colorblind_deuteranomaly,co_present,"[282, 409]",282,409,221,389,346,431,1,1,1,bracket,tree,68,
contacts,No contacts yet,colorblind_deuteranomaly,co_present,"[540, 1485]",540,1485,317,1446,763,1530,1,1,1,bracket,tree,68,
contacts,Contacts,colorblind_deuteranomaly,co_present,"[180, 2182]",180,2182,110,2161,248,2203,1,1,1,bracket,tree,65,
contacts,Highlights,colorblind_deuteranomaly,co_present,"[540, 2165]",540,2165,463,2161,616,2203,1,1,1,bracket,tree,63,
contacts,Organize,colorblind_deuteranomaly,co_present,"[900, 2179]",900,2179,831,2161,968,2203,1,1,1,bracket,tree,65,
dialer,Phone Number,baseline,co_present,"[540, 817]",540,817,147,900,933,1044,0,1,0,bracket,tree,89,
dialer,1,baseline,co_present,"[187, 1147]",187,1147,169,1093,203,1197,1,1,1,bracket,tree,92,
dialer,2,baseline,co_present,"[540, 1148]",540,1148,518,1097,561,1201,1,1,1,bracket,tree,91,
dialer,ABC,baseline,co_present,"[540, 1223]",540,1223,505,1201,574,1245,1,1,1,bracket,tree,92,
dialer,3,baseline,co_present,"[892, 1147]",892,1147,870,1097,914,1201,1,1,1,bracket,tree,92,
dialer,DEF,baseline,co_present,"[893, 1223]",893,1223,861,1201,924,1245,1,1,1,bracket,tree,93,
dialer,4,baseline,co_present,"[186, 1338]",186,1338,163,1288,210,1392,1,1,1,bracket,tree,92,
dialer,GHI,baseline,co_present,"[186, 1414]",186,1414,157,1392,216,1436,1,1,1,bracket,tree,93,
dialer,5,baseline,co_present,"[540, 1339]",540,1339,516,1288,562,1392,1,1,1,bracket,tree,91,
dialer,JKL,baseline,co_present,"[540, 1414]",540,1414,510,1392,569,1436,1,1,1,bracket,tree,89,
dialer,6,baseline,co_present,"[892, 1340]",892,1340,869,1288,915,1392,1,1,1,bracket,tree,92,
dialer,MNO,baseline,co_present,"[893, 1413]",893,1413,852,1392,933,1436,1,1,1,bracket,tree,93,
dialer,7,baseline,co_present,"[186, 1532]",186,1532,166,1480,208,1584,1,1,1,bracket,tree,92,
dialer,PQRS,baseline,co_present,"[187, 1606]",187,1606,142,1584,232,1628,1,1,1,bracket,tree,93,
dialer,8,baseline,co_present,"[540, 1532]",540,1532,517,1480,562,1584,1,1,1,bracket,tree,83,
