Sample,Profile,Models_Down,Models_Up,Models_Tied,Sign_P_Value
full,elder_text_heavy,6,0,0,0.031250
full,elder_zoom_heavy,3,2,1,1.000000
full,elder_combo_max,5,1,0,0.218750
full,elder_combo_mid,6,0,0,0.031250
full,colorblind_deuteranomaly,4,1,1,0.375000
primary,elder_text_heavy,6,0,0,0.031250
primary,elder_zoom_heavy,2,2,2,1.000000
primary,elder_combo_max,5,1,0,0.218750
primary,elder_combo_mid,6,0,0,0.031250
primary,colorblind_deuteranomaly,4,2,0,0.687500
precautionary,elder_text_heavy,6,0,0,0.031250
precautionary,elder_zoom_heavy,3,2,1,1.000000
precautionary,elder_combo_max,4,1,1,0.375000
precautionary,elder_combo_mid,5,0,1,0.062500
precautionary,colorblind_deuteranomaly,4,2,0,0.687500
uniform,elder_text_heavy,6,0,0,0.031250
uniform,elder_zoom_heavy,3,2,1,1.000000
uniform,elder_combo_max,4,1,1,0.375000
uniform,elder_combo_mid,5,0,1,0.062500
uniform,colorblind_deuteranomaly,4,2,0,0.687500
