screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent
clock,Mon-Fri,baseline,co_present,"[181, 249]",181,249,95,221,266,283,1,1,1,bracket,tree,62
clock,8:30 AM,baseline,co_present,"[242, 350]",242,350,95,304,393,459,1,1,1,bracket,tree,62
clock,Sun Sat,baseline,co_present,"[174, 601]",174,601,95,570,256,632,1,1,1,bracket,tree,62
clock,9:00 AM,baseline,co_present,"[235, 675]",235,675,95,653,408,808,1,1,1,bracket,tree,62
clock,Sun Sat,baseline,co_present,"[147, 602]",147,602,95,570,256,632,1,1,1,bracket,tree,62
clock,9:00 AM,baseline,co_present,"[237, 698]",237,698,95,653,408,808,1,1,1,bracket,tree,62
clock,World Clock,baseline,co_present,"[324, 2182]",324,2182,221,2162,426,2202,1,1,1,bracket,tree,59
clock,World Clock,baseline,co_present,"[324, 2192]",324,2192,221,2162,426,2202,1,1,1,bracket,tree,59
clock,Timers,baseline,co_present,"[540, 2181]",540,2181,482,2162,596,2202,1,1,1,bracket,tree,57
clock,Timers,baseline,co_present,"[540, 2182]",540,2182,482,2162,596,2202,1,1,1,bracket,tree,57
clock,Stopwatch,baseline,co_present,"[756, 2182]",756,2182,666,2162,845,2202,1,1,1,bracket,tree,59
clock,Stopwatch,baseline,co_present,"[756, 2182]",756,2182,666,2162,845,2202,1,1,1,bracket,tree,59
clock,Bedtime,baseline,co_present,"[972, 2182]",972,2182,900,2162,1042,2202,1,1,1,bracket,tree,59
clock,Bedtime,baseline,co_present,"[972, 2190]",972,2190,900,2162,1042,2202,1,1,1,bracket,tree,59
clock,Mon-Fri,elder_text_heavy,co_present,"[190, 239]",190,239,95,221,319,304,1,1,1,bracket,tree,62
clock,Mon-Fri,elder_text_heavy,co_present,"[200, 252]",200,252,95,221,319,304,1,1,1,bracket,tree,62
clock,8:30 AM,elder_text_heavy,co_present,"[245, 404]",245,404,95,325,393,480,1,1,1,bracket,tree,62
clock,8:30 AM,elder_text_heavy,co_present,"[226, 385]",226,385,95,325,393,480,1,1,1,bracket,tree,62
clock,Sun Sat,elder_text_heavy,co_present,"[190, 582]",190,582,95,591,309,674,1,1,1,bracket,tree,62
clock,Sun Sat,elder_text_heavy,co_present,"[193, 632]",193,632,95,591,309,674,1,1,1,bracket,tree,62
clock,9:00 AM,elder_text_heavy,co_present,"[234, 725]",234,725,95,695,408,850,1,1,1,bracket,tree,62
clock,World Clock,elder_text_heavy,co_present,"[304, 2184]",304,2184,216,2160,432,2203,1,1,1,bracket,tree,59
clock,9:00 AM,elder_text_heavy,co_present,"[244, 772]",244,772,95,695,408,850,1,1,1,bracket,tree,62
clock,World Clock,elder_text_heavy,co_present,"[323, 2191]",323,2191,216,2160,432,2203,1,1,1,bracket,tree,59
clock,Timers,elder_text_heavy,co_present,"[540, 2182]",540,2182,478,2160,600,2203,1,1,1,bracket,tree,57
clock,Stopwatch,elder_text_heavy,co_present,"[756, 2190]",756,2190,660,2160,851,2203,1,1,1,bracket,tree,59
clock,Timers,elder_text_heavy,co_present,"[540, 2190]",540,2190,478,2160,600,2203,1,1,1,bracket,tree,57
clock,Bedtime,elder_text_heavy,co_present,"[972, 2181]",972,2181,896,2160,1047,2203,1,1,1,bracket,tree,59
clock,Stopwatch,elder_text_heavy,co_present,"[756, 2190]",756,2190,660,2160,851,2203,1,1,1,bracket,tree,59
clock,Mon-Fri,elder_zoom_heavy,co_present,"[190, 266]",190,266,108,252,303,322,1,1,1,bracket,tree,62
clock,Bedtime,elder_text_heavy,co_present,"[951, 2181]",951,2181,896,2160,1047,2203,1,1,1,bracket,tree,59
clock,Mon-Fri,elder_zoom_heavy,co_present,"[190, 267]",190,267,108,252,303,322,1,1,1,bracket,tree,62
clock,8:30 AM,elder_zoom_heavy,co_present,"[262, 409]",262,409,108,346,448,523,1,1,1,bracket,tree,62
clock,8:30 AM,elder_zoom_heavy,co_present,"[258, 414]",258,414,108,346,448,523,1,1,1,bracket,tree,62
clock,Sun Sat,elder_zoom_heavy,co_present,"[200, 684]",200,684,108,649,293,719,1,1,1,bracket,tree,62
clock,Sun Sat,elder_zoom_heavy,co_present,"[191, 684]",191,684,108,649,293,719,1,1,1,bracket,tree,62
clock,9:00 AM,elder_zoom_heavy,co_present,"[257, 805]",257,805,108,743,466,920,1,1,1,bracket,tree,62
clock,9:00 AM,elder_zoom_heavy,co_present,"[258, 778]",258,778,108,743,466,920,1,1,1,bracket,tree,62
clock,World Clock,elder_zoom_heavy,co_present,"[324, 2150]",324,2150,221,2130,426,2170,1,1,1,bracket,tree,59
clock,World Clock,elder_zoom_heavy,co_present,"[301, 2158]",301,2158,221,2130,426,2170,1,1,1,bracket,tree,59
clock,Timers,elder_zoom_heavy,co_present,"[540, 2159]",540,2159,483,2130,597,2170,1,1,1,bracket,tree,57
clock,Timers,elder_zoom_heavy,co_present,"[540, 2150]",540,2150,483,2130,597,2170,1,1,1,bracket,tree,57
clock,Stopwatch,elder_zoom_heavy,co_present,"[756, 2150]",756,2150,666,2130,845,2170,1,1,1,bracket,tree,59
clock,Stopwatch,elder_zoom_heavy,co_present,"[756, 2158]",756,2158,666,2130,845,2170,1,1,1,bracket,tree,59
clock,Bedtime,elder_zoom_heavy,co_present,"[955, 2150]",955,2150,901,2130,1043,2170,1,1,1,bracket,tree,59
clock,Mon-Fri,elder_combo_max,co_present,"[253, 322]",253,322,117,273,419,386,1,1,1,bracket,tree,62
clock,Bedtime,elder_zoom_heavy,co_present,"[972, 2150]",972,2150,901,2130,1043,2170,1,1,1,bracket,tree,59
clock,8:30 AM,elder_combo_max,co_present,"[286, 505]",286,505,117,412,495,609,1,1,1,bracket,tree,62
clock,Mon-Fri,elder_combo_max,co_present,"[241, 307]",241,307,117,273,419,386,1,1,1,bracket,tree,62
clock,Sun Sat,elder_combo_max,co_present,"[243, 784]",243,784,117,746,403,859,1,1,1,bracket,tree,62
clock,8:30 AM,elder_combo_max,co_present,"[282, 479]",282,479,117,412,495,609,1,1,1,bracket,tree,62
clock,9:00 AM,elder_combo_max,co_present,"[307, 985]",307,985,117,885,513,1082,1,1,1,bracket,tree,62
clock,Sun Sat,elder_combo_max,co_present,"[220, 754]",220,754,117,746,403,859,1,1,1,bracket,tree,62
clock,9:00 AM,elder_combo_max,co_present,"[288, 928]",288,928,117,885,513,1082,1,1,1,bracket,tree,62
clock,World Clock,elder_combo_max,co_present,"[316, 2147]",316,2147,216,2106,432,2151,1,1,1,bracket,tree,59
clock,Timers,elder_combo_max,co_present,"[540, 2128]",540,2128,476,2106,604,2151,1,1,1,bracket,tree,58
clock,Stopwatch,elder_combo_max,co_present,"[756, 2128]",756,2128,654,2106,857,2151,1,1,1,bracket,tree,59
clock,Bedtime,elder_combo_max,co_present,"[955, 2130]",955,2130,892,2106,1052,2151,1,1,1,bracket,tree,59
clock,World Clock,elder_combo_max,co_present,"[324, 2147]",324,2147,216,2106,432,2151,1,1,1,bracket,tree,59
clock,Mon-Fri,elder_combo_mid,co_present,"[225, 289]",225,289,108,252,378,352,1,1,1,bracket,tree,62
clock,Timers,elder_combo_max,co_present,"[540, 2130]",540,2130,476,2106,604,2151,1,1,1,bracket,tree,58
clock,Stopwatch,elder_combo_max,co_present,"[756, 2134]",756,2134,654,2106,857,2151,1,1,1,bracket,tree,59
clock,8:30 AM,elder_combo_mid,co_present,"[263, 447]",263,447,108,376,448,553,1,1,1,bracket,tree,62
clock,Bedtime,elder_combo_max,co_present,"[940, 2133]",940,2133,892,2106,1052,2151,1,1,1,bracket,tree,59
clock,Sun Sat,elder_combo_mid,co_present,"[204, 683]",204,683,108,679,363,779,1,1,1,bracket,tree,62
clock,Mon-Fri,elder_combo_mid,co_present,"[215, 279]",215,279,108,252,378,352,1,1,1,bracket,tree,62
clock,9:00 AM,elder_combo_mid,co_present,"[259, 867]",259,867,108,803,466,980,1,1,1,bracket,tree,62
clock,8:30 AM,elder_combo_mid,co_present,"[248, 432]",248,432,108,376,448,553,1,1,1,bracket,tree,62
clock,Sun Sat,elder_combo_mid,co_present,"[204, 735]",204,735,108,679,363,779,1,1,1,bracket,tree,62
clock,World Clock,elder_combo_mid,co_present,"[325, 2160]",325,2160,216,2130,432,2174,1,1,1,bracket,tree,59
clock,9:00 AM,elder_combo_mid,co_present,"[256, 852]",256,852,108,803,466,980,1,1,1,bracket,tree,62
clock,Timers,elder_combo_mid,co_present,"[540, 2160]",540,2160,477,2130,603,2174,1,1,1,bracket,tree,58
clock,World Clock,elder_combo_mid,co_present,"[302, 2164]",302,2164,216,2130,432,2174,1,1,1,bracket,tree,59
clock,Timers,elder_combo_mid,co_present,"[540, 2149]",540,2149,477,2130,603,2174,1,1,1,bracket,tree,58
clock,Stopwatch,elder_combo_mid,co_present,"[756, 2160]",756,2160,658,2130,854,2174,1,1,1,bracket,tree,59
clock,Stopwatch,elder_combo_mid,co_present,"[756, 2152]",756,2152,658,2130,854,2174,1,1,1,bracket,tree,59
clock,Bedtime,elder_combo_mid,co_present,"[952, 2161]",952,2161,894,2130,1049,2174,1,1,1,bracket,tree,59
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[164, 237]",164,237,95,221,266,283,1,1,1,bracket,tree,62
clock,Bedtime,elder_combo_mid,co_present,"[939, 2158]",939,2158,894,2130,1049,2174,1,1,1,bracket,tree,59
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[164, 229]",164,229,95,221,266,283,1,1,1,bracket,tree,62
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[226, 380]",226,380,95,304,393,459,1,1,1,bracket,tree,62
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[247, 381]",247,381,95,304,393,459,1,1,1,bracket,tree,62
