screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,Mon-Fri,baseline,"[181, 252]",181,252,95,221,266,283,1
clock,8:30 AM,baseline,"[206, 380]",206,380,95,304,393,459,1
clock,Sun Sat,baseline,"[174, 600]",174,600,95,570,256,632,1
clock,9:00 AM,baseline,"[300, 732]",300,732,95,653,408,808,1
clock,World Clock,baseline,"[325, 2179]",325,2179,221,2162,426,2202,1
clock,Timers,baseline,"[540, 2177]",540,2177,482,2162,596,2202,1
clock,Stopwatch,baseline,"[755, 2185]",755,2185,666,2162,845,2202,1
clock,Bedtime,baseline,"[971, 2178]",971,2178,900,2162,1042,2202,1
clock,Mon-Fri,elder_text_heavy,"[210, 263]",210,263,95,221,319,304,1
clock,8:30 AM,elder_text_heavy,"[365, 430]",365,430,95,325,393,480,1
clock,Sun Sat,elder_text_heavy,"[201, 630]",201,630,95,591,309,674,1
clock,9:00 AM,elder_text_heavy,"[250, 757]",250,757,95,695,408,850,1
clock,World Clock,elder_text_heavy,"[324, 2114]",324,2114,216,2160,432,2203,0
clock,Timers,elder_text_heavy,"[540, 2168]",540,2168,478,2160,600,2203,1
clock,Stopwatch,elder_text_heavy,"[756, 2157]",756,2157,660,2160,851,2203,1
clock,Bedtime,elder_text_heavy,"[970, 2173]",970,2173,896,2160,1047,2203,1
clock,Mon-Fri,elder_zoom_heavy,"[204, 286]",204,286,108,252,303,322,1
clock,8:30 AM,elder_zoom_heavy,"[281, 434]",281,434,108,346,448,523,1
clock,Sun Sat,elder_zoom_heavy,"[200, 683]",200,683,108,649,293,719,1
clock,9:00 AM,elder_zoom_heavy,"[435, 863]",435,863,108,743,466,920,1
clock,World Clock,elder_zoom_heavy,"[323, 2147]",323,2147,221,2130,426,2170,1
clock,Timers,elder_zoom_heavy,"[536, 2152]",536,2152,483,2130,597,2170,1
clock,Stopwatch,elder_zoom_heavy,"[758, 2159]",758,2159,666,2130,845,2170,1
clock,Bedtime,elder_zoom_heavy,"[971, 2154]",971,2154,901,2130,1043,2170,1
clock,Mon-Fri,elder_combo_max,"[263, 328]",263,328,117,273,419,386,1
clock,8:30 AM,elder_combo_max,"[455, 545]",455,545,117,412,495,609,1
clock,Sun Sat,elder_combo_max,"[260, 801]",260,801,117,746,403,859,1
clock,9:00 AM,elder_combo_max,"[477, 545]",477,545,117,885,513,1082,0
clock,World Clock,elder_combo_max,"[324, 2052]",324,2052,216,2106,432,2151,0
clock,Timers,elder_combo_max,"[536, 2138]",536,2138,476,2106,604,2151,1
