screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,Mon-Fri,baseline,"[179, 251]",179,251,95,221,266,283,1
clock,8:30 AM,baseline,"[245, 381]",245,381,95,304,393,459,1
clock,Sun Sat,baseline,"[175, 600]",175,600,95,570,256,632,1
clock,9:00 AM,baseline,"[251, 734]",251,734,95,653,408,808,1
clock,World Clock,baseline,"[324, 2182]",324,2182,221,2162,426,2202,1
clock,Timers,baseline,"[540, 2183]",540,2183,482,2162,596,2202,1
clock,Stopwatch,baseline,"[756, 2184]",756,2184,666,2162,845,2202,1
clock,Bedtime,baseline,"[972, 2182]",972,2182,900,2162,1042,2202,1
clock,Mon-Fri,elder_text_heavy,"[207, 262]",207,262,95,221,319,304,1
clock,8:30 AM,elder_text_heavy,"[245, 403]",245,403,95,325,393,480,1
clock,Sun Sat,elder_text_heavy,"[201, 632]",201,632,95,591,309,674,1
clock,9:00 AM,elder_text_heavy,"[251, 771]",251,771,95,695,408,850,1
clock,World Clock,elder_text_heavy,"[324, 2182]",324,2182,216,2160,432,2203,1
clock,Timers,elder_text_heavy,"[539, 2182]",539,2182,478,2160,600,2203,1
clock,Stopwatch,elder_text_heavy,"[757, 2179]",757,2179,660,2160,851,2203,1
clock,Bedtime,elder_text_heavy,"[973, 2181]",973,2181,896,2160,1047,2203,1
clock,Mon-Fri,elder_zoom_heavy,"[204, 286]",204,286,108,252,303,322,1
clock,8:30 AM,elder_zoom_heavy,"[278, 435]",278,435,108,346,448,523,1
clock,Sun Sat,elder_zoom_heavy,"[200, 683]",200,683,108,649,293,719,1
clock,9:00 AM,elder_zoom_heavy,"[288, 835]",288,835,108,743,466,920,1
clock,World Clock,elder_zoom_heavy,"[324, 2166]",324,2166,221,2130,426,2170,1
clock,Timers,elder_zoom_heavy,"[540, 2159]",540,2159,483,2130,597,2170,1
clock,Stopwatch,elder_zoom_heavy,"[755, 2152]",755,2152,666,2130,845,2170,1
clock,Bedtime,elder_zoom_heavy,"[972, 2151]",972,2151,901,2130,1043,2170,1
clock,Mon-Fri,elder_combo_max,"[267, 328]",267,328,117,273,419,386,1
clock,8:30 AM,elder_combo_max,"[308, 511]",308,511,117,412,495,609,1
clock,Sun Sat,elder_combo_max,"[259, 802]",259,802,117,746,403,859,1
clock,9:00 AM,elder_combo_max,"[300, 986]",300,986,117,885,513,1082,1
clock,World Clock,elder_combo_max,"[325, 2128]",325,2128,216,2106,432,2151,1
clock,Timers,elder_combo_max,"[540, 2129]",540,2129,476,2106,604,2151,1
clock,Stopwatch,elder_combo_max,"[756, 2131]",756,2131,654,2106,857,2151,1
clock,Bedtime,elder_combo_max,"[971, 2127]",971,2127,892,2106,1052,2151,1
clock,Mon-Fri,elder_combo_rtl,"[243, 300]",243,300,108,252,378,352,1
clock,8:30 AM,elder_combo_rtl,"[279, 463]",279,463,108,376,448,553,1
clock,Sun Sat,elder_combo_rtl,"[235, 728]",235,728,108,679,363,779,1
clock,9:00 AM,elder_combo_rtl,"[288, 891]",288,891,108,803,466,980,1
clock,World Clock,elder_combo_rtl,"[326, 2155]",326,2155,216,2130,432,2174,1
clock,Timers,elder_combo_rtl,"[540, 2160]",540,2160,477,2130,603,2174,1
clock,Stopwatch,elder_combo_rtl,"[757, 2162]",757,2162,658,2130,854,2174,1
clock,Bedtime,elder_combo_rtl,"[972, 2161]",972,2161,894,2130,1049,2174,1
clock,Mon-Fri,colorblind_deuteranomaly,"[180, 251]",180,251,95,221,266,283,1
clock,8:30 AM,colorblind_deuteranomaly,"[245, 383]",245,383,95,304,393,459,1
clock,Sun Sat,colorblind_deuteranomaly,"[175, 601]",175,601,95,570,256,632,1
clock,9:00 AM,colorblind_deuteranomaly,"[252, 735]",252,735,95,653,408,808,1
clock,World Clock,colorblind_deuteranomaly,"[324, 2182]",324,2182,221,2162,426,2202,1
clock,Timers,colorblind_deuteranomaly,"[540, 2179]",540,2179,482,2162,596,2202,1
clock,Stopwatch,colorblind_deuteranomaly,"[756, 2179]",756,2179,666,2162,845,2202,1
clock,Bedtime,colorblind_deuteranomaly,"[971, 2182]",971,2182,900,2162,1042,2202,1
contacts,All contacts,baseline,"[243, 253]",243,253,142,226,342,279,1
contacts,Your info,baseline,"[282, 409]",282,409,221,389,346,431,1
contacts,Andres,baseline,"[293, 463]",293,463,221,431,365,494,1
contacts,No contacts yet,baseline,"[540, 1491]",540,1491,317,1446,763,1530,1
contacts,Contacts,baseline,"[180, 2167]",180,2167,110,2161,248,2203,1
contacts,Highlights,baseline,"[540, 2168]",540,2168,463,2161,616,2203,1
contacts,Organize,baseline,"[900, 2165]",900,2165,831,2161,968,2203,1
contacts,All contacts,elder_text_heavy,"[289, 252]",289,252,142,214,436,291,1
contacts,Your info,elder_text_heavy,"[309, 417]",309,417,221,389,400,448,1
contacts,Andres,elder_text_heavy,"[318, 491]",318,491,221,448,412,534,1
contacts,No contacts yet,elder_text_heavy,"[540, 1501]",540,1501,289,1453,792,1549,1
contacts,Contacts,elder_text_heavy,"[179, 2170]",179,2170,84,2147,275,2203,1
contacts,Highlights,elder_text_heavy,"[540, 2174]",540,2174,434,2147,646,2203,1
contacts,Organize,elder_text_heavy,"[899, 2169]",899,2169,805,2147,994,2203,1
contacts,All contacts,elder_zoom_heavy,"[278, 287]",278,287,162,258,394,318,1
contacts,Your info,elder_zoom_heavy,"[323, 468]",323,468,252,444,396,492,1
contacts,Andres,elder_zoom_heavy,"[334, 528]",334,528,252,492,415,564,1
contacts,No contacts yet,elder_zoom_heavy,"[540, 1531]",540,1531,284,1482,796,1578,1
contacts,Contacts,elder_zoom_heavy,"[179, 2161]",179,2161,101,2130,258,2178,1
contacts,Highlights,elder_zoom_heavy,"[540, 2161]",540,2161,452,2130,627,2178,1
contacts,Organize,elder_zoom_heavy,"[900, 2163]",900,2163,822,2130,977,2178,1
contacts,All contacts,elder_combo_max,"[379, 312]",379,312,176,260,584,366,1
contacts,Your info,elder_combo_max,"[396, 522]",396,522,273,483,523,567,1
contacts,Andres,elder_combo_max,"[405, 623]",405,623,273,567,538,684,1
contacts,No contacts yet,elder_combo_max,"[540, 1583]",540,1583,199,1516,881,1645,1
contacts,Contacts,elder_combo_max,"[180, 2116]",180,2116,46,2079,314,2157,1
contacts,Highlights,elder_combo_max,"[540, 2126]",540,2126,390,2079,690,2157,1
contacts,Organize,elder_combo_max,"[900, 2120]",900,2120,766,2079,1033,2157,1
contacts,All contacts,elder_combo_rtl,"[345, 286]",345,286,162,241,527,336,1
contacts,Your info,elder_combo_rtl,"[360, 478]",360,478,252,444,470,516,1
contacts,Andres,elder_combo_rtl,"[368, 567]",368,567,252,516,486,620,1
contacts,No contacts yet,elder_combo_rtl,"[540, 1551]",540,1551,242,1493,839,1605,1
contacts,Contacts,elder_combo_rtl,"[180, 2155]",180,2155,63,2111,297,2178,1
contacts,Highlights,elder_combo_rtl,"[540, 2140]",540,2140,409,2111,671,2178,1
contacts,Organize,elder_combo_rtl,"[900, 2146]",900,2146,784,2111,1016,2178,1
contacts,All contacts,colorblind_deuteranomaly,"[241, 253]",241,253,142,226,342,279,1
contacts,Your info,colorblind_deuteranomaly,"[283, 410]",283,410,221,389,346,431,1
contacts,Andres,colorblind_deuteranomaly,"[292, 463]",292,463,221,431,365,494,1
contacts,No contacts yet,colorblind_deuteranomaly,"[540, 1490]",540,1490,317,1446,763,1530,1
contacts,Contacts,colorblind_deuteranomaly,"[180, 2165]",180,2165,110,2161,248,2203,1
contacts,Highlights,colorblind_deuteranomaly,"[540, 2167]",540,2167,463,2161,616,2203,1
contacts,Organize,colorblind_deuteranomaly,"[900, 2170]",900,2170,831,2161,968,2203,1
dialer,Phone Number,baseline,"[540, 760]",540,760,147,900,933,1044,0
dialer,1,baseline,"[187, 1148]",187,1148,169,1093,203,1197,1
dialer,2,baseline,"[540, 1148]",540,1148,518,1097,561,1201,1
dialer,ABC,baseline,"[540, 1222]",540,1222,505,1201,574,1245,1
dialer,3,baseline,"[893, 1152]",893,1152,870,1097,914,1201,1
dialer,DEF,baseline,"[893, 1222]",893,1222,861,1201,924,1245,1
dialer,4,baseline,"[187, 1338]",187,1338,163,1288,210,1392,1
dialer,GHI,baseline,"[186, 1413]",186,1413,157,1392,216,1436,1
dialer,5,baseline,"[540, 1340]",540,1340,516,1288,562,1392,1
dialer,JKL,baseline,"[540, 1414]",540,1414,510,1392,569,1436,1
dialer,6,baseline,"[893, 1343]",893,1343,869,1288,915,1392,1
dialer,MNO,baseline,"[892, 1415]",892,1415,852,1392,933,1436,1
dialer,7,baseline,"[187, 1532]",187,1532,166,1480,208,1584,1
dialer,PQRS,baseline,"[187, 1606]",187,1606,142,1584,232,1628,1
dialer,8,baseline,"[540, 1531]",540,1531,517,1480,562,1584,1
dialer,TUV,baseline,"[540, 1605]",540,1605,507,1584,573,1628,1
dialer,9,baseline,"[893, 1531]",893,1531,869,1480,915,1584,1
dialer,WXYZ,baseline,"[892, 1606]",892,1606,846,1584,939,1628,1
dialer,∗,baseline,"[187, 1728]",187,1728,168,1668,206,1780,1
dialer,0,baseline,"[540, 1724]",540,1724,512,1672,567,1776,1
dialer,+,baseline,"[539, 1801]",539,1801,529,1776,549,1820,1
dialer,#,baseline,"[893, 1725]",893,1725,865,1672,921,1776,1
dialer,Call,baseline,"[581, 1945]",581,1945,414,1871,666,2018,1
dialer,Home,baseline,"[179, 2182]",179,2182,135,2161,224,2203,1
dialer,Keypad,baseline,"[540, 2182]",540,2182,481,2161,597,2203,1
dialer,Voicemail,baseline,"[899, 2181]",899,2181,826,2161,972,2203,1
dialer,Phone Number,elder_text_heavy,"[540, 805]",540,805,147,886,933,1030,0
dialer,1,elder_text_heavy,"[187, 1157]",187,1157,169,1079,203,1183,1
dialer,2,elder_text_heavy,"[540, 1133]",540,1133,518,1083,561,1187,1
dialer,ABC,elder_text_heavy,"[540, 1209]",540,1209,505,1187,574,1231,1
dialer,3,elder_text_heavy,"[893, 1134]",893,1134,870,1083,914,1187,1
dialer,DEF,elder_text_heavy,"[892, 1208]",892,1208,861,1187,924,1231,1
dialer,4,elder_text_heavy,"[187, 1324]",187,1324,163,1274,210,1378,1
dialer,GHI,elder_text_heavy,"[186, 1400]",186,1400,157,1378,216,1422,1
dialer,5,elder_text_heavy,"[540, 1323]",540,1323,516,1274,562,1378,1
dialer,JKL,elder_text_heavy,"[540, 1400]",540,1400,510,1378,569,1422,1
dialer,6,elder_text_heavy,"[892, 1325]",892,1325,869,1274,915,1378,1
dialer,MNO,elder_text_heavy,"[892, 1400]",892,1400,852,1378,933,1422,1
dialer,7,elder_text_heavy,"[187, 1517]",187,1517,166,1466,208,1570,1
dialer,PQRS,elder_text_heavy,"[187, 1593]",187,1593,142,1570,232,1614,1
dialer,8,elder_text_heavy,"[540, 1520]",540,1520,517,1466,562,1570,1
dialer,TUV,elder_text_heavy,"[540, 1592]",540,1592,507,1570,573,1614,1
dialer,9,elder_text_heavy,"[893, 1518]",893,1518,869,1466,915,1570,1
dialer,WXYZ,elder_text_heavy,"[892, 1592]",892,1592,846,1570,939,1614,1
dialer,∗,elder_text_heavy,"[187, 1733]",187,1733,168,1654,206,1766,1
dialer,0,elder_text_heavy,"[540, 1719]",540,1719,512,1658,567,1762,1
dialer,+,elder_text_heavy,"[539, 1787]",539,1787,529,1762,549,1806,1
dialer,#,elder_text_heavy,"[892, 1715]",892,1715,865,1658,921,1762,1
dialer,Call,elder_text_heavy,"[582, 1931]",582,1931,400,1857,681,2004,1
dialer,Home,elder_text_heavy,"[179, 2174]",179,2174,118,2147,241,2203,1
dialer,Keypad,elder_text_heavy,"[540, 2172]",540,2172,461,2147,618,2203,1
dialer,Voicemail,elder_text_heavy,"[900, 2175]",900,2175,800,2147,1000,2203,1
dialer,Phone Number,elder_zoom_heavy,"[540, 603]",540,603,168,690,912,855,0
dialer,1,elder_zoom_heavy,"[188, 1001]",188,1001,168,911,207,1029,1
dialer,2,elder_zoom_heavy,"[540, 970]",540,970,514,916,564,1034,1
dialer,ABC,elder_zoom_heavy,"[539, 1059]",539,1059,500,1034,579,1085,1
dialer,3,elder_zoom_heavy,"[891, 969]",891,969,866,916,916,1034,1
dialer,DEF,elder_zoom_heavy,"[891, 1058]",891,1058,855,1034,928,1085,1
dialer,4,elder_zoom_heavy,"[188, 1191]",188,1191,160,1135,214,1253,1
dialer,GHI,elder_zoom_heavy,"[188, 1278]",188,1278,154,1253,221,1304,1
dialer,5,elder_zoom_heavy,"[540, 1193]",540,1193,514,1135,566,1253,1
dialer,JKL,elder_zoom_heavy,"[540, 1278]",540,1278,506,1253,574,1304,1
dialer,6,elder_zoom_heavy,"[891, 1194]",891,1194,865,1135,918,1253,1
dialer,MNO,elder_zoom_heavy,"[891, 1278]",891,1278,845,1253,938,1304,1
dialer,7,elder_zoom_heavy,"[188, 1411]",188,1411,163,1354,211,1472,1
dialer,PQRS,elder_zoom_heavy,"[188, 1498]",188,1498,136,1472,239,1523,1
dialer,8,elder_zoom_heavy,"[540, 1412]",540,1412,514,1354,565,1472,1
dialer,TUV,elder_zoom_heavy,"[539, 1497]",539,1497,502,1472,577,1523,1
dialer,9,elder_zoom_heavy,"[892, 1409]",892,1409,865,1354,918,1472,1
dialer,WXYZ,elder_zoom_heavy,"[891, 1498]",891,1498,839,1472,945,1523,1
dialer,∗,elder_zoom_heavy,"[188, 1634]",188,1634,166,1568,209,1696,1
dialer,0,elder_zoom_heavy,"[540, 1632]",540,1632,508,1573,571,1691,1
dialer,+,elder_zoom_heavy,"[539, 1719]",539,1719,528,1691,551,1742,1
dialer,#,elder_zoom_heavy,"[892, 1657]",892,1657,860,1573,924,1691,1
dialer,Call,elder_zoom_heavy,"[586, 1886]",586,1886,396,1800,684,1968,1
dialer,Home,elder_zoom_heavy,"[179, 2154]",179,2154,129,2130,230,2178,1
dialer,Keypad,elder_zoom_heavy,"[540, 2161]",540,2161,475,2130,605,2178,1
dialer,Voicemail,elder_zoom_heavy,"[899, 2154]",899,2154,817,2130,982,2178,1
dialer,Phone Number,elder_combo_max,"[540, 439]",540,439,182,518,898,697,0
dialer,1,elder_combo_max,"[189, 819]",189,819,167,758,209,885,1
dialer,2,elder_combo_max,"[540, 825]",540,825,513,764,566,891,1
dialer,ABC,elder_combo_max,"[539, 918]",539,918,497,891,582,945,1
dialer,3,elder_combo_max,"[890, 824]",890,824,863,764,917,891,1
dialer,DEF,elder_combo_max,"[890, 917]",890,917,851,891,930,945,1
dialer,4,elder_combo_max,"[188, 1062]",188,1062,159,1001,217,1128,1
dialer,GHI,elder_combo_max,"[188, 1154]",188,1154,152,1128,225,1182,1
dialer,5,elder_combo_max,"[540, 1061]",540,1061,511,1001,567,1128,1
dialer,JKL,elder_combo_max,"[540, 1154]",540,1154,503,1128,575,1182,1
dialer,6,elder_combo_max,"[890, 1063]",890,1063,862,1001,919,1128,1
dialer,MNO,elder_combo_max,"[890, 1155]",890,1155,841,1128,940,1182,1
dialer,7,elder_combo_max,"[189, 1300]",189,1300,162,1238,214,1365,1
dialer,PQRS,elder_combo_max,"[188, 1391]",188,1391,133,1365,244,1419,1
dialer,8,elder_combo_max,"[539, 1300]",539,1300,511,1238,566,1365,1
dialer,TUV,elder_combo_max,"[539, 1393]",539,1393,499,1365,579,1419,1
dialer,9,elder_combo_max,"[890, 1297]",890,1297,862,1238,919,1365,1
dialer,WXYZ,elder_combo_max,"[891, 1393]",891,1393,834,1365,947,1419,1
dialer,∗,elder_combo_max,"[188, 1546]",188,1546,165,1470,212,1608,1
dialer,0,elder_combo_max,"[540, 1538]",540,1538,506,1475,573,1602,1
dialer,+,elder_combo_max,"[539, 1632]",539,1632,527,1602,552,1656,1
dialer,#,elder_combo_max,"[890, 1548]",890,1548,856,1475,925,1602,1
dialer,Call,elder_combo_max,"[590, 1811]",590,1811,360,1721,720,1903,1
dialer,Home,elder_combo_max,"[180, 2120]",180,2120,93,2079,266,2157,1
dialer,Keypad,elder_combo_max,"[540, 2114]",540,2114,429,2079,651,2157,1
dialer,Voicemail,elder_combo_max,"[899, 2122]",899,2122,757,2079,1042,2157,1
dialer,Phone Number,elder_combo_rtl,"[540, 579]",540,579,168,671,912,836,0
dialer,1,elder_combo_rtl,"[188, 982]",188,982,168,892,207,1010,1
dialer,2,elder_combo_rtl,"[540, 952]",540,952,514,897,564,1015,1
dialer,ABC,elder_combo_rtl,"[540, 1042]",540,1042,500,1015,579,1066,1
dialer,3,elder_combo_rtl,"[891, 951]",891,951,866,897,916,1015,1
dialer,DEF,elder_combo_rtl,"[891, 1041]",891,1041,855,1015,928,1066,1
dialer,4,elder_combo_rtl,"[188, 1198]",188,1198,160,1116,214,1234,1
dialer,GHI,elder_combo_rtl,"[187, 1260]",187,1260,154,1234,221,1285,1
dialer,5,elder_combo_rtl,"[540, 1178]",540,1178,514,1116,566,1234,1
dialer,JKL,elder_combo_rtl,"[540, 1259]",540,1259,506,1234,574,1285,1
dialer,6,elder_combo_rtl,"[891, 1184]",891,1184,865,1116,918,1234,1
dialer,MNO,elder_combo_rtl,"[891, 1259]",891,1259,845,1234,938,1285,1
dialer,7,elder_combo_rtl,"[188, 1390]",188,1390,163,1335,211,1453,1
dialer,PQRS,elder_combo_rtl,"[187, 1478]",187,1478,136,1453,239,1504,1
dialer,8,elder_combo_rtl,"[540, 1391]",540,1391,514,1335,565,1453,1
dialer,TUV,elder_combo_rtl,"[540, 1479]",540,1479,502,1453,577,1504,1
