screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent
clock,Mon-Fri,baseline,co_present,"[180, 251]",180,251,95,221,266,283,1,1,1,bracket,tree,62
clock,8:30 AM,baseline,co_present,"[245, 380]",245,380,95,304,393,459,1,1,1,bracket,tree,62
clock,Sun Sat,baseline,co_present,"[174, 600]",174,600,95,570,256,632,1,1,1,bracket,tree,62
clock,9:00 AM,baseline,co_present,"[251, 730]",251,730,95,653,408,808,1,1,1,bracket,tree,62
clock,World Clock,baseline,co_present,"[324, 2148]",324,2148,221,2162,426,2202,1,1,1,bracket,tree,59
clock,Timers,baseline,co_present,"[540, 2161]",540,2161,482,2162,596,2202,1,1,1,bracket,tree,57
clock,Stopwatch,baseline,co_present,"[756, 2176]",756,2176,666,2162,845,2202,1,1,1,bracket,tree,59
clock,Bedtime,baseline,co_present,"[972, 2179]",972,2179,900,2162,1042,2202,1,1,1,bracket,tree,59
clock,Mon-Fri,elder_text_heavy,co_present,"[206, 261]",206,261,95,221,319,304,1,1,1,bracket,tree,62
clock,8:30 AM,elder_text_heavy,co_present,"[245, 401]",245,401,95,325,393,480,1,1,1,bracket,tree,62
clock,Sun Sat,elder_text_heavy,co_present,"[202, 633]",202,633,95,591,309,674,1,1,1,bracket,tree,62
clock,9:00 AM,elder_text_heavy,co_present,"[218, 771]",218,771,95,695,408,850,1,1,1,bracket,tree,62
clock,World Clock,elder_text_heavy,co_present,"[324, 2182]",324,2182,216,2160,432,2203,1,1,1,bracket,tree,59
clock,Timers,elder_text_heavy,co_present,"[540, 2165]",540,2165,478,2160,600,2203,1,1,1,bracket,tree,57
clock,Stopwatch,elder_text_heavy,co_present,"[756, 2179]",756,2179,660,2160,851,2203,1,1,1,bracket,tree,59
clock,Bedtime,elder_text_heavy,co_present,"[972, 2125]",972,2125,896,2160,1047,2203,0,1,0,bracket,tree,59
clock,Mon-Fri,elder_zoom_heavy,co_present,"[204, 286]",204,286,108,252,303,322,1,1,1,bracket,tree,62
clock,8:30 AM,elder_zoom_heavy,co_present,"[280, 433]",280,433,108,346,448,523,1,1,1,bracket,tree,62
clock,Sun Sat,elder_zoom_heavy,co_present,"[202, 683]",202,683,108,649,293,719,1,1,1,bracket,tree,62
clock,9:00 AM,elder_zoom_heavy,co_present,"[289, 830]",289,830,108,743,466,920,1,1,1,bracket,tree,62
clock,World Clock,elder_zoom_heavy,co_present,"[324, 2100]",324,2100,221,2130,426,2170,1,1,1,bracket,tree,59
clock,Timers,elder_zoom_heavy,co_present,"[540, 2157]",540,2157,483,2130,597,2170,1,1,1,bracket,tree,57
clock,Stopwatch,elder_zoom_heavy,co_present,"[756, 2157]",756,2157,666,2130,845,2170,1,1,1,bracket,tree,59
clock,Bedtime,elder_zoom_heavy,co_present,"[972, 2155]",972,2155,901,2130,1043,2170,1,1,1,bracket,tree,59
clock,Mon-Fri,elder_combo_max,co_present,"[267, 328]",267,328,117,273,419,386,1,1,1,bracket,tree,62
clock,8:30 AM,elder_combo_max,co_present,"[308, 509]",308,509,117,412,495,609,1,1,1,bracket,tree,62
clock,Sun Sat,elder_combo_max,co_present,"[259, 801]",259,801,117,746,403,859,1,1,1,bracket,tree,62
clock,9:00 AM,elder_combo_max,co_present,"[316, 982]",316,982,117,885,513,1082,1,1,1,bracket,tree,62
clock,World Clock,elder_combo_max,co_present,"[324, 2115]",324,2115,216,2106,432,2151,1,1,1,bracket,tree,59
clock,Timers,elder_combo_max,co_present,"[540, 2085]",540,2085,476,2106,604,2151,1,1,1,bracket,tree,58
clock,Stopwatch,elder_combo_max,co_present,"[756, 2116]",756,2116,654,2106,857,2151,1,1,1,bracket,tree,59
clock,Bedtime,elder_combo_max,co_present,"[972, 2070]",972,2070,892,2106,1052,2151,0,1,0,bracket,tree,59
clock,Mon-Fri,elder_combo_mid,co_present,"[242, 300]",242,300,108,252,378,352,1,1,1,bracket,tree,62
clock,8:30 AM,elder_combo_mid,co_present,"[280, 463]",280,463,108,376,448,553,1,1,1,bracket,tree,62
clock,Sun Sat,elder_combo_mid,co_present,"[235, 726]",235,726,108,679,363,779,1,1,1,bracket,tree,62
clock,9:00 AM,elder_combo_mid,co_present,"[288, 890]",288,890,108,803,466,980,1,1,1,bracket,tree,62
clock,World Clock,elder_combo_mid,co_present,"[324, 2102]",324,2102,216,2130,432,2174,1,1,1,bracket,tree,59
clock,Timers,elder_combo_mid,co_present,"[540, 2145]",540,2145,477,2130,603,2174,1,1,1,bracket,tree,58
clock,Stopwatch,elder_combo_mid,co_present,"[756, 2161]",756,2161,658,2130,854,2174,1,1,1,bracket,tree,59
clock,Bedtime,elder_combo_mid,co_present,"[972, 2159]",972,2159,894,2130,1049,2174,1,1,1,bracket,tree,59
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[180, 251]",180,251,95,221,266,283,1,1,1,bracket,tree,62
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[251, 381]",251,381,95,304,393,459,1,1,1,bracket,tree,62
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[175, 601]",175,601,95,570,256,632,1,1,1,bracket,tree,62
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[252, 730]",252,730,95,653,408,808,1,1,1,bracket,tree,62
clock,World Clock,colorblind_deuteranomaly,co_present,"[324, 2158]",324,2158,221,2162,426,2202,1,1,1,bracket,tree,59
clock,Timers,colorblind_deuteranomaly,co_present,"[540, 2172]",540,2172,482,2162,596,2202,1,1,1,bracket,tree,57
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[756, 2189]",756,2189,666,2162,845,2202,1,1,1,bracket,tree,59
