screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
settings_main,Search Settings,baseline,"[540, 138]",540,138,189,222,578,293,0
settings_main,Google,baseline,"[312, 213]",312,213,221,431,354,488,0
settings_main,Services & preferences,baseline,"[487, 259]",487,259,221,488,600,539,0
settings_main,Network & internet,baseline,"[469, 310]",469,310,221,665,566,722,0
settings_main,"Mobile, Wi‑Fi, hotspot",baseline,"[484, 410]",484,410,221,722,572,773,0
settings_main,Connected devices,baseline,"[476, 566]",476,566,221,862,574,919,0
settings_main,"Bluetooth, pairing",baseline,"[380, 416]",380,416,221,919,508,970,0
settings_main,Apps,baseline,"[238, 515]",238,515,221,1096,318,1153,0
settings_main,"Assistant, recent apps, default apps",baseline,"[550, 500]",550,500,221,1153,806,1204,0
settings_main,Notifications,baseline,"[380, 570]",380,570,221,1293,460,1350,0
settings_main,"Notification history, conversations",baseline,"[514, 582]",514,582,221,1350,777,1401,0
settings_main,Sound & vibration,baseline,"[483, 630]",483,630,221,1490,548,1547,0
settings_main,Volume and haptics,baseline,"[445, 649]",445,649,221,1547,546,1598,0
settings_main,Modes,baseline,"[290, 723]",290,723,221,1687,350,1744,0
settings_main,"Do Not Disturb, Bedtime, Driving",baseline,"[503, 898]",503,898,221,1744,744,1795,0
settings_main,Display & touch,baseline,"[540, 924]",540,924,221,1884,510,1941,0
settings_main,"Dark theme, font size, touch",baseline,"[494, 1147]",494,1147,221,1941,675,1992,0
settings_main,Wallpaper & style,baseline,"[540, 1240]",540,1240,221,2081,542,2138,0
settings_main,"Colors, themed icons, app grid",baseline,"[452, 903]",452,903,221,2138,717,2189,0
settings_main,Storage,baseline,"[310, 936]",310,936,221,2315,366,2361,0
settings_main,Search Settings,elder_text_heavy,"[540, 155]",540,155,189,222,578,293,0
settings_main,Google,elder_text_heavy,"[361, 220]",361,220,221,431,354,488,0
settings_main,Services & preferences,elder_text_heavy,"[450, 265]",450,265,221,488,600,539,0
settings_main,Network & internet,elder_text_heavy,"[458, 396]",458,396,221,665,566,722,0
settings_main,"Mobile, Wi‑Fi, hotspot",elder_text_heavy,"[441, 429]",441,429,221,722,572,773,0
settings_main,Connected devices,elder_text_heavy,"[465, 713]",465,713,221,862,574,919,0
settings_main,"Bluetooth, pairing",elder_text_heavy,"[390, 383]",390,383,221,919,508,970,0
settings_main,Apps,elder_text_heavy,"[275, 480]",275,480,221,1096,318,1153,0
settings_main,"Assistant, recent apps, default apps",elder_text_heavy,"[604, 492]",604,492,221,1153,806,1204,0
settings_main,Notifications,elder_text_heavy,"[389, 627]",389,627,221,1293,460,1350,0
settings_main,"Notification history, conversations",elder_text_heavy,"[485, 585]",485,585,221,1350,777,1401,0
settings_main,Sound & vibration,elder_text_heavy,"[462, 968]",462,968,221,1490,548,1547,0
settings_main,Volume and haptics,elder_text_heavy,"[426, 639]",426,639,221,1547,546,1598,0
settings_main,Modes,elder_text_heavy,"[328, 713]",328,713,221,1687,350,1744,0
settings_main,"Do Not Disturb, Bedtime, Driving",elder_text_heavy,"[495, 769]",495,769,221,1744,744,1795,0
settings_main,Display & touch,elder_text_heavy,"[540, 1353]",540,1353,221,1884,510,1941,0
settings_main,"Dark theme, font size, touch",elder_text_heavy,"[460, 795]",460,795,221,1941,675,1992,0
settings_main,Wallpaper & style,elder_text_heavy,"[475, 926]",475,926,221,2081,542,2138,0
settings_main,"Colors, themed icons, app grid",elder_text_heavy,"[457, 960]",457,960,221,2138,717,2189,0
settings_main,Storage,elder_text_heavy,"[380, 1203]",380,1203,221,2315,366,2361,0
settings_main,Search Settings,elder_zoom_heavy,"[500, 150]",500,150,189,222,578,293,0
settings_main,Google,elder_zoom_heavy,"[275, 212]",275,212,221,431,354,488,0
settings_main,Services & preferences,elder_zoom_heavy,"[441, 250]",441,250,221,488,600,539,0
settings_main,Network & internet,elder_zoom_heavy,"[433, 349]",433,349,221,665,566,722,0
settings_main,"Mobile, Wi‑Fi, hotspot",elder_zoom_heavy,"[504, 489]",504,489,221,722,572,773,0
settings_main,Connected devices,elder_zoom_heavy,"[443, 409]",443,409,221,862,574,919,0
settings_main,"Bluetooth, pairing",elder_zoom_heavy,"[388, 415]",388,415,221,919,508,970,0
settings_main,Apps,elder_zoom_heavy,"[248, 677]",248,677,221,1096,318,1153,0
settings_main,"Assistant, recent apps, default apps",elder_zoom_heavy,"[566, 498]",566,498,221,1153,806,1204,0
settings_main,Notifications,elder_zoom_heavy,"[540, 562]",540,562,221,1293,460,1350,0
settings_main,"Notification history, conversations",elder_zoom_heavy,"[495, 576]",495,576,221,1350,777,1401,0
settings_main,Sound & vibration,elder_zoom_heavy,"[470, 647]",470,647,221,1490,548,1547,0
settings_main,Volume and haptics,elder_zoom_heavy,"[447, 1128]",447,1128,221,1547,546,1598,0
settings_main,Modes,elder_zoom_heavy,"[277, 1379]",277,1379,221,1687,350,1744,0
settings_main,"Do Not Disturb, Bedtime, Driving",elder_zoom_heavy,"[530, 775]",530,775,221,1744,744,1795,0
settings_main,Display & touch,elder_zoom_heavy,"[540, 823]",540,823,221,1884,510,1941,0
settings_main,"Dark theme, font size, touch",elder_zoom_heavy,"[436, 846]",436,846,221,1941,675,1992,0
settings_main,Wallpaper & style,elder_zoom_heavy,"[540, 1130]",540,1130,221,2081,542,2138,0
settings_main,"Colors, themed icons, app grid",elder_zoom_heavy,"[486, 888]",486,888,221,2138,717,2189,0
settings_main,Storage,elder_zoom_heavy,"[290, 915]",290,915,221,2315,366,2361,0
settings_main,Search Settings,elder_combo_max,"[490, 155]",490,155,189,222,578,293,0
settings_main,Google,elder_combo_max,"[350, 314]",350,314,221,431,354,488,0
settings_main,Services & preferences,elder_combo_max,"[445, 257]",445,257,221,488,600,539,0
settings_main,Network & internet,elder_combo_max,"[436, 390]",436,390,221,665,566,722,0
settings_main,"Mobile, Wi‑Fi, hotspot",elder_combo_max,"[485, 333]",485,333,221,722,572,773,0
settings_main,Connected devices,elder_combo_max,"[435, 412]",435,412,221,862,574,919,0
settings_main,"Bluetooth, pairing",elder_combo_max,"[385, 410]",385,410,221,919,508,970,0
settings_main,Apps,elder_combo_max,"[290, 475]",290,475,221,1096,318,1153,0
settings_main,"Assistant, recent apps, default apps",elder_combo_max,"[530, 489]",530,489,221,1153,806,1204,0
settings_main,Notifications,elder_combo_max,"[390, 643]",390,643,221,1293,460,1350,0
settings_main,"Notification history, conversations",elder_combo_max,"[575, 633]",575,633,221,1350,777,1401,0
settings_main,Sound & vibration,elder_combo_max,"[452, 668]",452,668,221,1490,548,1547,0
settings_main,Volume and haptics,elder_combo_max,"[395, 674]",395,674,221,1547,546,1598,0
