screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,8:30 AM,baseline,"```json [{""point"": [240, 311], ""label"": ""text""}] ```",259,685,84,231,429,414,0
clock,"Mon, Tue, Wed, Thu, Fri",baseline,"[267, 212]",288,467,84,450,493,505,1
clock,9:00 AM,baseline,"[237, 309]",255,681,84,603,429,786,1
clock,"Sun, Sat",baseline,"[150, 376]",162,829,84,822,241,877,1
clock,Clock,baseline,"[300, 960]",324,2116,280,2196,367,2246,0
clock,Timer,baseline,"```json [498, 2235] ```",-1,-1,496,2196,584,2246,0
clock,Stopwatch,baseline,"```json [   {""point"": [699, 2216], ""label"": ""text""} ] ```",-1,-1,675,2196,836,2246,0
clock,Bedtime,baseline,"```json [   {""point"": [899, 2210]} ] ```",-1,-1,908,2196,1035,2246,0
clock,8:30 AM,elder_text_heavy,"[203, 142]",219,313,84,231,429,414,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_text_heavy,"[346, 212]",373,467,84,438,665,517,1
clock,9:00 AM,elder_text_heavy,"[238, 305]",257,672,84,603,429,786,1
clock,"Sun, Sat",elder_text_heavy,"[178, 372]",192,820,84,810,301,889,0
clock,Clock,elder_text_heavy,"[300, 977]",324,2154,280,2196,367,2246,0
clock,Timer,elder_text_heavy,"```json [499, 2223] ```",-1,-1,496,2196,584,2246,0
clock,Stopwatch,elder_text_heavy,"[700, 953]",756,2101,675,2196,836,2246,0
clock,Bedtime,elder_text_heavy,"[899, 977]",970,2154,908,2196,1035,2246,0
clock,8:30 AM,elder_zoom_heavy,"[270, 169]",291,371,96,264,487,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_zoom_heavy,"[300, 241]",324,529,96,513,554,575,1
clock,9:00 AM,elder_zoom_heavy,"[230, 345]",248,757,96,688,487,896,1
clock,"Sun, Sat",elder_zoom_heavy,"[169, 432]",182,948,96,937,269,999,1
clock,Clock,elder_zoom_heavy,"[300, 971]",324,2132,275,2168,373,2224,0
clock,Timer,elder_zoom_heavy,"[540, 2197]",-1,-1,491,2168,589,2224,0
clock,Stopwatch,elder_zoom_heavy,"[699, 971]",754,2132,664,2168,848,2224,0
clock,Bedtime,elder_zoom_heavy,"[900, 955]",972,2097,900,2168,1044,2224,0
clock,8:30 AM,elder_combo_max,"[300, 180]",324,394,104,286,541,516,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_max,"[415, 277]",448,606,104,516,794,714,1
clock,9:00 AM,elder_combo_max,"[253, 401]",273,878,104,792,541,1022,1
clock,"Sun, Sat",elder_combo_max,"[230, 489]",248,1070,104,1046,393,1154,0
