screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,8:30 AM,baseline,"[261, 319]",261,319,84,231,429,414,1
clock,"Mon, Tue, Wed, Thu, Fri",baseline,"[288, 477]",288,477,84,450,493,505,1
clock,9:00 AM,baseline,"[260, 692]",260,692,84,603,429,786,1
clock,"Sun, Sat",baseline,"[162, 850]",162,850,84,822,241,877,1
clock,Clock,baseline,"[324, 2200]",324,2200,280,2196,367,2246,1
clock,Timer,baseline,"[540, 2208]",540,2208,496,2196,584,2246,1
clock,Stopwatch,baseline,"[756, 2220]",756,2220,675,2196,836,2246,1
clock,Bedtime,baseline,"[972, 2210]",972,2210,908,2196,1035,2246,1
clock,8:30 AM,elder_text_heavy,"[259, 320]",259,320,84,231,429,414,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_text_heavy,"[375, 476]",375,476,84,438,665,517,1
clock,9:00 AM,elder_text_heavy,"[259, 692]",259,692,84,603,429,786,1
clock,"Sun, Sat",elder_text_heavy,"[192, 848]",192,848,84,810,301,889,1
clock,Clock,elder_text_heavy,"[324, 2204]",324,2204,280,2196,367,2246,1
clock,Timer,elder_text_heavy,"[540, 2206]",540,2206,496,2196,584,2246,1
clock,Stopwatch,elder_text_heavy,"[756, 2215]",756,2215,675,2196,836,2246,1
clock,Bedtime,elder_text_heavy,"[972, 2207]",972,2207,908,2196,1035,2246,1
clock,8:30 AM,elder_zoom_heavy,"[294, 364]",294,364,96,264,487,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_zoom_heavy,"[325, 544]",325,544,96,513,554,575,1
clock,9:00 AM,elder_zoom_heavy,"[293, 789]",293,789,96,688,487,896,1
clock,"Sun, Sat",elder_zoom_heavy,"[181, 968]",181,968,96,937,269,999,1
clock,Clock,elder_zoom_heavy,"[324, 2166]",324,2166,275,2168,373,2224,0
clock,Timer,elder_zoom_heavy,"[540, 2176]",540,2176,491,2168,589,2224,1
clock,Stopwatch,elder_zoom_heavy,"[756, 2185]",756,2185,664,2168,848,2224,1
clock,Bedtime,elder_zoom_heavy,"[972, 2180]",972,2180,900,2168,1044,2224,1
clock,8:30 AM,elder_combo_max,"[326, 398]",326,398,104,286,541,516,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_max,"[437, 613]",437,613,104,516,794,714,1
clock,9:00 AM,elder_combo_max,"[326, 904]",326,904,104,792,541,1022,1
clock,"Sun, Sat",elder_combo_max,"[249, 1100]",249,1100,104,1046,393,1154,1
clock,Clock,elder_combo_max,"[324, 2156]",324,2156,271,2148,377,2209,1
clock,Timer,elder_combo_max,"[540, 2140]",540,2140,487,2148,593,2209,0
clock,Stopwatch,elder_combo_max,"[756, 2141]",756,2141,657,2148,854,2209,0
clock,Bedtime,elder_combo_max,"[972, 2141]",972,2141,894,2148,1049,2209,0
clock,8:30 AM,elder_combo_rtl,"[293, 365]",293,365,96,264,487,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_rtl,"[448, 543]",448,543,96,496,800,592,1
clock,9:00 AM,elder_combo_rtl,"[294, 789]",294,789,96,688,487,896,1
clock,"Sun, Sat",elder_combo_rtl,"[227, 967]",227,967,96,920,358,1016,1
clock,Clock,elder_combo_rtl,"[324, 2184]",324,2184,275,2168,373,2224,1
clock,Timer,elder_combo_rtl,"[540, 2185]",540,2185,491,2168,589,2224,1
clock,Stopwatch,elder_combo_rtl,"[756, 2176]",756,2176,664,2168,848,2224,1
clock,Bedtime,elder_combo_rtl,"[972, 2184]",972,2184,900,2168,1044,2224,1
contacts,All contacts,baseline,"[242, 252]",242,252,142,226,342,279,1
contacts,No contacts yet,baseline,"[540, 1423]",540,1423,317,1378,763,1462,1
contacts,Contacts,baseline,"[319, 2218]",319,2218,249,2216,387,2258,1
contacts,Organize,baseline,"[760, 2222]",760,2222,692,2216,829,2258,1
contacts,All contacts,elder_text_heavy,"[288, 251]",288,251,142,214,436,291,1
contacts,No contacts yet,elder_text_heavy,"[540, 1414]",540,1414,289,1365,792,1461,1
contacts,Contacts,elder_text_heavy,"[318, 2221]",318,2221,223,2202,414,2258,1
contacts,Organize,elder_text_heavy,"[760, 2223]",760,2223,666,2202,855,2258,1
contacts,All contacts,elder_zoom_heavy,"[279, 287]",279,287,162,258,394,318,1
contacts,No contacts yet,elder_zoom_heavy,"[540, 1460]",540,1460,284,1404,796,1500,1
contacts,Contacts,elder_zoom_heavy,"[287, 2198]",287,2198,208,2190,365,2238,1
contacts,Organize,elder_zoom_heavy,"[792, 2198]",792,2198,714,2190,869,2238,1
contacts,All contacts,elder_combo_max,"[380, 311]",380,311,176,260,584,366,1
contacts,No contacts yet,elder_combo_max,"[540, 1468]",540,1468,199,1397,881,1526,1
contacts,Contacts,elder_combo_max,"[270, 2174]",270,2174,136,2146,404,2224,1
contacts,Organize,elder_combo_max,"[810, 2170]",810,2170,676,2146,943,2224,1
contacts,All contacts,elder_combo_rtl,"[345, 287]",345,287,162,241,527,336,1
contacts,No contacts yet,elder_combo_rtl,"[540, 1442]",540,1442,242,1387,839,1499,1
contacts,Contacts,elder_combo_rtl,"[287, 2194]",287,2194,170,2171,404,2238,1
contacts,Organize,elder_combo_rtl,"[793, 2192]",793,2192,676,2171,908,2238,1
dialer,Phone Number,baseline,"[540, 1030]",540,1030,147,955,933,1099,1
dialer,1,baseline,"[187, 1199]",187,1199,169,1148,203,1252,1
dialer,2,baseline,"[540, 1202]",540,1202,518,1152,561,1256,1
dialer,ABC,baseline,"[540, 1278]",540,1278,505,1256,574,1300,1
dialer,3,baseline,"[892, 1203]",892,1203,870,1152,914,1256,1
dialer,DEF,baseline,"[893, 1279]",893,1279,861,1256,924,1300,1
dialer,4,baseline,"[187, 1395]",187,1395,163,1343,210,1447,1
dialer,GHI,baseline,"[186, 1469]",186,1469,157,1447,216,1491,1
dialer,5,baseline,"[540, 1395]",540,1395,516,1343,562,1447,1
dialer,JKL,baseline,"[540, 1470]",540,1470,510,1447,569,1491,1
dialer,6,baseline,"[893, 1394]",893,1394,869,1343,915,1447,1
dialer,MNO,baseline,"[893, 1470]",893,1470,852,1447,933,1491,1
dialer,7,baseline,"[187, 1586]",187,1586,166,1535,208,1639,1
dialer,PQRS,baseline,"[187, 1662]",187,1662,142,1639,232,1683,1
dialer,8,baseline,"[540, 1584]",540,1584,517,1535,562,1639,1
dialer,TUV,baseline,"[540, 1661]",540,1661,507,1639,573,1683,1
dialer,9,baseline,"[893, 1585]",893,1585,869,1535,915,1639,1
dialer,WXYZ,baseline,"[893, 1662]",893,1662,846,1639,939,1683,1
dialer,∗,baseline,"[186, 1785]",186,1785,168,1723,206,1835,1
dialer,0,baseline,"[540, 1778]",540,1778,512,1727,567,1831,1
dialer,+,baseline,"[540, 1856]",540,1856,529,1831,549,1875,1
dialer,#,baseline,"[893, 1780]",893,1780,865,1727,921,1831,1
dialer,Call,baseline,"[582, 2002]",582,2002,414,1926,666,2073,1
dialer,Home,baseline,"[180, 2218]",180,2218,135,2216,224,2258,1
dialer,Keypad,baseline,"[540, 2224]",540,2224,481,2216,597,2258,1
dialer,Voicemail,baseline,"[900, 2218]",900,2218,826,2216,972,2258,1
dialer,Phone Number,elder_text_heavy,"[540, 1014]",540,1014,147,941,933,1085,1
dialer,1,elder_text_heavy,"[187, 1185]",187,1185,169,1134,203,1238,1
dialer,2,elder_text_heavy,"[540, 1189]",540,1189,518,1138,561,1242,1
dialer,ABC,elder_text_heavy,"[540, 1265]",540,1265,505,1242,574,1286,1
dialer,3,elder_text_heavy,"[893, 1187]",893,1187,870,1138,914,1242,1
dialer,DEF,elder_text_heavy,"[893, 1265]",893,1265,861,1242,924,1286,1
dialer,4,elder_text_heavy,"[187, 1379]",187,1379,163,1329,210,1433,1
dialer,GHI,elder_text_heavy,"[187, 1456]",187,1456,157,1433,216,1477,1
dialer,5,elder_text_heavy,"[540, 1380]",540,1380,516,1329,562,1433,1
dialer,JKL,elder_text_heavy,"[540, 1456]",540,1456,510,1433,569,1477,1
dialer,6,elder_text_heavy,"[892, 1380]",892,1380,869,1329,915,1433,1
dialer,MNO,elder_text_heavy,"[892, 1457]",892,1457,852,1433,933,1477,1
dialer,7,elder_text_heavy,"[187, 1572]",187,1572,166,1521,208,1625,1
dialer,PQRS,elder_text_heavy,"[187, 1648]",187,1648,142,1625,232,1669,1
dialer,8,elder_text_heavy,"[540, 1571]",540,1571,517,1521,562,1625,1
dialer,TUV,elder_text_heavy,"[540, 1648]",540,1648,507,1625,573,1669,1
dialer,9,elder_text_heavy,"[893, 1571]",893,1571,869,1521,915,1625,1
dialer,WXYZ,elder_text_heavy,"[893, 1648]",893,1648,846,1625,939,1669,1
dialer,∗,elder_text_heavy,"[187, 1773]",187,1773,168,1709,206,1821,1
dialer,0,elder_text_heavy,"[540, 1765]",540,1765,512,1713,567,1817,1
dialer,+,elder_text_heavy,"[540, 1842]",540,1842,529,1817,549,1861,1
dialer,#,elder_text_heavy,"[893, 1764]",893,1764,865,1713,921,1817,1
dialer,Call,elder_text_heavy,"[581, 1986]",581,1986,400,1912,681,2059,1
dialer,Home,elder_text_heavy,"[180, 2208]",180,2208,118,2202,241,2258,0
dialer,Keypad,elder_text_heavy,"[540, 2216]",540,2216,461,2202,618,2258,1
dialer,Voicemail,elder_text_heavy,"[900, 2210]",900,2210,800,2202,1000,2258,1
dialer,Phone Number,elder_zoom_heavy,"[540, 836]",540,836,168,750,912,915,1
dialer,1,elder_zoom_heavy,"[188, 1029]",188,1029,168,971,207,1089,1
dialer,2,elder_zoom_heavy,"[540, 1031]",540,1031,514,976,564,1094,1
dialer,ABC,elder_zoom_heavy,"[540, 1120]",540,1120,500,1094,579,1145,1
