screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,8:30 AM,baseline,"[198, 145]",213,319,84,231,414,414,1
clock,"Mon, Tue, Wed, Thu, Fri",baseline,"[264, 214]",285,471,84,450,492,505,1
clock,9:00 AM,baseline,"[197, 311]",212,685,84,603,414,786,1
clock,"Sun, Sat",baseline,"[150, 383]",162,844,84,822,242,877,1
clock,Clock,baseline,"[298, 960]",321,2116,281,2127,367,2177,0
clock,Timer,baseline,"[499, 950]",538,2094,496,2127,583,2177,0
clock,Stopwatch,baseline,"[697, 950]",752,2094,675,2127,837,2177,0
clock,Bedtime,baseline,"[898, 954]",969,2103,908,2127,1035,2177,0
clock,8:30 AM,elder_text_heavy,"[198, 146]",213,321,84,231,414,414,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_text_heavy,"[346, 214]",373,471,84,438,664,517,1
clock,9:00 AM,elder_text_heavy,"[198, 312]",213,687,84,603,414,786,1
clock,"Sun, Sat",elder_text_heavy,"[178, 384]",192,846,84,810,300,889,1
clock,Clock,elder_text_heavy,"[298, 954]",321,2103,281,2127,367,2177,0
clock,Timer,elder_text_heavy,"[499, 950]",538,2094,496,2127,583,2177,0
clock,Stopwatch,elder_text_heavy,"[697, 950]",752,2094,675,2127,837,2177,0
clock,Bedtime,elder_text_heavy,"[898, 954]",969,2103,908,2127,1035,2177,0
clock,8:30 AM,elder_zoom_heavy,"[234, 169]",252,371,96,264,470,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_zoom_heavy,"[296, 245]",319,538,96,513,557,575,1
clock,9:00 AM,elder_zoom_heavy,"[221, 359]",238,788,96,688,470,896,1
clock,"Sun, Sat",elder_zoom_heavy,"[172, 438]",185,961,96,937,272,999,1
clock,Clock,elder_zoom_heavy,"[298, 949]",321,2084,275,2108,372,2164,0
clock,Timer,elder_zoom_heavy,"[499, 950]",538,2086,491,2108,589,2164,0
clock,Stopwatch,elder_zoom_heavy,"[697, 950]",752,2086,664,2108,848,2164,0
clock,Bedtime,elder_zoom_heavy,"[898, 939]",969,2062,899,2108,1044,2164,0
clock,8:30 AM,elder_combo_max,"[241, 180]",260,394,104,286,522,516,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_max,"[346, 278]",373,608,104,516,794,714,1
clock,9:00 AM,elder_combo_max,"[249, 411]",268,900,104,792,522,1022,1
clock,"Sun, Sat",elder_combo_max,"[231, 500]",249,1095,104,1046,398,1154,1
clock,Clock,elder_combo_max,"[298, 935]",321,2047,271,2094,376,2155,0
clock,Timer,elder_combo_max,"[499, 937]",538,2052,487,2094,593,2155,0
clock,Stopwatch,elder_combo_max,"[697, 932]",752,2041,657,2094,854,2155,0
clock,Bedtime,elder_combo_max,"[898, 935]",969,2047,894,2094,1050,2155,0
clock,8:30 AM,elder_combo_rtl,"[221, 165]",238,362,96,264,470,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_rtl,"[407, 245]",439,538,96,496,801,592,1
clock,9:00 AM,elder_combo_rtl,"[224, 359]",241,788,96,688,470,896,1
clock,"Sun, Sat",elder_combo_rtl,"[208, 437]",224,959,96,920,357,1016,1
clock,Clock,elder_combo_rtl,"[298, 949]",321,2084,275,2108,372,2164,0
clock,Timer,elder_combo_rtl,"[499, 966]",538,2121,491,2108,589,2164,1
clock,Stopwatch,elder_combo_rtl,"[697, 939]",752,2062,664,2108,848,2164,0
clock,Bedtime,elder_combo_rtl,"[898, 942]",969,2068,899,2108,1044,2164,0
clock,8:30 AM,colorblind_deuteranomaly,"[233, 149]",251,328,84,231,414,414,1
clock,"Mon, Tue, Wed, Thu, Fri",colorblind_deuteranomaly,"[264, 214]",285,471,84,450,492,505,1
clock,9:00 AM,colorblind_deuteranomaly,"[198, 312]",213,687,84,603,414,786,1
clock,"Sun, Sat",colorblind_deuteranomaly,"[150, 384]",162,846,84,822,242,877,1
clock,Clock,colorblind_deuteranomaly,"[298, 954]",321,2103,281,2127,367,2177,0
clock,Timer,colorblind_deuteranomaly,"[499, 950]",538,2094,496,2127,583,2177,0
clock,Stopwatch,colorblind_deuteranomaly,"[697, 950]",752,2094,675,2127,837,2177,0
clock,Bedtime,colorblind_deuteranomaly,"[898, 954]",969,2103,908,2127,1035,2177,0
contacts,Device,baseline,"[185, 113]",199,249,142,226,258,279,1
contacts,No contacts yet,baseline,"[499, 634]",538,1397,316,1357,765,1449,1
contacts,Contacts,baseline,"[169, 972]",182,2143,111,2127,249,2177,1
contacts,Highlights,baseline,"[499, 937]",538,2066,463,2127,616,2177,0
contacts,Organize,baseline,"[830, 954]",896,2103,831,2127,968,2177,0
contacts,Device,elder_text_heavy,"[208, 113]",224,249,142,214,313,291,1
contacts,No contacts yet,elder_text_heavy,"[499, 631]",538,1391,288,1347,793,1450,1
contacts,Contacts,elder_text_heavy,"[169, 972]",182,2143,111,2127,249,2177,1
contacts,Highlights,elder_text_heavy,"[499, 939]",538,2070,463,2127,616,2177,0
contacts,Organize,elder_text_heavy,"[830, 954]",896,2103,831,2127,968,2177,0
contacts,Device,elder_zoom_heavy,"[214, 130]",231,285,162,258,297,318,1
contacts,No contacts yet,elder_zoom_heavy,"[499, 655]",538,1438,284,1389,796,1494,1
contacts,Contacts,elder_zoom_heavy,"[166, 965]",179,2119,101,2108,258,2164,1
contacts,Highlights,elder_zoom_heavy,"[499, 936]",538,2055,452,2108,627,2164,0
contacts,Organize,elder_zoom_heavy,"[830, 954]",896,2094,822,2108,977,2164,0
contacts,Device,elder_combo_max,"[272, 142]",293,310,176,260,414,366,1
contacts,No contacts yet,elder_combo_max,"[499, 663]",538,1451,200,1386,880,1525,1
contacts,Contacts,elder_combo_max,"[166, 965]",179,2113,96,2094,264,2155,1
contacts,Highlights,elder_combo_max,"[499, 936]",538,2049,446,2094,633,2155,0
contacts,Organize,elder_combo_max,"[830, 936]",896,2049,816,2094,984,2155,0
contacts,Device,elder_combo_rtl,"[246, 130]",265,285,162,241,373,336,1
contacts,No contacts yet,elder_combo_rtl,"[499, 651]",538,1429,241,1371,839,1493,1
contacts,Contacts,elder_combo_rtl,"[168, 965]",181,2119,101,2108,258,2164,1
contacts,Highlights,elder_combo_rtl,"[499, 939]",538,2062,452,2108,627,2164,0
contacts,Organize,elder_combo_rtl,"[830, 939]",896,2062,822,2108,977,2164,0
contacts,Device,colorblind_deuteranomaly,"[185, 113]",199,249,142,226,258,279,1
contacts,No contacts yet,colorblind_deuteranomaly,"[499, 634]",538,1397,316,1357,765,1449,1
contacts,Contacts,colorblind_deuteranomaly,"[166, 972]",179,2143,111,2127,249,2177,1
contacts,Highlights,colorblind_deuteranomaly,"[499, 972]",538,2143,463,2127,616,2177,1
contacts,Organize,colorblind_deuteranomaly,"[830, 954]",896,2103,831,2127,968,2177,0
dialer,Phone Number,baseline,"[499, 501]",538,1104,147,1064,933,1208,1
dialer,1,baseline,"[178, 599]",192,1320,181,1263,205,1332,1
dialer,2,baseline,"[497, 599]",536,1320,517,1263,559,1333,1
dialer,ABC,baseline,"[499, 601]",538,1325,507,1353,570,1378,0
dialer,3,baseline,"[814, 599]",879,1320,863,1263,906,1335,1
dialer,DEF,baseline,"[814, 600]",879,1323,857,1355,913,1378,0
dialer,4,baseline,"[178, 685]",192,1510,170,1453,217,1522,1
dialer,GHI,baseline,"[178, 684]",192,1508,168,1542,219,1567,0
dialer,5,baseline,"[499, 684]",538,1508,516,1453,561,1524,1
dialer,JKL,baseline,"[499, 685]",538,1510,512,1544,566,1568,0
dialer,6,baseline,"[814, 687]",879,1514,862,1453,908,1524,1
dialer,MNO,baseline,"[813, 686]",878,1512,849,1543,921,1568,0
dialer,7,baseline,"[178, 769]",192,1695,172,1643,214,1712,1
dialer,PQRS,baseline,"[178, 772]",192,1702,154,1732,233,1758,0
dialer,8,baseline,"[499, 772]",538,1702,517,1643,561,1715,1
dialer,TUV,baseline,"[499, 773]",538,1704,509,1734,569,1758,0
dialer,9,baseline,"[814, 769]",879,1695,862,1643,908,1714,1
