screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,8:30 AM,baseline,"[235, 148]",253,326,84,231,414,414,1
clock,"Mon, Tue, Wed, Thu, Fri",baseline,"[268, 215]",289,474,84,450,492,505,1
clock,9:00 AM,baseline,"[236, 315]",254,694,84,603,414,786,1
clock,"Sun, Sat",baseline,"[149, 385]",160,848,84,822,242,877,1
clock,Clock,baseline,"[300, 978]",324,2156,281,2127,367,2177,1
clock,Timer,baseline,"[500, 974]",540,2147,496,2127,583,2177,1
clock,Stopwatch,baseline,"[699, 2147]",-1,-1,675,2127,837,2177,0
clock,Bedtime,baseline,"[898, 977]",969,2154,908,2127,1035,2177,1
clock,8:30 AM,elder_text_heavy,"[231, 147]",249,324,84,231,414,414,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_text_heavy,"[350, 215]",378,474,84,438,664,517,1
clock,9:00 AM,elder_text_heavy,"[232, 313]",250,690,84,603,414,786,1
clock,"Sun, Sat",elder_text_heavy,"[175, 385]",189,848,84,810,300,889,1
clock,Clock,elder_text_heavy,"[300, 978]",324,2156,281,2127,367,2177,1
clock,Timer,elder_text_heavy,"[500, 978]",540,2156,496,2127,583,2177,1
clock,Stopwatch,elder_text_heavy,"[699, 978]",754,2156,675,2127,837,2177,1
clock,Bedtime,elder_text_heavy,"[899, 978]",970,2156,908,2127,1035,2177,1
clock,8:30 AM,elder_zoom_heavy,"[265, 175]",286,384,96,264,470,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_zoom_heavy,"[306, 247]",330,542,96,513,557,575,1
clock,9:00 AM,elder_zoom_heavy,"[265, 361]",286,792,96,688,470,896,1
clock,"Sun, Sat",elder_zoom_heavy,"[170, 440]",183,966,96,937,272,999,1
clock,Clock,elder_zoom_heavy,"[300, 974]",324,2138,275,2108,372,2164,1
clock,Timer,elder_zoom_heavy,"[500, 972]",540,2134,491,2108,589,2164,1
clock,Stopwatch,elder_zoom_heavy,"[701, 975]",757,2141,664,2108,848,2164,1
clock,Bedtime,elder_zoom_heavy,"[897, 974]",968,2138,899,2108,1044,2164,1
clock,8:30 AM,elder_combo_max,"[292, 182]",315,398,104,286,522,516,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_max,"[345, 282]",372,617,104,516,794,714,1
clock,9:00 AM,elder_combo_max,"[291, 412]",314,902,104,792,522,1022,1
clock,"Sun, Sat",elder_combo_max,"[234, 506]",252,1108,104,1046,398,1154,1
clock,Clock,elder_combo_max,"[298, 971]",321,2126,271,2094,376,2155,1
clock,Timer,elder_combo_max,"[500, 970]",540,2124,487,2094,593,2155,1
clock,Stopwatch,elder_combo_max,"[700, 971]",756,2126,657,2094,854,2155,1
clock,Bedtime,elder_combo_max,"[897, 973]",968,2130,894,2094,1050,2155,1
clock,8:30 AM,elder_combo_rtl,"[265, 165]",286,362,96,264,470,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_rtl,"[420, 246]",453,540,96,496,801,592,1
clock,9:00 AM,elder_combo_rtl,"[265, 361]",286,792,96,688,470,896,1
clock,"Sun, Sat",elder_combo_rtl,"[210, 445]",226,977,96,920,357,1016,1
clock,Clock,elder_combo_rtl,"[300, 975]",324,2141,275,2108,372,2164,1
clock,Timer,elder_combo_rtl,"[500, 974]",540,2138,491,2108,589,2164,1
clock,Stopwatch,elder_combo_rtl,"[699, 976]",754,2143,664,2108,848,2164,1
clock,Bedtime,elder_combo_rtl,"[898, 974]",969,2138,899,2108,1044,2164,1
clock,8:30 AM,colorblind_deuteranomaly,"[231, 146]",249,321,84,231,414,414,1
clock,"Mon, Tue, Wed, Thu, Fri",colorblind_deuteranomaly,"[267, 215]",288,474,84,450,492,505,1
