screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,8:30 AM,baseline,"[276, 440]",276,440,84,231,429,414,0
clock,"Mon, Tue, Wed, Thu, Fri",baseline,"[240, 740]",240,740,84,450,493,505,0
clock,9:00 AM,baseline,"[178, 1216]",178,1216,84,603,429,786,0
clock,"Sun, Sat",baseline,"[92, 1327]",92,1327,84,822,241,877,0
clock,Clock,baseline,"[305, 1973]",305,1973,280,2196,367,2246,0
clock,Timer,baseline,"[546, 2080]",546,2080,496,2196,584,2246,0
clock,Stopwatch,baseline,"[792, 2056]",792,2056,675,2196,836,2246,0
clock,Bedtime,baseline,"[958, 2161]",958,2161,908,2196,1035,2246,0
clock,8:30 AM,elder_text_heavy,"[177, 434]",177,434,84,231,429,414,0
clock,"Mon, Tue, Wed, Thu, Fri",elder_text_heavy,"[320, 571]",320,571,84,438,665,517,0
clock,9:00 AM,elder_text_heavy,"[240, 962]",240,962,84,603,429,786,0
clock,"Sun, Sat",elder_text_heavy,"[116, 910]",116,910,84,810,301,889,0
clock,Clock,elder_text_heavy,"[356, 2085]",356,2085,280,2196,367,2246,0
clock,Timer,elder_text_heavy,"[587, 2064]",587,2064,496,2196,584,2246,0
clock,Stopwatch,elder_text_heavy,"[820, 1938]",820,1938,675,2196,836,2246,0
clock,Bedtime,elder_text_heavy,"[967, 2067]",967,2067,908,2196,1035,2246,0
clock,8:30 AM,elder_zoom_heavy,"[279, 476]",279,476,96,264,487,472,0
clock,"Mon, Tue, Wed, Thu, Fri",elder_zoom_heavy,"[240, 645]",240,645,96,513,554,575,0
clock,9:00 AM,elder_zoom_heavy,"[290, 850]",290,850,96,688,487,896,1
clock,"Sun, Sat",elder_zoom_heavy,"[225, 1065]",225,1065,96,937,269,999,0
clock,Clock,elder_zoom_heavy,"[338, 2013]",338,2013,275,2168,373,2224,0
clock,Timer,elder_zoom_heavy,"[593, 2055]",593,2055,491,2168,589,2224,0
clock,Stopwatch,elder_zoom_heavy,"[787, 2129]",787,2129,664,2168,848,2224,0
clock,Bedtime,elder_zoom_heavy,"[995, 2124]",995,2124,900,2168,1044,2224,0
clock,8:30 AM,elder_combo_max,"[317, 538]",317,538,104,286,541,516,0
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_max,"[294, 830]",294,830,104,516,794,714,0
clock,9:00 AM,elder_combo_max,"[572, 606]",572,606,104,792,541,1022,0
clock,"Sun, Sat",elder_combo_max,"[162, 1327]",162,1327,104,1046,393,1154,0
clock,Clock,elder_combo_max,"[360, 2019]",360,2019,271,2148,377,2209,0
clock,Timer,elder_combo_max,"[706, 2066]",706,2066,487,2148,593,2209,0
clock,Stopwatch,elder_combo_max,"[745, 2037]",745,2037,657,2148,854,2209,0
clock,Bedtime,elder_combo_max,"[975, 2138]",975,2138,894,2148,1049,2209,0
clock,8:30 AM,elder_combo_rtl,"[360, 605]",360,605,96,264,487,472,0
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_rtl,"[622, 885]",622,885,96,496,800,592,0
clock,9:00 AM,elder_combo_rtl,"[322, 809]",322,809,96,688,487,896,1
clock,"Sun, Sat",elder_combo_rtl,"[176, 1366]",176,1366,96,920,358,1016,0
clock,Clock,elder_combo_rtl,"[438, 2022]",438,2022,275,2168,373,2224,0
clock,Timer,elder_combo_rtl,"[540, 2043]",540,2043,491,2168,589,2224,0
clock,Stopwatch,elder_combo_rtl,"[749, 1988]",749,1988,664,2168,848,2224,0
clock,Bedtime,elder_combo_rtl,"[922, 2146]",922,2146,900,2168,1044,2224,0
contacts,All contacts,baseline,"[280, 246]",280,246,142,226,342,279,1
contacts,No contacts yet,baseline,"[540, 1561]",540,1561,317,1378,763,1462,0
contacts,Contacts,baseline,"[267, 2115]",267,2115,249,2216,387,2258,0
contacts,Organize,baseline,"[815, 2055]",815,2055,692,2216,829,2258,0
contacts,All contacts,elder_text_heavy,"[252, 263]",252,263,142,214,436,291,1
contacts,No contacts yet,elder_text_heavy,"[540, 1668]",540,1668,289,1365,792,1461,0
contacts,Contacts,elder_text_heavy,"[225, 2119]",225,2119,223,2202,414,2258,0
contacts,Organize,elder_text_heavy,"[852, 2144]",852,2144,666,2202,855,2258,0
contacts,All contacts,elder_zoom_heavy,"[302, 272]",302,272,162,258,394,318,1
contacts,No contacts yet,elder_zoom_heavy,"[540, 1620]",540,1620,284,1404,796,1500,0
contacts,Contacts,elder_zoom_heavy,"[362, 2085]",362,2085,208,2190,365,2238,0
contacts,Organize,elder_zoom_heavy,"[828, 2095]",828,2095,714,2190,869,2238,0
contacts,All contacts,elder_combo_max,"[405, 367]",405,367,176,260,584,366,0
contacts,No contacts yet,elder_combo_max,"[540, 1819]",540,1819,199,1397,881,1526,0
contacts,Contacts,elder_combo_max,"[228, 2079]",228,2079,136,2146,404,2224,0
contacts,Organize,elder_combo_max,"[842, 2116]",842,2116,676,2146,943,2224,0
contacts,All contacts,elder_combo_rtl,"[230, 308]",230,308,162,241,527,336,0
contacts,No contacts yet,elder_combo_rtl,"[540, 1815]",540,1815,242,1387,839,1499,0
contacts,Contacts,elder_combo_rtl,"[242, 2046]",242,2046,170,2171,404,2238,0
contacts,Organize,elder_combo_rtl,"[752, 2056]",752,2056,676,2171,908,2238,0
dialer,Phone Number,baseline,"[540, 1249]",540,1249,147,955,933,1099,0
dialer,1,baseline,"[189, 1259]",189,1259,169,1148,203,1252,0
dialer,2,baseline,"[540, 1295]",540,1295,518,1152,561,1256,0
dialer,ABC,baseline,"[540, 840]",540,840,505,1256,574,1300,0
dialer,3,baseline,"[832, 1379]",832,1379,870,1152,914,1256,0
dialer,DEF,baseline,"[857, 1280]",857,1280,861,1256,924,1300,0
dialer,4,baseline,"[240, 1320]",240,1320,163,1343,210,1447,0
dialer,GHI,baseline,"[165, 1250]",165,1250,157,1447,216,1491,0
dialer,5,baseline,"[540, 1402]",540,1402,516,1343,562,1447,1
dialer,JKL,baseline,"[540, 1440]",540,1440,510,1447,569,1491,0
dialer,6,baseline,"[781, 1295]",781,1295,869,1343,915,1447,0
dialer,MNO,baseline,"[855, 1483]",855,1483,852,1447,933,1491,1
dialer,7,baseline,"[110, 1655]",110,1655,166,1535,208,1639,0
dialer,PQRS,baseline,"[165, 1696]",165,1696,142,1639,232,1683,0
dialer,8,baseline,"[540, 1420]",540,1420,517,1535,562,1639,0
dialer,TUV,baseline,"[540, 1320]",540,1320,507,1639,573,1683,0
dialer,9,baseline,"[835, 1585]",835,1585,869,1535,915,1639,0
dialer,WXYZ,baseline,"[860, 1544]",860,1544,846,1639,939,1683,0
dialer,∗,baseline,"[235, 1857]",235,1857,168,1723,206,1835,0
dialer,0,baseline,"[540, 1732]",540,1732,512,1727,567,1831,1
