screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,Mon-Fri,baseline,"[173.3, 254.1]",173,254,95,221,266,283,1
clock,8:30 AM,baseline,"[229.5, 386.1]",229,386,95,304,393,459,1
clock,Sun Sat,baseline,"[153.4, 602.5]",153,602,95,570,256,632,1
clock,9:00 AM,baseline,"[229.5, 740.0]",229,740,95,653,408,808,1
clock,World Clock,baseline,"[280.3, 2187.9]",280,2187,221,2162,426,2202,1
clock,Timers,baseline,"[480.6, 2187.9]",480,2187,482,2162,596,2202,1
clock,Stopwatch,baseline,"[689.6, 2189.0]",689,2189,666,2162,845,2202,1
clock,Bedtime,baseline,"[895.3, 2184.6]",895,2184,900,2162,1042,2202,1
clock,Mon-Fri,elder_text_heavy,"[195.5, 264.1]",195,264,95,221,319,304,1
clock,8:30 AM,elder_text_heavy,"[229.5, 409.4]",229,409,95,325,393,480,1
clock,Sun Sat,elder_text_heavy,"[176.6, 636.9]",176,636,95,591,309,674,1
clock,9:00 AM,elder_text_heavy,"[226.8, 781.1]",226,781,95,695,408,850,1
clock,World Clock,elder_text_heavy,"[280.3, 2175.7]",280,2175,216,2160,432,2203,1
clock,Timers,elder_text_heavy,"[485.5, 2175.7]",485,2175,478,2160,600,2203,1
clock,Stopwatch,elder_text_heavy,"[695.0, 2175.7]",695,2175,660,2160,851,2203,1
clock,Bedtime,elder_text_heavy,"[887.2, 2177.9]",887,2177,896,2160,1047,2203,1
clock,Mon-Fri,elder_zoom_heavy,"[189.0, 286.6]",189,286,108,252,303,322,1
clock,8:30 AM,elder_zoom_heavy,"[265.7, 443.6]",265,443,108,346,448,523,1
clock,Sun Sat,elder_zoom_heavy,"[184.1, 686.2]",184,686,108,649,293,719,1
clock,9:00 AM,elder_zoom_heavy,"[284.0, 844.4]",284,844,108,743,466,920,1
clock,World Clock,elder_zoom_heavy,"[285.1, 2149.9]",285,2149,221,2130,426,2170,1
clock,Timers,elder_zoom_heavy,"[480.6, 2144.4]",480,2144,483,2130,597,2170,1
clock,Stopwatch,elder_zoom_heavy,"[695.0, 2149.9]",695,2149,666,2130,845,2170,1
clock,Bedtime,elder_zoom_heavy,"[893.7, 2146.6]",893,2146,901,2130,1043,2170,1
clock,Mon-Fri,elder_combo_max,"[240.3, 333.1]",240,333,117,273,419,386,1
clock,8:30 AM,elder_combo_max,"[284.6, 518.1]",284,518,117,412,495,609,1
clock,Sun Sat,elder_combo_max,"[232.2, 809.8]",232,809,117,746,403,859,1
clock,9:00 AM,elder_combo_max,"[273.8, 990.5]",273,990,117,885,513,1082,1
clock,World Clock,elder_combo_max,"[285.7, 2131.3]",285,2131,216,2106,432,2151,1
clock,Timers,elder_combo_max,"[485.5, 2131.3]",485,2131,476,2106,604,2151,1
clock,Stopwatch,elder_combo_max,"[695.0, 2131.3]",695,2131,654,2106,857,2151,1
clock,Bedtime,elder_combo_max,"[894.8, 2125.8]",894,2125,892,2106,1052,2151,1
clock,Mon-Fri,elder_combo_rtl,"[236.0, 305.2]",236,305,108,252,378,352,1
clock,8:30 AM,elder_combo_rtl,"[259.7, 471.0]",259,471,108,376,448,553,1
clock,Sun Sat,elder_combo_rtl,"[217.1, 730.2]",217,730,108,679,363,779,1
clock,9:00 AM,elder_combo_rtl,"[265.1, 902.6]",265,902,108,803,466,980,1
clock,World Clock,elder_combo_rtl,"[286.7, 2149.9]",286,2149,216,2130,432,2174,1
clock,Timers,elder_combo_rtl,"[485.5, 2149.9]",485,2149,477,2130,603,2174,1
clock,Stopwatch,elder_combo_rtl,"[695.0, 2149.9]",695,2149,658,2130,854,2174,1
clock,Bedtime,elder_combo_rtl,"[895.9, 2153.2]",895,2153,894,2130,1049,2174,1
clock,Mon-Fri,colorblind_deuteranomaly,"[173.3, 254.1]",173,254,95,221,266,283,1
clock,8:30 AM,colorblind_deuteranomaly,"[229.5, 386.1]",229,386,95,304,393,459,1
clock,Sun Sat,colorblind_deuteranomaly,"[153.4, 602.5]",153,602,95,570,256,632,1
clock,9:00 AM,colorblind_deuteranomaly,"[229.5, 740.0]",229,740,95,653,408,808,1
clock,World Clock,colorblind_deuteranomaly,"[280.3, 2179.1]",280,2179,221,2162,426,2202,1
clock,Timers,colorblind_deuteranomaly,"[485.5, 2170.2]",485,2170,482,2162,596,2202,1
clock,Stopwatch,colorblind_deuteranomaly,"[689.6, 2189.0]",689,2189,666,2162,845,2202,1
clock,Bedtime,colorblind_deuteranomaly,"[895.3, 2184.6]",895,2184,900,2162,1042,2202,1
contacts,All contacts,baseline,"""All contacts'.",-1,-1,142,226,342,279,0
contacts,Your info,baseline,"[267.8, 397.2]",267,397,221,389,346,431,1
contacts,Andres,baseline,"[285.7, 464.9]",285,464,221,431,365,494,1
contacts,No contacts yet,baseline,"[536.2, 1483.4]",536,1483,317,1446,763,1530,1
contacts,Contacts,baseline,"[113.4, 2187.9]",113,2187,110,2161,248,2203,1
contacts,Highlights,baseline,"[474.1, 2190.2]",474,2190,463,2161,616,2203,1
contacts,Organize,baseline,"[803.0, 2187.9]",803,2187,831,2161,968,2203,1
contacts,All contacts,elder_text_heavy,"""All contacts'.",-1,-1,142,214,436,291,0
contacts,Your info,elder_text_heavy,"[301.3, 416.1]",301,416,221,389,400,448,1
contacts,Andres,elder_text_heavy,"[317.5, 495.9]",317,495,221,448,412,534,1
contacts,No contacts yet,elder_text_heavy,"[507.1, 1503.4]",507,1503,289,1453,792,1549,1
contacts,Contacts,elder_text_heavy,"[121.0, 2176.8]",121,2176,84,2147,275,2203,1
contacts,Highlights,elder_text_heavy,"[467.1, 2176.8]",467,2176,434,2147,646,2203,1
contacts,Organize,elder_text_heavy,"[806.2, 2176.8]",806,2176,805,2147,994,2203,1
contacts,All contacts,elder_zoom_heavy,"""All contacts'.",-1,-1,162,258,394,318,0
contacts,Your info,elder_zoom_heavy,"[302.4, 463.4]",302,463,252,444,396,492,1
contacts,Andres,elder_zoom_heavy,"[324.5, 531.4]",324,531,252,492,415,564,1
contacts,No contacts yet,elder_zoom_heavy,"[511.9, 1531.7]",511,1531,284,1482,796,1578,1
contacts,Contacts,elder_zoom_heavy,"[113.4, 2165.3]",113,2165,101,2130,258,2178,1
contacts,Highlights,elder_zoom_heavy,"[461.7, 2164.2]",461,2164,452,2130,627,2178,1
contacts,Organize,elder_zoom_heavy,"[807.3, 2165.3]",807,2165,822,2130,977,2178,1
contacts,All contacts,elder_combo_max,"[402.8, 312.4]",402,312,176,260,584,366,1
contacts,Your info,elder_combo_max,"[386.6, 526.8]",386,526,273,483,523,567,1
contacts,Andres,elder_combo_max,"[387.7, 630.2]",387,630,273,567,538,684,1
contacts,No contacts yet,elder_combo_max,"[488.2, 1588.1]",488,1588,199,1516,881,1645,1
contacts,Contacts,elder_combo_max,"[135.0, 2125.8]",135,2125,46,2079,314,2157,1
contacts,Highlights,elder_combo_max,"[466.0, 2120.4]",466,2120,390,2079,690,2157,1
contacts,Organize,elder_combo_max,"[812.2, 2120.4]",812,2120,766,2079,1033,2157,1
contacts,All contacts,elder_combo_rtl,"[361.3, 287.7]",361,287,162,241,527,336,1
contacts,Your info,elder_combo_rtl,"[352.1, 483.1]",352,483,252,444,470,516,1
contacts,Andres,elder_combo_rtl,"[346.7, 573.2]",346,573,252,516,486,620,1
contacts,No contacts yet,elder_combo_rtl,"[508.7, 1557.0]",508,1557,242,1493,839,1605,1
contacts,Contacts,elder_combo_rtl,"[125.8, 2153.2]",125,2153,63,2111,297,2178,1
contacts,Highlights,elder_combo_rtl,"[460.1, 2153.2]",460,2153,409,2111,671,2178,1
contacts,Organize,elder_combo_rtl,"[810.0, 2153.2]",810,2153,784,2111,1016,2178,1
contacts,All contacts,colorblind_deuteranomaly,"""All contacts'.",-1,-1,142,226,342,279,0
contacts,Your info,colorblind_deuteranomaly,"[277.0, 400.5]",277,400,221,389,346,431,1
contacts,Andres,colorblind_deuteranomaly,"[293.2, 462.7]",293,462,221,431,365,494,1
contacts,No contacts yet,colorblind_deuteranomaly,"[536.2, 1486.7]",536,1486,317,1446,763,1530,1
contacts,Contacts,colorblind_deuteranomaly,"[115.6, 2187.9]",115,2187,110,2161,248,2203,1
contacts,Highlights,colorblind_deuteranomaly,"[474.1, 2190.2]",474,2190,463,2161,616,2203,1
contacts,Organize,colorblind_deuteranomaly,"[803.0, 2187.9]",803,2187,831,2161,968,2203,1
dialer,Phone Number,baseline,"[538.9, 1947.2]",538,1947,147,900,933,1044,0
dialer,1,baseline,"[133.4, 1145.0]",133,1145,169,1093,203,1197,0
dialer,2,baseline,"[538.4, 1147.2]",538,1147,518,1097,561,1201,1
dialer,ABC,baseline,"[538.4, 1228.2]",538,1228,505,1201,574,1245,1
dialer,3,baseline,"[831.1, 1157.2]",831,1157,870,1097,914,1201,0
dialer,DEF,baseline,"[833.8, 1236.0]",833,1236,861,1201,924,1245,1
dialer,4,baseline,"[183.6, 1332.5]",183,1332,163,1288,210,1392,1
dialer,GHI,baseline,"[131.2, 1433.5]",131,1433,157,1392,216,1436,1
dialer,5,baseline,"[536.2, 1338.1]",536,1338,516,1288,562,1392,1
dialer,JKL,baseline,"[538.9, 1422.4]",538,1422,510,1392,569,1436,1
dialer,6,baseline,"[837.0, 1341.4]",837,1341,869,1288,915,1392,0
dialer,MNO,baseline,"[833.8, 1423.5]",833,1423,852,1392,933,1436,1
dialer,7,baseline,"[179.8, 1521.1]",179,1521,166,1480,208,1584,1
dialer,PQRS,baseline,"[141.5, 1605.4]",141,1605,142,1584,232,1628,1
dialer,8,baseline,"[538.4, 1528.9]",538,1528,517,1480,562,1584,1
dialer,TUV,baseline,"[536.8, 1605.4]",536,1605,507,1584,573,1628,1
dialer,9,baseline,"[843.5, 1528.9]",843,1528,869,1480,915,1584,1
dialer,WXYZ,baseline,"[805.1, 1597.7]",805,1597,846,1584,939,1628,0
dialer,∗,baseline,"[941.2, 979.7]",941,979,168,1668,206,1780,0
dialer,0,baseline,"[536.8, 1720.8]",536,1720,512,1672,567,1776,1
dialer,+,baseline,"[449.8, 1798.5]",449,1798,529,1776,549,1820,0
dialer,#,baseline,"[103.7, 1741.9]",103,1741,865,1672,921,1776,0
dialer,Call,baseline,"[550.8, 1943.8]",550,1943,414,1871,666,2018,1
dialer,Home,baseline,"[134.5, 2184.6]",134,2184,135,2161,224,2203,1
dialer,Keypad,baseline,"[475.7, 2173.5]",475,2173,481,2161,597,2203,1
dialer,Voicemail,baseline,"[833.8, 2187.9]",833,2187,826,2161,972,2203,1
dialer,Phone Number,elder_text_heavy,"[538.9, 1947.2]",538,1947,147,886,933,1030,0
dialer,1,elder_text_heavy,"[138.8, 1130.6]",138,1130,169,1079,203,1183,0
dialer,2,elder_text_heavy,"[538.4, 1131.7]",538,1131,518,1083,561,1187,1
dialer,ABC,elder_text_heavy,"[538.4, 1206.0]",538,1206,505,1187,574,1231,1
dialer,3,elder_text_heavy,"[875.3, 1132.8]",875,1132,870,1083,914,1187,1
dialer,DEF,elder_text_heavy,"[861.3, 1210.5]",861,1210,861,1187,924,1231,1
dialer,4,elder_text_heavy,"[182.5, 1320.3]",182,1320,163,1274,210,1378,1
dialer,GHI,elder_text_heavy,"[139.3, 1412.4]",139,1412,157,1378,216,1422,1
dialer,5,elder_text_heavy,"[483.3, 1321.4]",483,1321,516,1274,562,1378,0
dialer,JKL,elder_text_heavy,"[538.9, 1413.5]",538,1413,510,1378,569,1422,1
dialer,6,elder_text_heavy,"[837.0, 1336.9]",837,1336,869,1274,915,1378,0
dialer,MNO,elder_text_heavy,"[833.8, 1414.6]",833,1414,852,1378,933,1422,1
dialer,7,elder_text_heavy,"[132.8, 1520.0]",132,1520,166,1466,208,1570,0
dialer,PQRS,elder_text_heavy,"[134.5, 1601.0]",134,1601,142,1570,232,1614,1
dialer,8,elder_text_heavy,"[538.4, 1507.8]",538,1507,517,1466,562,1570,1
dialer,TUV,elder_text_heavy,"[536.8, 1599.9]",536,1599,507,1570,573,1614,1
dialer,9,elder_text_heavy,'9'.,-1,-1,869,1466,915,1570,0
dialer,WXYZ,elder_text_heavy,"[814.9, 1581.0]",814,1581,846,1570,939,1614,0
dialer,∗,elder_text_heavy,"[875.9, 2083.6]",875,2083,168,1654,206,1766,0
dialer,0,elder_text_heavy,"[536.2, 1703.1]",536,1703,512,1658,567,1762,1
dialer,+,elder_text_heavy,"[162.0, 1734.1]",162,1734,529,1762,549,1806,0
dialer,#,elder_text_heavy,'.'.,-1,-1,865,1658,921,1762,0
dialer,Call,elder_text_heavy,"[538.4, 1939.4]",538,1939,400,1857,681,2004,1
dialer,Home,elder_text_heavy,"[121.0, 2174.6]",121,2174,118,2147,241,2203,1
dialer,Keypad,elder_text_heavy,"[475.2, 2173.5]",475,2173,461,2147,618,2203,1
dialer,Voicemail,elder_text_heavy,"[824.0, 2179.1]",824,2179,800,2147,1000,2203,1
dialer,Phone Number,elder_zoom_heavy,"[538.9, 1886.4]",538,1886,168,690,912,855,0
dialer,1,elder_zoom_heavy,"[138.8, 961.8]",138,961,168,911,207,1029,0
dialer,2,elder_zoom_heavy,"[538.4, 967.3]",538,967,514,916,564,1034,1
dialer,ABC,elder_zoom_heavy,"[538.4, 1065.1]",538,1065,500,1034,579,1085,1
dialer,3,elder_zoom_heavy,"[855.9, 976.1]",855,976,866,916,916,1034,1
dialer,DEF,elder_zoom_heavy,"[842.9, 1061.8]",842,1061,855,1034,928,1085,1
dialer,4,elder_zoom_heavy,"[182.5, 1197.9]",182,1197,160,1135,214,1253,1
dialer,GHI,elder_zoom_heavy,"[139.3, 1289.1]",139,1289,154,1253,221,1304,1
dialer,5,elder_zoom_heavy,"[536.2, 1193.5]",536,1193,514,1135,566,1253,1
dialer,JKL,elder_zoom_heavy,"[538.9, 1279.2]",538,1279,506,1253,574,1304,1
dialer,6,elder_zoom_heavy,"[836.5, 1193.5]",836,1193,865,1135,918,1253,0
dialer,MNO,elder_zoom_heavy,"[827.3, 1282.5]",827,1282,845,1253,938,1304,1
dialer,7,elder_zoom_heavy,"[130.1, 1397.8]",130,1397,163,1354,211,1472,0
dialer,PQRS,elder_zoom_heavy,"[142.0, 1494.4]",142,1494,136,1472,239,1523,1
dialer,8,elder_zoom_heavy,"[536.2, 1408.7]",536,1408,514,1354,565,1472,1
dialer,TUV,elder_zoom_heavy,"[538.4, 1495.5]",538,1495,502,1472,577,1523,1
dialer,9,elder_zoom_heavy,"[843.5, 1406.5]",843,1406,865,1354,918,1472,1
dialer,WXYZ,elder_zoom_heavy,"[817.0, 1501.0]",817,1501,839,1472,945,1523,1
dialer,∗,elder_zoom_heavy,"[131.8, 1077.1]",131,1077,166,1568,209,1696,0
dialer,0,elder_zoom_heavy,"[536.8, 1639.3]",536,1639,508,1573,571,1691,1
dialer,+,elder_zoom_heavy,"[538.4, 1726.1]",538,1726,528,1691,551,1742,1
dialer,#,elder_zoom_heavy,'.'.,-1,-1,860,1573,924,1691,0
dialer,Call,elder_zoom_heavy,"[537.3, 1891.9]",537,1891,396,1800,684,1968,1
dialer,Home,elder_zoom_heavy,"[108.5, 2155.4]",108,2155,129,2130,230,2178,1
dialer,Keypad,elder_zoom_heavy,"[484.9, 2151.0]",484,2151,475,2130,605,2178,1
dialer,Voicemail,elder_zoom_heavy,"[810.0, 2162.0]",810,2162,817,2130,982,2178,1
dialer,Phone Number,elder_combo_max,"[126.4, 1563.1]",126,1563,182,518,898,697,0
dialer,1,elder_combo_max,"[175.0, 815.3]",175,815,167,758,209,885,1
dialer,2,elder_combo_max,"[538.4, 829.4]",538,829,513,764,566,891,1
dialer,ABC,elder_combo_max,"[541.6, 903.5]",541,903,497,891,582,945,1
dialer,3,elder_combo_max,"[855.9, 829.4]",855,829,863,764,917,891,1
dialer,DEF,elder_combo_max,"[840.2, 917.6]",840,917,851,891,930,945,1
dialer,4,elder_combo_max,"[179.8, 1058.0]",179,1058,159,1001,217,1128,1
dialer,GHI,elder_combo_max,"[171.7, 1153.8]",171,1153,152,1128,225,1182,1
dialer,5,elder_combo_max,"[537.8, 1056.9]",537,1056,511,1001,567,1128,1
dialer,JKL,elder_combo_max,"[534.1, 1153.8]",534,1153,503,1128,575,1182,1
dialer,6,elder_combo_max,"[538.4, 1050.4]",538,1050,862,1001,919,1128,0
dialer,MNO,elder_combo_max,"[833.8, 1153.8]",833,1153,841,1128,940,1182,1
dialer,7,elder_combo_max,"[178.2, 1298.6]",178,1298,162,1238,214,1365,1
dialer,PQRS,elder_combo_max,"[142.6, 1393.3]",142,1393,133,1365,244,1419,1
dialer,8,elder_combo_max,"[536.8, 1302.9]",536,1302,511,1238,566,1365,1
dialer,TUV,elder_combo_max,"[538.4, 1402.0]",538,1402,499,1365,579,1419,1
dialer,9,elder_combo_max,"[831.1, 1305.1]",831,1305,862,1238,919,1365,0
dialer,WXYZ,elder_combo_max,"[840.2, 1399.8]",840,1399,834,1365,947,1419,1
dialer,∗,elder_combo_max,"[788.4, 2014.8]",788,2014,165,1470,212,1608,0
dialer,0,elder_combo_max,"[540.0, 1559.8]",540,1559,506,1475,573,1602,1
dialer,+,elder_combo_max,"[446.6, 1641.5]",446,1641,527,1602,552,1656,0
dialer,#,elder_combo_max,"[100.4, 1562.0]",100,1562,856,1475,925,1602,0
dialer,Call,elder_combo_max,"[555.7, 1816.7]",555,1816,360,1721,720,1903,1
dialer,Home,elder_combo_max,"[115.6, 2115.0]",115,2115,93,2079,266,2157,1
dialer,Keypad,elder_combo_max,"[480.6, 2121.5]",480,2121,429,2079,651,2157,1
dialer,Voicemail,elder_combo_max,"[835.9, 2121.5]",835,2121,757,2079,1042,2157,1
dialer,Phone Number,elder_combo_rtl,"[121.0, 1503.2]",121,1503,168,671,912,836,0
dialer,1,elder_combo_rtl,"[138.8, 955.3]",138,955,168,892,207,1010,0
dialer,2,elder_combo_rtl,"[538.4, 956.4]",538,956,514,897,564,1015,1
dialer,ABC,elder_combo_rtl,"[534.1, 1044.2]",534,1044,500,1015,579,1066,1
dialer,3,elder_combo_rtl,"[899.6, 959.7]",899,959,866,897,916,1015,1
dialer,DEF,elder_combo_rtl,"[830.5, 1049.7]",830,1049,855,1015,928,1066,1
dialer,4,elder_combo_rtl,"[182.5, 1173.8]",182,1173,160,1116,214,1234,1
dialer,GHI,elder_combo_rtl,"[144.2, 1259.4]",144,1259,154,1234,221,1285,1
dialer,5,elder_combo_rtl,"[536.2, 1169.4]",536,1169,514,1116,566,1234,1
dialer,JKL,elder_combo_rtl,"[538.4, 1261.6]",538,1261,506,1234,574,1285,1
dialer,6,elder_combo_rtl,"[836.5, 1173.8]",836,1173,865,1116,918,1234,0
dialer,MNO,elder_combo_rtl,"[833.8, 1271.5]",833,1271,845,1234,938,1285,1
dialer,7,elder_combo_rtl,"[178.2, 1386.8]",178,1386,163,1335,211,1453,1
dialer,PQRS,elder_combo_rtl,"[145.8, 1480.1]",145,1480,136,1453,239,1504,1
dialer,8,elder_combo_rtl,"[538.4, 1398.9]",538,1398,514,1335,565,1453,1
dialer,TUV,elder_combo_rtl,"[538.4, 1477.9]",538,1477,502,1453,577,1504,1
dialer,9,elder_combo_rtl,"[846.2, 1389.0]",846,1389,865,1335,918,1453,1
dialer,WXYZ,elder_combo_rtl,"[806.8, 1479.0]",806,1479,839,1453,945,1504,0
dialer,∗,elder_combo_rtl,"[943.4, 744.4]",943,744,166,1549,209,1677,0
dialer,0,elder_combo_rtl,"[538.4, 1614.1]",538,1614,508,1554,571,1672,1
dialer,+,elder_combo_rtl,"[480.1, 1699.7]",480,1699,528,1672,551,1723,0
dialer,#,elder_combo_rtl,"[108.0, 1627.2]",108,1627,860,1554,924,1672,0
dialer,Call,elder_combo_rtl,"[538.9, 1868.8]",538,1868,377,1781,704,1949,1
