Model,Profile,Total_Pairs,Both_Pass_a,Broke_It_b,Fluke_Recovery_c,Both_Fail_d,Discordant_Pairs,Baseline_Acc,Exp_Acc,Risk_Diff,Risk_Diff_CI_Low,Risk_Diff_CI_High,Odds_Ratio,OR_CI_Low,OR_CI_High,Test_Used,Statistic,P_Value,Holm_Threshold,Significant,Power_Limit
9router_cx_gpt-5.4-mini,elder_text_heavy,146,38,14,1,93,15,35.6%,26.7%,0.0890,0.0390,0.1395,14.000,2.130,591.968,Exact Binomial (n=15),,0.000977,0.001786,Yes,floor
9router_cx_gpt-5.4-mini,elder_zoom_heavy,151,45,9,11,86,20,35.8%,37.1%,-0.0132,-0.0709,0.0445,0.818,0.300,2.172,Exact Binomial (n=20),,0.823803,0.005000,No,floor
9router_cx_gpt-5.4-mini,elder_combo_max,112,38,12,9,53,21,44.6%,42.0%,0.0268,-0.0524,0.1053,1.333,0.516,3.583,Exact Binomial (n=21),,0.663624,0.004167,No,floor
9router_cx_gpt-5.4-mini,colorblind_deuteranomaly,162,52,5,8,97,13,35.2%,37.0%,-0.0185,-0.0620,0.0250,0.625,0.161,2.167,Exact Binomial (n=13),,0.581055,0.003333,No,floor
9router_cx_gpt-5.4,elder_text_heavy,146,61,17,7,61,24,53.4%,46.6%,0.0685,0.0038,0.1318,2.429,0.957,6.927,Exact Binomial (n=24),,0.063915,0.002083,No,none
9router_cx_gpt-5.4,elder_zoom_heavy,151,70,10,27,44,37,53.0%,64.2%,-0.1126,-0.1874,-0.0353,0.370,0.160,0.790,"Asymptotic (Edwards' correction, n=37)",6.9189,0.008529,0.001852,No,none
9router_cx_gpt-5.4,elder_combo_max,112,61,15,17,19,32,67.9%,69.6%,-0.0179,-0.1157,0.0805,0.882,0.410,1.878,"Asymptotic (Edwards' correction, n=32)",0.0312,0.859684,0.005556,No,none
9router_cx_gpt-5.4,colorblind_deuteranomaly,162,78,7,15,62,22,52.5%,57.4%,-0.0494,-0.1046,0.0066,0.467,0.161,1.216,Exact Binomial (n=22),,0.133801,0.002381,No,none
9router_cx_gpt-5.5,elder_text_heavy,146,139,4,0,3,4,97.9%,95.2%,0.0274,-0.0017,0.0677,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.002174,No,ceiling
9router_cx_gpt-5.5,elder_zoom_heavy,151,146,2,3,0,5,98.0%,98.7%,-0.0066,-0.0449,0.0298,0.667,0.056,5.820,Exact Binomial (n=5),,1.000000,0.006250,No,ceiling
