Model,Profile,Total_Pairs,Both_Pass_a,Broke_It_b,Fluke_Recovery_c,Both_Fail_d,Discordant_Pairs,Baseline_Acc,Exp_Acc,Risk_Diff,Risk_Diff_CI_Low,Risk_Diff_CI_High,Odds_Ratio,OR_CI_Low,OR_CI_High,Test_Used,Statistic,P_Value,Holm_Threshold,Significant,Power_Limit
9router_cx_gpt-5.4-mini,elder_text_heavy,144,41,14,6,83,20,38.2%,32.6%,0.0556,-0.0046,0.1152,2.333,0.842,7.408,Exact Binomial (n=20),,0.115318,0.001923,No,floor
9router_cx_gpt-5.4-mini,elder_zoom_heavy,149,44,11,10,84,21,36.9%,36.2%,0.0067,-0.0532,0.0666,1.100,0.424,2.889,Exact Binomial (n=21),,1.000000,0.010000,No,floor
9router_cx_gpt-5.4-mini,elder_combo_max,113,35,17,12,49,29,46.0%,41.6%,0.0442,-0.0481,0.1351,1.417,0.638,3.251,"Asymptotic (Edwards' correction, n=29)",0.5517,0.457614,0.003571,No,floor
9router_cx_gpt-5.4-mini,elder_combo_mid,125,35,18,7,65,25,42.4%,33.6%,0.0880,0.0110,0.1631,2.571,1.025,7.284,"Asymptotic (Edwards' correction, n=25)",4.0000,0.045500,0.001724,No,floor
9router_cx_gpt-5.4-mini,colorblind_deuteranomaly,160,44,12,8,96,20,35.0%,32.5%,0.0250,-0.0296,0.0795,1.500,0.564,4.230,Exact Binomial (n=20),,0.503445,0.005000,No,floor
9router_cx_gpt-5.4,elder_text_heavy,144,61,25,15,43,40,59.7%,52.8%,0.0694,-0.0158,0.1528,1.667,0.845,3.400,"Asymptotic (Edwards' correction, n=40)",2.0250,0.154729,0.002381,No,none
9router_cx_gpt-5.4,elder_zoom_heavy,149,72,17,26,34,43,59.7%,65.8%,-0.0604,-0.1446,0.0252,0.654,0.333,1.252,"Asymptotic (Edwards' correction, n=43)",1.4884,0.222469,0.002941,No,none
9router_cx_gpt-5.4,elder_combo_max,113,65,13,15,20,28,69.0%,70.8%,-0.0177,-0.1087,0.0736,0.867,0.380,1.952,"Asymptotic (Edwards' correction, n=28)",0.0357,0.850107,0.008333,No,none
9router_cx_gpt-5.4,elder_combo_mid,125,62,21,18,24,39,66.4%,64.0%,0.0240,-0.0731,0.1204,1.167,0.592,2.323,"Asymptotic (Edwards' correction, n=39)",0.1026,0.748774,0.007143,No,none
9router_cx_gpt-5.4,colorblind_deuteranomaly,160,68,22,13,57,35,56.2%,50.6%,0.0563,-0.0155,0.1268,1.692,0.816,3.657,"Asymptotic (Edwards' correction, n=35)",1.8286,0.176296,0.002500,No,none
9router_cx_gpt-5.5,elder_text_heavy,144,139,4,0,1,4,99.3%,96.5%,0.0278,-0.0010,0.0696,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.002000,No,ceiling
9router_cx_gpt-5.5,elder_zoom_heavy,149,143,5,1,0,6,99.3%,96.6%,0.0268,-0.0093,0.0699,5.000,0.559,236.488,Exact Binomial (n=6),,0.218750,0.002778,No,ceiling
9router_cx_gpt-5.5,elder_combo_max,113,109,4,0,0,4,100.0%,96.5%,0.0354,-0.0039,0.0875,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.002083,No,ceiling
9router_cx_gpt-5.5,elder_combo_mid,125,121,4,0,0,4,100.0%,96.8%,0.0320,-0.0036,0.0794,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.002174,No,ceiling
