Sample,Profile,Target_Clusters,Observations,Statistic,Broke_It_b,Fluke_Recovery_c,Permutations,P_Value,Holm_Threshold,Significant
full,elder_text_heavy,143,858,30.0,55,25,20000,0.007450,0.010000,Yes
full,elder_zoom_heavy,149,894,-4.0,37,41,20000,0.742413,0.050000,No
full,elder_combo_max,112,672,17.0,46,29,20000,0.125344,0.016667,No
full,elder_combo_mid,125,750,29.0,58,29,20000,0.016199,0.012500,No
full,colorblind_deuteranomaly,160,960,13.0,41,28,20000,0.184491,0.025000,No
primary,elder_text_heavy,139,834,22.0,47,25,20000,0.025149,0.010000,No
primary,elder_zoom_heavy,144,864,-7.0,33,40,20000,0.490175,0.025000,No
primary,elder_combo_max,111,666,17.0,46,29,20000,0.123594,0.016667,No
primary,elder_combo_mid,123,738,26.0,55,29,20000,0.027099,0.012500,No
primary,colorblind_deuteranomaly,136,816,3.0,28,25,20000,0.783561,0.050000,No
precautionary,elder_text_heavy,109,654,14.0,36,22,20000,0.115044,0.012500,No
precautionary,elder_zoom_heavy,112,672,-3.0,28,31,20000,0.789611,0.050000,No
precautionary,elder_combo_max,91,546,5.0,33,28,20000,0.677916,0.016667,No
precautionary,elder_combo_mid,100,600,19.0,44,25,20000,0.081096,0.010000,No
precautionary,colorblind_deuteranomaly,136,816,3.0,28,25,20000,0.783561,0.025000,No
uniform,elder_text_heavy,109,654,14.0,36,22,20000,0.115044,0.012500,No
uniform,elder_zoom_heavy,112,672,-3.0,28,31,20000,0.789611,0.050000,No
uniform,elder_combo_max,91,546,5.0,33,28,20000,0.677916,0.025000,No
uniform,elder_combo_mid,100,600,19.0,44,25,20000,0.081096,0.010000,No
uniform,colorblind_deuteranomaly,117,702,4.0,25,21,20000,0.656167,0.016667,No
