Sample,Profile,Targets_Present,Targets_Total,Reachability,CI_Low,CI_High
full,elder_text_heavy,144,162,0.8889,0.8312,0.9286
full,elder_zoom_heavy,149,162,0.9198,0.8676,0.9525
full,elder_combo_max,113,162,0.6975,0.6229,0.7630
full,elder_combo_mid,125,162,0.7716,0.7011,0.8295
full,colorblind_deuteranomaly,160,162,0.9877,0.9561,0.9966
primary,elder_text_heavy,140,155,0.9032,0.8465,0.9405
primary,elder_zoom_heavy,144,155,0.9290,0.8774,0.9599
primary,elder_combo_max,112,155,0.7226,0.6474,0.7870
primary,elder_combo_mid,123,155,0.7935,0.7231,0.8498
primary,colorblind_deuteranomaly,136,136,1.0000,0.9725,1.0000
precautionary,elder_text_heavy,110,117,0.9402,0.8816,0.9707
precautionary,elder_zoom_heavy,112,117,0.9573,0.9038,0.9816
precautionary,elder_combo_max,92,117,0.7863,0.7036,0.8509
precautionary,elder_combo_mid,100,117,0.8547,0.7796,0.9073
precautionary,colorblind_deuteranomaly,136,136,1.0000,0.9725,1.0000
uniform,elder_text_heavy,110,117,0.9402,0.8816,0.9707
uniform,elder_zoom_heavy,112,117,0.9573,0.9038,0.9816
uniform,elder_combo_max,92,117,0.7863,0.7036,0.8509
uniform,elder_combo_mid,100,117,0.8547,0.7796,0.9073
uniform,colorblind_deuteranomaly,117,117,1.0000,0.9682,1.0000
