Sample,Profile,Target_Clusters,Observations,Statistic,Broke_It_b,Fluke_Recovery_c,Permutations,P_Value,Holm_Threshold,Significant
full,elder_text_heavy,125,2000,28.0,57,29,20000,0.002550,0.010000,Yes
full,elder_zoom_heavy,128,2048,9.0,55,46,20000,0.460827,0.050000,No
full,elder_combo_max,104,1664,32.0,66,34,20000,0.006050,0.016667,Yes
full,elder_combo_mid,111,1776,22.0,56,34,20000,0.016999,0.025000,Yes
full,colorblind_deuteranomaly,136,2176,28.0,53,25,20000,0.002950,0.012500,Yes
primary,elder_text_heavy,125,2000,28.0,57,29,20000,0.002550,0.010000,Yes
primary,elder_zoom_heavy,128,2048,9.0,55,46,20000,0.460827,0.050000,No
primary,elder_combo_max,104,1664,32.0,66,34,20000,0.006050,0.012500,Yes
primary,elder_combo_mid,111,1776,22.0,56,34,20000,0.016999,0.025000,Yes
primary,colorblind_deuteranomaly,119,1904,20.0,41,21,20000,0.011799,0.016667,Yes
precautionary,elder_text_heavy,95,1520,22.0,44,22,20000,0.007600,0.010000,Yes
precautionary,elder_zoom_heavy,96,1536,12.0,44,32,20000,0.248488,0.050000,No
precautionary,elder_combo_max,84,1344,22.0,50,28,20000,0.036748,0.016667,No
precautionary,elder_combo_mid,88,1408,14.0,41,27,20000,0.103045,0.025000,No
precautionary,colorblind_deuteranomaly,119,1904,20.0,41,21,20000,0.011799,0.012500,Yes
uniform,elder_text_heavy,95,1520,22.0,44,22,20000,0.007600,0.010000,Yes
uniform,elder_zoom_heavy,96,1536,12.0,44,32,20000,0.248488,0.050000,No
uniform,elder_combo_max,84,1344,22.0,50,28,20000,0.036748,0.016667,No
uniform,elder_combo_mid,88,1408,14.0,41,27,20000,0.103045,0.025000,No
uniform,colorblind_deuteranomaly,100,1600,16.0,33,17,20000,0.024849,0.012500,No
