Sample,Model,Profile,Total_Pairs,Both_Pass_a,Broke_It_b,Fluke_Recovery_c,Both_Fail_d,Discordant_Pairs,Baseline_Acc,Exp_Acc,Risk_Diff,Risk_Diff_CI_Low,Risk_Diff_CI_High,Odds_Ratio,OR_CI_Low,OR_CI_High,Test_Used,Statistic,P_Value,Holm_Threshold,Significant,Power_Limit
full,anthropic_claude-haiku-4-5,elder_text_heavy,125,104,10,1,10,11,91.2%,84.0%,0.0720,0.0215,0.1301,10.000,1.423,433.977,Exact Binomial (n=11),,0.011719,0.000610,No,none
full,anthropic_claude-haiku-4-5,elder_zoom_heavy,128,108,9,8,3,17,91.4%,90.6%,0.0078,-0.0586,0.0747,1.125,0.385,3.351,Exact Binomial (n=17),,1.000000,0.001163,No,none
full,anthropic_claude-haiku-4-5,elder_combo_max,104,82,11,2,9,13,89.4%,80.8%,0.0865,0.0203,0.1587,5.500,1.200,51.065,Exact Binomial (n=13),,0.022461,0.000649,No,none
full,anthropic_claude-haiku-4-5,elder_combo_mid,111,88,12,4,7,16,90.1%,82.9%,0.0721,0.0017,0.1464,3.000,0.909,12.762,Exact Binomial (n=16),,0.076813,0.000685,No,none
full,anthropic_claude-haiku-4-5,colorblind_deuteranomaly,136,119,5,2,10,7,91.2%,89.0%,0.0221,-0.0195,0.0673,2.500,0.409,26.253,Exact Binomial (n=7),,0.453125,0.000909,No,none
full,anthropic_claude-opus-5,elder_text_heavy,125,125,0,0,0,0,100.0%,100.0%,0.0000,-0.0298,0.0298,,,,N/A (no discordant pairs),,1.000000,0.001190,No,ceiling
full,anthropic_claude-opus-5,elder_zoom_heavy,128,127,1,0,0,1,100.0%,99.2%,0.0078,-0.0220,0.0429,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001220,No,ceiling
full,anthropic_claude-opus-5,elder_combo_max,104,103,1,0,0,1,100.0%,99.0%,0.0096,-0.0269,0.0525,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001250,No,ceiling
full,anthropic_claude-opus-5,elder_combo_mid,111,111,0,0,0,0,100.0%,100.0%,0.0000,-0.0335,0.0335,,,,N/A (no discordant pairs),,1.000000,0.001282,No,ceiling
full,anthropic_claude-opus-5,colorblind_deuteranomaly,136,135,0,1,0,1,99.3%,100.0%,-0.0074,-0.0405,0.0208,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.001316,No,ceiling
full,anthropic_claude-sonnet-4-6,elder_text_heavy,125,117,4,0,4,4,96.8%,93.6%,0.0320,-0.0021,0.0779,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.000704,No,ceiling
full,anthropic_claude-sonnet-4-6,elder_zoom_heavy,128,113,11,2,2,13,96.9%,89.8%,0.0703,0.0161,0.1331,5.500,1.200,51.065,Exact Binomial (n=13),,0.022461,0.000658,No,ceiling
full,anthropic_claude-sonnet-4-6,elder_combo_max,104,67,33,1,3,34,96.2%,65.4%,0.3077,0.2145,0.4020,33.000,5.525,1342.428,"Asymptotic (Edwards' correction, n=34)",28.2647,0.000000,0.000588,Yes,ceiling
full,anthropic_claude-sonnet-4-6,elder_combo_mid,111,83,24,0,4,24,96.4%,74.8%,0.2162,0.1427,0.2997,inf,6.019,inf,Exact Binomial (n=24),,0.000000,0.000595,Yes,ceiling
full,anthropic_claude-sonnet-4-6,colorblind_deuteranomaly,136,130,2,2,2,4,97.1%,97.1%,0.0000,-0.0384,0.0384,1.000,0.072,13.796,Exact Binomial (n=4),,1.000000,0.001351,No,ceiling
full,anthropic_claude-sonnet-5,elder_text_heavy,125,121,1,2,1,3,97.6%,98.4%,-0.0080,-0.0490,0.0291,0.500,0.008,9.605,Exact Binomial (n=3),,1.000000,0.001389,No,ceiling
full,anthropic_claude-sonnet-5,elder_zoom_heavy,128,116,9,1,2,10,97.7%,91.4%,0.0625,0.0154,0.1208,9.000,1.247,394.479,Exact Binomial (n=10),,0.021484,0.000641,No,ceiling
full,anthropic_claude-sonnet-5,elder_combo_max,104,91,10,1,2,11,97.1%,88.5%,0.0865,0.0268,0.1587,10.000,1.423,433.977,Exact Binomial (n=11),,0.011719,0.000617,No,ceiling
full,anthropic_claude-sonnet-5,elder_combo_mid,111,101,7,0,3,7,97.3%,91.0%,0.0631,0.0188,0.1234,inf,1.441,inf,Exact Binomial (n=7),,0.015625,0.000625,No,ceiling
full,anthropic_claude-sonnet-5,colorblind_deuteranomaly,136,132,0,3,1,3,97.1%,99.3%,-0.0221,-0.0632,0.0068,0.000,0.000,2.420,Exact Binomial (n=3),,0.250000,0.000806,No,ceiling
