Sample,Model,Profile,Total_Pairs,Both_Pass_a,Broke_It_b,Fluke_Recovery_c,Both_Fail_d,Discordant_Pairs,Baseline_Acc,Exp_Acc,Risk_Diff,Risk_Diff_CI_Low,Risk_Diff_CI_High,Odds_Ratio,OR_CI_Low,OR_CI_High,Test_Used,Statistic,P_Value,Holm_Threshold,Significant,Power_Limit
full,anthropic_claude-haiku-4-5,elder_text_heavy,125,101,11,5,8,16,89.6%,84.8%,0.0480,-0.0156,0.1145,2.200,0.705,8.077,Exact Binomial (n=16),,0.210114,0.000694,No,none
full,anthropic_claude-haiku-4-5,elder_zoom_heavy,128,103,12,5,8,17,89.8%,84.4%,0.0547,-0.0089,0.1214,2.400,0.787,8.696,Exact Binomial (n=17),,0.143463,0.000676,No,none
full,anthropic_claude-haiku-4-5,elder_combo_max,104,83,8,4,9,12,87.5%,83.7%,0.0385,-0.0287,0.1084,2.000,0.536,9.076,Exact Binomial (n=12),,0.387695,0.000847,No,none
full,anthropic_claude-haiku-4-5,elder_combo_mid,111,87,11,5,8,16,88.3%,82.9%,0.0541,-0.0173,0.1281,2.200,0.705,8.077,Exact Binomial (n=16),,0.210114,0.000704,No,none
full,anthropic_claude-haiku-4-5,colorblind_deuteranomaly,136,117,5,4,10,9,89.7%,89.0%,0.0074,-0.0400,0.0556,1.250,0.269,6.300,Exact Binomial (n=9),,1.000000,0.001220,No,none
full,anthropic_claude-opus-5,elder_text_heavy,125,124,1,0,0,1,100.0%,99.2%,0.0080,-0.0225,0.0439,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001250,No,ceiling
full,anthropic_claude-opus-5,elder_zoom_heavy,128,128,0,0,0,0,100.0%,100.0%,0.0000,-0.0291,0.0291,,,,N/A (no discordant pairs),,1.000000,0.001282,No,ceiling
full,anthropic_claude-opus-5,elder_combo_max,104,103,1,0,0,1,100.0%,99.0%,0.0096,-0.0269,0.0525,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001316,No,ceiling
full,anthropic_claude-opus-5,elder_combo_mid,111,111,0,0,0,0,100.0%,100.0%,0.0000,-0.0335,0.0335,,,,N/A (no discordant pairs),,1.000000,0.001351,No,ceiling
full,anthropic_claude-opus-5,colorblind_deuteranomaly,136,135,0,1,0,1,99.3%,100.0%,-0.0074,-0.0405,0.0208,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.001389,No,ceiling
full,anthropic_claude-sonnet-4-6,elder_text_heavy,125,123,0,2,0,2,98.4%,100.0%,-0.0160,-0.0565,0.0160,0.000,0.000,5.325,Exact Binomial (n=2),,0.500000,0.000877,No,ceiling
full,anthropic_claude-sonnet-4-6,elder_zoom_heavy,128,124,2,0,2,2,98.4%,96.9%,0.0156,-0.0139,0.0549,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000893,No,ceiling
full,anthropic_claude-sonnet-4-6,elder_combo_max,104,94,8,1,1,9,98.1%,91.3%,0.0673,0.0112,0.1356,8.000,1.073,354.981,Exact Binomial (n=9),,0.039062,0.000649,No,ceiling
full,anthropic_claude-sonnet-4-6,elder_combo_mid,111,106,3,0,2,3,98.2%,95.5%,0.0270,-0.0085,0.0760,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000735,No,ceiling
full,anthropic_claude-sonnet-4-6,colorblind_deuteranomaly,136,133,1,1,1,2,98.5%,98.5%,0.0000,-0.0334,0.0334,1.000,0.013,78.497,Exact Binomial (n=2),,1.000000,0.001429,No,ceiling
full,anthropic_claude-sonnet-5,elder_text_heavy,125,123,1,0,1,1,99.2%,98.4%,0.0080,-0.0210,0.0441,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001471,No,ceiling
full,anthropic_claude-sonnet-5,elder_zoom_heavy,128,126,1,0,1,1,99.2%,98.4%,0.0078,-0.0205,0.0431,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001515,No,ceiling
full,anthropic_claude-sonnet-5,elder_combo_max,104,97,6,0,1,6,99.0%,93.3%,0.0577,0.0137,0.1204,inf,1.177,inf,Exact Binomial (n=6),,0.031250,0.000641,No,ceiling
full,anthropic_claude-sonnet-5,elder_combo_mid,111,108,2,0,1,2,99.1%,97.3%,0.0180,-0.0154,0.0636,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000909,No,ceiling
full,anthropic_claude-sonnet-5,colorblind_deuteranomaly,136,132,3,0,1,3,99.3%,97.1%,0.0221,-0.0068,0.0632,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000746,No,ceiling
full,gemini-3-flash-agent,elder_text_heavy,125,124,1,0,0,1,100.0%,99.2%,0.0080,-0.0225,0.0439,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001563,No,ceiling
full,gemini-3-flash-agent,elder_zoom_heavy,128,126,2,0,0,2,100.0%,98.4%,0.0156,-0.0156,0.0552,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000926,No,ceiling
full,gemini-3-flash-agent,elder_combo_max,104,103,1,0,0,1,100.0%,99.0%,0.0096,-0.0269,0.0525,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001613,No,ceiling
full,gemini-3-flash-agent,elder_combo_mid,111,110,1,0,0,1,100.0%,99.1%,0.0090,-0.0253,0.0493,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001667,No,ceiling
full,gemini-3-flash-agent,colorblind_deuteranomaly,136,136,0,0,0,0,100.0%,100.0%,0.0000,-0.0275,0.0275,,,,N/A (no discordant pairs),,1.000000,0.001724,No,ceiling
full,gemini-3-flash,elder_text_heavy,125,124,1,0,0,1,100.0%,99.2%,0.0080,-0.0225,0.0439,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001786,No,ceiling
full,gemini-3-flash,elder_zoom_heavy,128,127,1,0,0,1,100.0%,99.2%,0.0078,-0.0220,0.0429,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001852,No,ceiling
full,gemini-3-flash,elder_combo_max,104,104,0,0,0,0,100.0%,100.0%,0.0000,-0.0356,0.0356,,,,N/A (no discordant pairs),,1.000000,0.001923,No,ceiling
full,gemini-3-flash,elder_combo_mid,111,110,1,0,0,1,100.0%,99.1%,0.0090,-0.0253,0.0493,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.002000,No,ceiling
full,gemini-3-flash,colorblind_deuteranomaly,136,135,1,0,0,1,100.0%,99.3%,0.0074,-0.0208,0.0405,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.002083,No,ceiling
full,gemini-3.5-flash-low,elder_text_heavy,125,124,0,0,1,0,99.2%,99.2%,0.0000,-0.0293,0.0293,,,,N/A (no discordant pairs),,1.000000,0.002174,No,ceiling
full,gemini-3.5-flash-low,elder_zoom_heavy,128,127,0,1,0,1,99.2%,100.0%,-0.0078,-0.0429,0.0220,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.002273,No,ceiling
full,gemini-3.5-flash-low,elder_combo_max,104,103,0,1,0,1,99.0%,100.0%,-0.0096,-0.0525,0.0269,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.002381,No,ceiling
full,gemini-3.5-flash-low,elder_combo_mid,111,110,0,1,0,1,99.1%,100.0%,-0.0090,-0.0493,0.0253,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.002500,No,ceiling
full,gemini-3.5-flash-low,colorblind_deuteranomaly,136,134,1,1,0,2,99.3%,99.3%,0.0000,-0.0337,0.0337,1.000,0.013,78.497,Exact Binomial (n=2),,1.000000,0.002632,No,ceiling
full,gemini-pro-agent,elder_text_heavy,125,122,3,0,0,3,100.0%,97.6%,0.0240,-0.0097,0.0682,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000758,No,ceiling
full,gemini-pro-agent,elder_zoom_heavy,128,125,3,0,0,3,100.0%,97.7%,0.0234,-0.0095,0.0666,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000769,No,ceiling
full,gemini-pro-agent,elder_combo_max,104,101,3,0,0,3,100.0%,97.1%,0.0288,-0.0115,0.0814,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000781,No,ceiling
full,gemini-pro-agent,elder_combo_mid,111,109,2,0,0,2,100.0%,98.2%,0.0180,-0.0179,0.0633,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000943,No,ceiling
full,gemini-pro-agent,colorblind_deuteranomaly,136,133,2,1,0,3,99.3%,98.5%,0.0074,-0.0275,0.0452,2.000,0.104,117.994,Exact Binomial (n=3),,1.000000,0.002778,No,ceiling
full,glm-5v-turbo,elder_text_heavy,125,113,5,6,1,11,94.4%,95.2%,-0.0080,-0.0663,0.0492,0.833,0.201,3.277,Exact Binomial (n=11),,1.000000,0.002941,No,none
full,glm-5v-turbo,elder_zoom_heavy,128,112,9,5,2,14,94.5%,91.4%,0.0312,-0.0288,0.0942,1.800,0.542,6.837,Exact Binomial (n=14),,0.423950,0.000862,No,none
full,glm-5v-turbo,elder_combo_max,104,86,11,5,2,16,93.3%,87.5%,0.0577,-0.0193,0.1380,2.200,0.705,8.077,Exact Binomial (n=16),,0.210114,0.000714,No,none
full,glm-5v-turbo,elder_combo_mid,111,98,6,5,2,11,93.7%,92.8%,0.0090,-0.0549,0.0740,1.200,0.305,4.971,Exact Binomial (n=11),,1.000000,0.003125,No,none
full,glm-5v-turbo,colorblind_deuteranomaly,136,119,9,4,4,13,94.1%,90.4%,0.0368,-0.0171,0.0946,2.250,0.628,9.999,Exact Binomial (n=13),,0.266846,0.000833,No,none
full,gpt-5.4-mini,elder_text_heavy,125,43,17,4,61,21,48.0%,37.6%,0.1040,0.0343,0.1715,4.250,1.386,17.361,Exact Binomial (n=21),,0.007197,0.000625,No,floor
full,gpt-5.4-mini,elder_zoom_heavy,128,52,8,11,57,19,46.9%,49.2%,-0.0234,-0.0888,0.0425,0.727,0.254,1.985,Exact Binomial (n=19),,0.647606,0.001087,No,floor
full,gpt-5.4-mini,elder_combo_max,104,51,9,12,32,21,57.7%,60.6%,-0.0288,-0.1133,0.0564,0.750,0.279,1.939,Exact Binomial (n=21),,0.663624,0.001163,No,none
full,gpt-5.4-mini,elder_combo_mid,111,46,13,7,45,20,53.2%,47.7%,0.0541,-0.0237,0.1303,1.857,0.689,5.497,Exact Binomial (n=20),,0.263176,0.000820,No,none
full,gpt-5.4-mini,colorblind_deuteranomaly,136,49,14,3,70,17,46.3%,38.2%,0.0809,0.0230,0.1374,4.667,1.302,25.326,Exact Binomial (n=17),,0.012726,0.000633,No,floor
full,gpt-5.4,elder_text_heavy,125,90,11,8,16,19,80.8%,78.4%,0.0240,-0.0452,0.0937,1.375,0.504,3.938,Exact Binomial (n=19),,0.647606,0.001111,No,none
full,gpt-5.4,elder_zoom_heavy,128,94,9,17,8,26,80.5%,86.7%,-0.0625,-0.1416,0.0158,0.529,0.208,1.256,"Asymptotic (Edwards' correction, n=26)",1.8846,0.169811,0.000685,No,none
full,gpt-5.4,elder_combo_max,104,82,9,7,6,16,87.5%,85.6%,0.0192,-0.0587,0.0981,1.286,0.426,4.062,Exact Binomial (n=16),,0.803619,0.001190,No,none
full,gpt-5.4,elder_combo_mid,111,82,11,11,7,22,83.8%,83.8%,0.0000,-0.0845,0.0845,1.000,0.393,2.543,Exact Binomial (n=22),,1.000000,0.003333,No,none
full,gpt-5.4,colorblind_deuteranomaly,136,98,11,8,19,19,80.1%,77.9%,0.0221,-0.0416,0.0862,1.375,0.504,3.938,Exact Binomial (n=19),,0.647606,0.001136,No,none
full,gpt-5.5,elder_text_heavy,125,125,0,0,0,0,100.0%,100.0%,0.0000,-0.0298,0.0298,,,,N/A (no discordant pairs),,1.000000,0.003571,No,ceiling
full,gpt-5.5,elder_zoom_heavy,128,127,1,0,0,1,100.0%,99.2%,0.0078,-0.0220,0.0429,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.003846,No,ceiling
full,gpt-5.5,elder_combo_max,104,103,1,0,0,1,100.0%,99.0%,0.0096,-0.0269,0.0525,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.004167,No,ceiling
full,gpt-5.5,elder_combo_mid,111,111,0,0,0,0,100.0%,100.0%,0.0000,-0.0335,0.0335,,,,N/A (no discordant pairs),,1.000000,0.004545,No,ceiling
full,gpt-5.5,colorblind_deuteranomaly,136,133,2,0,1,2,99.3%,97.8%,0.0147,-0.0128,0.0524,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000962,No,ceiling
full,gpt-5.6-luna,elder_text_heavy,125,121,3,0,1,3,99.2%,96.8%,0.0240,-0.0073,0.0685,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000794,No,ceiling
full,gpt-5.6-luna,elder_zoom_heavy,128,123,4,0,1,4,99.2%,96.1%,0.0312,-0.0010,0.0779,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.000658,No,ceiling
full,gpt-5.6-luna,elder_combo_max,104,99,4,0,1,4,99.0%,95.2%,0.0385,-0.0010,0.0950,inf,0.660,inf,Exact Binomial (n=4),,0.125000,0.000667,No,ceiling
full,gpt-5.6-luna,elder_combo_mid,111,107,3,0,1,3,99.1%,96.4%,0.0270,-0.0081,0.0768,inf,0.413,inf,Exact Binomial (n=3),,0.250000,0.000806,No,ceiling
full,gpt-5.6-luna,colorblind_deuteranomaly,136,134,1,0,1,1,99.3%,98.5%,0.0074,-0.0193,0.0407,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.005000,No,ceiling
full,gpt-5.6-sol,elder_text_heavy,125,124,0,1,0,1,99.2%,100.0%,-0.0080,-0.0439,0.0225,0.000,0.000,39.000,Exact Binomial (n=1),,1.000000,0.005556,No,ceiling
full,gpt-5.6-sol,elder_zoom_heavy,128,127,0,0,1,0,99.2%,99.2%,0.0000,-0.0287,0.0287,,,,N/A (no discordant pairs),,1.000000,0.006250,No,ceiling
full,gpt-5.6-sol,elder_combo_max,104,103,0,0,1,0,99.0%,99.0%,0.0000,-0.0349,0.0349,,,,N/A (no discordant pairs),,1.000000,0.007143,No,ceiling
