Sample,Profile,Models_Down,Models_Up,Models_Tied,Sign_P_Value
full,elder_text_heavy,11,2,4,0.022461
full,elder_zoom_heavy,11,5,1,0.210114
full,elder_combo_max,12,3,2,0.035156
full,elder_combo_mid,8,5,4,0.581055
full,colorblind_deuteranomaly,7,7,3,1.000000
primary,elder_text_heavy,11,2,4,0.022461
primary,elder_zoom_heavy,11,5,1,0.210114
primary,elder_combo_max,12,3,2,0.035156
primary,elder_combo_mid,8,5,4,0.581055
primary,colorblind_deuteranomaly,5,8,4,0.581055
precautionary,elder_text_heavy,10,2,5,0.038574
precautionary,elder_zoom_heavy,8,6,3,0.790527
precautionary,elder_combo_max,10,4,3,0.179565
precautionary,elder_combo_mid,8,6,3,0.790527
precautionary,colorblind_deuteranomaly,5,8,4,0.581055
uniform,elder_text_heavy,10,2,5,0.038574
uniform,elder_zoom_heavy,8,6,3,0.790527
uniform,elder_combo_max,10,4,3,0.179565
uniform,elder_combo_mid,8,6,3,0.790527
uniform,colorblind_deuteranomaly,5,7,5,0.774414
