Sample,Profile,Target_Clusters,Observations,Statistic,Broke_It_b,Fluke_Recovery_c,Permutations,P_Value,Holm_Threshold,Significant
full,elder_text_heavy,125,2125,38.0,75,37,20000,0.000450,0.016667,Yes
full,elder_zoom_heavy,128,2176,20.0,82,62,20000,0.105695,0.025000,No
full,elder_combo_max,104,1768,69.0,120,51,20000,0.000100,0.010000,Yes
full,elder_combo_mid,111,1887,55.0,103,48,20000,0.000150,0.012500,Yes
full,colorblind_deuteranomaly,136,2312,9.0,56,47,20000,0.485976,0.050000,No
primary,elder_text_heavy,125,2125,38.0,75,37,20000,0.000450,0.016667,Yes
primary,elder_zoom_heavy,128,2176,20.0,82,62,20000,0.105695,0.025000,No
primary,elder_combo_max,104,1768,69.0,120,51,20000,0.000100,0.010000,Yes
primary,elder_combo_mid,111,1887,55.0,103,48,20000,0.000150,0.012500,Yes
primary,colorblind_deuteranomaly,119,2023,-3.0,41,44,20000,0.830708,0.050000,No
precautionary,elder_text_heavy,95,1615,25.0,57,32,20000,0.008700,0.012500,Yes
precautionary,elder_zoom_heavy,96,1632,17.0,68,51,20000,0.141943,0.025000,No
precautionary,elder_combo_max,84,1428,38.0,87,49,20000,0.013349,0.016667,Yes
precautionary,elder_combo_mid,88,1496,40.0,82,42,20000,0.004200,0.010000,Yes
precautionary,colorblind_deuteranomaly,119,2023,-3.0,41,44,20000,0.830708,0.050000,No
uniform,elder_text_heavy,95,1615,25.0,57,32,20000,0.008700,0.012500,Yes
uniform,elder_zoom_heavy,96,1632,17.0,68,51,20000,0.141943,0.025000,No
uniform,elder_combo_max,84,1428,38.0,87,49,20000,0.013349,0.016667,Yes
uniform,elder_combo_mid,88,1496,40.0,82,42,20000,0.004200,0.010000,Yes
uniform,colorblind_deuteranomaly,100,1700,0.0,36,36,20000,1.000000,0.050000,No
