Sample,Profile,Targets_Present,Targets_Total,Reachability,CI_Low,CI_High
full,elder_text_heavy,125,138,0.9058,0.8455,0.9441
full,elder_zoom_heavy,128,138,0.9275,0.8717,0.9602
full,elder_combo_max,104,138,0.7536,0.6755,0.8180
full,elder_combo_mid,111,138,0.8043,0.7303,0.8619
full,colorblind_deuteranomaly,136,138,0.9855,0.9487,0.9960
primary,elder_text_heavy,125,138,0.9058,0.8455,0.9441
primary,elder_zoom_heavy,128,138,0.9275,0.8717,0.9602
primary,elder_combo_max,104,138,0.7536,0.6755,0.8180
primary,elder_combo_mid,111,138,0.8043,0.7303,0.8619
primary,colorblind_deuteranomaly,119,119,1.0000,0.9687,1.0000
precautionary,elder_text_heavy,95,100,0.9500,0.8882,0.9785
precautionary,elder_zoom_heavy,96,100,0.9600,0.9016,0.9843
precautionary,elder_combo_max,84,100,0.8400,0.7558,0.8990
precautionary,elder_combo_mid,88,100,0.8800,0.8019,0.9300
precautionary,colorblind_deuteranomaly,119,119,1.0000,0.9687,1.0000
uniform,elder_text_heavy,95,100,0.9500,0.8882,0.9785
uniform,elder_zoom_heavy,96,100,0.9600,0.9016,0.9843
uniform,elder_combo_max,84,100,0.8400,0.7558,0.8990
uniform,elder_combo_mid,88,100,0.8800,0.8019,0.9300
uniform,colorblind_deuteranomaly,100,100,1.0000,0.9630,1.0000
