screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[180, 251]",180,251,95,221,266,283,1,1,1,bracket,vision,0,
clock,8:30 AM,baseline,co_present,"[245, 382]",245,382,95,304,393,459,1,1,1,bracket,vision,0,
clock,Sun Sat,baseline,co_present,"[175, 600]",175,600,95,570,256,632,1,1,1,bracket,vision,0,
clock,9:00 AM,baseline,co_present,"[251, 734]",251,734,95,653,408,808,1,1,1,bracket,vision,0,
clock,World Clock,baseline,co_present,"[324, 2183]",324,2183,221,2162,426,2202,1,1,1,bracket,vision,0,
clock,Timers,baseline,co_present,"[540, 2183]",540,2183,482,2162,596,2202,1,1,1,bracket,vision,0,
clock,Stopwatch,baseline,co_present,"[756, 2184]",756,2184,666,2162,845,2202,1,1,1,bracket,vision,0,
clock,Bedtime,baseline,co_present,"[970, 2181]",970,2181,900,2162,1042,2202,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_text_heavy,co_present,"[206, 262]",206,262,95,221,319,304,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_text_heavy,co_present,"[244, 402]",244,402,95,325,393,480,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_text_heavy,co_present,"[201, 632]",201,632,95,591,309,674,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_text_heavy,co_present,"[251, 774]",251,774,95,695,408,850,1,1,1,bracket,vision,0,
clock,World Clock,elder_text_heavy,co_present,"[324, 2181]",324,2181,216,2160,432,2203,1,1,1,bracket,vision,0,
clock,Timers,elder_text_heavy,co_present,"[540, 2181]",540,2181,478,2160,600,2203,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_text_heavy,co_present,"[757, 2181]",757,2181,660,2160,851,2203,1,1,1,bracket,vision,0,
clock,Bedtime,elder_text_heavy,co_present,"[973, 2177]",973,2177,896,2160,1047,2203,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[205, 286]",205,286,108,252,303,322,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_zoom_heavy,co_present,"[281, 438]",281,438,108,346,448,523,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_zoom_heavy,co_present,"[199, 683]",199,683,108,649,293,719,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_zoom_heavy,co_present,"[289, 834]",289,834,108,743,466,920,1,1,1,bracket,vision,0,
clock,World Clock,elder_zoom_heavy,co_present,"[324, 2151]",324,2151,221,2130,426,2170,1,1,1,bracket,vision,0,
clock,Timers,elder_zoom_heavy,co_present,"[540, 2167]",540,2167,483,2130,597,2170,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_zoom_heavy,co_present,"[756, 2154]",756,2154,666,2130,845,2170,1,1,1,bracket,vision,0,
clock,Bedtime,elder_zoom_heavy,co_present,"[972, 2151]",972,2151,901,2130,1043,2170,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_combo_max,co_present,"[267, 327]",267,327,117,273,419,386,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_combo_max,co_present,"[307, 511]",307,511,117,412,495,609,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_combo_max,co_present,"[258, 801]",258,801,117,746,403,859,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_combo_max,co_present,"[316, 986]",316,986,117,885,513,1082,1,1,1,bracket,vision,0,
clock,World Clock,elder_combo_max,co_present,"[324, 2129]",324,2129,216,2106,432,2151,1,1,1,bracket,vision,0,
clock,Timers,elder_combo_max,co_present,"[540, 2128]",540,2128,476,2106,604,2151,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_combo_max,co_present,"[755, 2129]",755,2129,654,2106,857,2151,1,1,1,bracket,vision,0,
