screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[179.3, 253.0]",179,253,95,221,266,283,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,baseline,co_present,"[251.6, 381.7]",251,381,95,304,393,459,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,baseline,co_present,"[180.4, 601.3]",180,601,95,570,256,632,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,baseline,co_present,"[236.5, 730.1]",236,730,95,653,408,808,1,1,1,bracket,tree,62,normalized
clock,World Clock,baseline,co_present,"[324.0, 2183.5]",324,2183,221,2162,426,2202,1,1,1,bracket,tree,59,normalized
clock,Timers,baseline,co_present,"[540.0, 2179.1]",540,2179,482,2162,596,2202,1,1,1,bracket,tree,57,normalized
clock,Stopwatch,baseline,co_present,"[756.0, 2179.1]",756,2179,666,2162,845,2202,1,1,1,bracket,tree,59,normalized
clock,Bedtime,baseline,co_present,"[972.0, 2181.3]",972,2181,900,2162,1042,2202,1,1,1,bracket,tree,59,normalized
clock,Mon-Fri,elder_text_heavy,co_present,"[207.4, 261.8]",207,261,95,221,319,304,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,elder_text_heavy,co_present,"[251.6, 401.6]",251,401,95,325,393,480,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,elder_text_heavy,co_present,"[200.9, 632.4]",200,632,95,591,309,674,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,elder_text_heavy,co_present,"[244.1, 772.2]",244,772,95,695,408,850,1,1,1,bracket,tree,62,normalized
clock,World Clock,elder_text_heavy,co_present,"[324.0, 2179.1]",324,2179,216,2160,432,2203,1,1,1,bracket,tree,59,normalized
clock,Timers,elder_text_heavy,co_present,"[540.0, 2181.3]",540,2181,478,2160,600,2203,1,1,1,bracket,tree,57,normalized
clock,Stopwatch,elder_text_heavy,co_present,"[756.0, 2181.3]",756,2181,660,2160,851,2203,1,1,1,bracket,tree,59,normalized
clock,Bedtime,elder_text_heavy,co_present,"[972.0, 2179.1]",972,2179,896,2160,1047,2203,1,1,1,bracket,tree,59,normalized
clock,Mon-Fri,elder_zoom_heavy,co_present,"[200.9, 287.7]",200,287,108,252,303,322,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,elder_zoom_heavy,co_present,"[287.3, 434.8]",287,434,108,346,448,523,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,elder_zoom_heavy,co_present,"[197.6, 683.0]",197,683,108,649,293,719,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,elder_zoom_heavy,co_present,"[277.6, 832.3]",277,832,108,743,466,920,1,1,1,bracket,tree,62,normalized
clock,World Clock,elder_zoom_heavy,co_present,"[324.0, 2152.1]",324,2152,221,2130,426,2170,1,1,1,bracket,tree,59,normalized
clock,Timers,elder_zoom_heavy,co_present,"[540.0, 2149.9]",540,2149,483,2130,597,2170,1,1,1,bracket,tree,57,normalized
clock,Stopwatch,elder_zoom_heavy,co_present,"[756.0, 2149.9]",756,2149,666,2130,845,2170,1,1,1,bracket,tree,59,normalized
clock,Bedtime,elder_zoom_heavy,co_present,"[972.0, 2158.7]",972,2158,901,2130,1043,2170,1,1,1,bracket,tree,59,normalized
clock,Mon-Fri,elder_combo_max,co_present,"[265.7, 328.7]",265,328,117,273,419,386,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,elder_combo_max,co_present,"[315.4, 509.4]",315,509,117,412,495,609,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,elder_combo_max,co_present,"[268.9, 803.3]",268,803,117,746,403,859,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,elder_combo_max,co_present,"[315.4, 984.0]",315,984,117,885,513,1082,1,1,1,bracket,tree,62,normalized
clock,World Clock,elder_combo_max,co_present,"[324.0, 2129.1]",324,2129,216,2106,432,2151,1,1,1,bracket,tree,59,normalized
clock,Timers,elder_combo_max,co_present,"[540.0, 2137.8]",540,2137,476,2106,604,2151,1,1,1,bracket,tree,58,normalized
clock,Stopwatch,elder_combo_max,co_present,"[756.0, 2137.8]",756,2137,654,2106,857,2151,1,1,1,bracket,tree,59,normalized
clock,Bedtime,elder_combo_max,co_present,"[972.0, 2126.9]",972,2126,892,2106,1052,2151,1,1,1,bracket,tree,59,normalized
clock,Mon-Fri,elder_combo_mid,co_present,"[243.0, 303.0]",243,303,108,252,378,352,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,elder_combo_mid,co_present,"[283.0, 465.6]",283,465,108,376,448,553,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,elder_combo_mid,co_present,"[233.3, 722.5]",233,722,108,679,363,779,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,elder_combo_mid,co_present,"[289.4, 891.6]",289,891,108,803,466,980,1,1,1,bracket,tree,62,normalized
clock,World Clock,elder_combo_mid,co_present,"[324.0, 2152.1]",324,2152,216,2130,432,2174,1,1,1,bracket,tree,59,normalized
clock,Timers,elder_combo_mid,co_present,"[540.0, 2152.1]",540,2152,477,2130,603,2174,1,1,1,bracket,tree,58,normalized
clock,Stopwatch,elder_combo_mid,co_present,"[756.0, 2152.1]",756,2152,658,2130,854,2174,1,1,1,bracket,tree,59,normalized
clock,Bedtime,elder_combo_mid,co_present,"[972.0, 2152.1]",972,2152,894,2130,1049,2174,1,1,1,bracket,tree,59,normalized
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[179.3, 250.7]",179,250,95,221,266,283,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[251.6, 381.7]",251,381,95,304,393,459,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[175.0, 599.1]",175,599,95,570,256,632,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[244.1, 730.1]",244,730,95,653,408,808,1,1,1,bracket,tree,62,normalized
clock,World Clock,colorblind_deuteranomaly,co_present,"[324.0, 2190.2]",324,2190,221,2162,426,2202,1,1,1,bracket,tree,59,normalized
clock,Timers,colorblind_deuteranomaly,co_present,"[540.0, 2181.3]",540,2181,482,2162,596,2202,1,1,1,bracket,tree,57,normalized
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[756.0, 2183.5]",756,2183,666,2162,845,2202,1,1,1,bracket,tree,59,normalized
clock,Bedtime,colorblind_deuteranomaly,co_present,"[972.0, 2181.3]",972,2181,900,2162,1042,2202,1,1,1,bracket,tree,59,normalized
contacts,All contacts,baseline,co_present,"[239.8, 250.7]",239,250,142,226,342,279,1,1,1,bracket,tree,66,normalized
contacts,Your info,baseline,co_present,"[283.0, 399.4]",283,399,221,389,346,431,1,1,1,bracket,tree,68,normalized
contacts,No contacts yet,baseline,co_present,"[540.0, 1486.7]",540,1486,317,1446,763,1530,1,1,1,bracket,tree,68,normalized
contacts,Contacts,baseline,co_present,"[179.3, 2179.1]",179,2179,110,2161,248,2203,1,1,1,bracket,tree,65,normalized
contacts,Highlights,baseline,co_present,"[540.0, 2181.3]",540,2181,463,2161,616,2203,1,1,1,bracket,tree,63,normalized
contacts,Organize,baseline,co_present,"[899.6, 2181.3]",899,2181,831,2161,968,2203,1,1,1,bracket,tree,65,normalized
contacts,All contacts,elder_text_heavy,co_present,"[265.7, 253.0]",265,253,142,214,436,291,1,1,1,bracket,tree,66,normalized
contacts,Your info,elder_text_heavy,co_present,"[286.2, 406.1]",286,406,221,389,400,448,1,1,1,bracket,tree,68,normalized
contacts,No contacts yet,elder_text_heavy,co_present,"[540.0, 1500.0]",540,1500,289,1453,792,1549,1,1,1,bracket,tree,68,normalized
contacts,Contacts,elder_text_heavy,co_present,"[179.3, 2174.6]",179,2174,84,2147,275,2203,1,1,1,bracket,tree,65,normalized
contacts,Highlights,elder_text_heavy,co_present,"[540.0, 2174.6]",540,2174,434,2147,646,2203,1,1,1,bracket,tree,63,normalized
contacts,Organize,elder_text_heavy,co_present,"[899.6, 2174.6]",899,2174,805,2147,994,2203,1,1,1,bracket,tree,65,normalized
contacts,All contacts,elder_zoom_heavy,co_present,"[270.0, 287.7]",270,287,162,258,394,318,1,1,1,bracket,tree,66,normalized
contacts,Your info,elder_zoom_heavy,co_present,"[324.0, 461.2]",324,461,252,444,396,492,1,1,1,bracket,tree,68,normalized
contacts,No contacts yet,elder_zoom_heavy,co_present,"[540.0, 1526.2]",540,1526,284,1482,796,1578,1,1,1,bracket,tree,68,normalized
contacts,Contacts,elder_zoom_heavy,co_present,"[180.4, 2154.3]",180,2154,101,2130,258,2178,1,1,1,bracket,tree,65,normalized
contacts,Highlights,elder_zoom_heavy,co_present,"[540.0, 2152.1]",540,2152,452,2130,627,2178,1,1,1,bracket,tree,64,normalized
contacts,Organize,elder_zoom_heavy,co_present,"[899.6, 2152.1]",899,2152,822,2130,977,2178,1,1,1,bracket,tree,65,normalized
contacts,All contacts,elder_combo_max,co_present,"[378.0, 309.1]",378,309,176,260,584,366,1,1,1,bracket,tree,66,normalized
contacts,Your info,elder_combo_max,co_present,"[367.2, 522.5]",367,522,273,483,523,567,1,1,1,bracket,tree,68,normalized
