screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[179.3, 250.7]",179,250,95,221,266,283,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,baseline,co_present,"[245.2, 381.7]",245,381,95,304,393,459,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,baseline,co_present,"[175.0, 599.1]",175,599,95,570,256,632,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,baseline,co_present,"[253.8, 732.3]",253,732,95,653,408,808,1,1,1,bracket,vision,0,normalized
clock,World Clock,baseline,co_present,"[324.0, 2176.8]",324,2176,221,2162,426,2202,1,1,1,bracket,vision,0,normalized
clock,Timers,baseline,co_present,"[540.0, 2176.8]",540,2176,482,2162,596,2202,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,baseline,co_present,"[756.0, 2183.5]",756,2183,666,2162,845,2202,1,1,1,bracket,vision,0,normalized
clock,Bedtime,baseline,co_present,"[972.0, 2179.1]",972,2179,900,2162,1042,2202,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_text_heavy,co_present,"[207.4, 257.4]",207,257,95,221,319,304,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_text_heavy,co_present,"[244.1, 399.4]",244,399,95,325,393,480,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_text_heavy,co_present,"[200.9, 625.8]",200,625,95,591,309,674,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_text_heavy,co_present,"[251.6, 774.4]",251,774,95,695,408,850,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_text_heavy,co_present,"[324.0, 2130.2]",324,2130,216,2160,432,2203,0,1,0,bracket,vision,0,normalized
clock,Timers,elder_text_heavy,co_present,"[540.0, 2176.8]",540,2176,478,2160,600,2203,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_text_heavy,co_present,"[756.0, 2176.8]",756,2176,660,2160,851,2203,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_text_heavy,co_present,"[972.0, 2179.1]",972,2179,896,2160,1047,2203,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_zoom_heavy,co_present,"[205.2, 281.1]",205,281,108,252,303,322,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_zoom_heavy,co_present,"[280.8, 434.8]",280,434,108,346,448,523,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_zoom_heavy,co_present,"[198.7, 680.8]",198,680,108,649,293,719,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_zoom_heavy,co_present,"[289.4, 830.1]",289,830,108,743,466,920,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_zoom_heavy,co_present,"[324.0, 2145.5]",324,2145,221,2130,426,2170,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_zoom_heavy,co_present,"[540.0, 2145.5]",540,2145,483,2130,597,2170,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_zoom_heavy,co_present,"[756.0, 2145.5]",756,2145,666,2130,845,2170,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_zoom_heavy,co_present,"[972.0, 2145.5]",972,2145,901,2130,1043,2170,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_combo_max,co_present,"[267.8, 326.6]",267,326,117,273,419,386,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_combo_max,co_present,"[305.6, 505.1]",305,505,117,412,495,609,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_combo_max,co_present,"[260.3, 799.0]",260,799,117,746,403,859,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_combo_max,co_present,"[315.4, 979.6]",315,979,117,885,513,1082,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_combo_max,co_present,"[324.0, 2126.9]",324,2126,216,2106,432,2151,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_combo_max,co_present,"[540.0, 2126.9]",540,2126,476,2106,604,2151,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_combo_max,co_present,"[756.0, 2126.9]",756,2126,654,2106,857,2151,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_combo_max,co_present,"[972.0, 2124.8]",972,2124,892,2106,1052,2151,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_combo_mid,co_present,"[243.0, 294.3]",243,294,108,252,378,352,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_combo_mid,co_present,"[280.8, 461.2]",280,461,108,376,448,553,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_combo_mid,co_present,"[234.4, 726.9]",234,726,108,679,363,779,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_combo_mid,co_present,"[288.4, 893.8]",288,893,108,803,466,980,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_combo_mid,co_present,"[324.0, 2147.7]",324,2147,216,2130,432,2174,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_combo_mid,co_present,"[540.0, 2152.1]",540,2152,477,2130,603,2174,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_combo_mid,co_present,"[756.0, 2149.9]",756,2149,658,2130,854,2174,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_combo_mid,co_present,"[972.0, 2149.9]",972,2149,894,2130,1049,2174,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[179.3, 246.3]",179,246,95,221,266,283,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[244.1, 379.4]",244,379,95,304,393,459,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[175.0, 599.1]",175,599,95,570,256,632,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[252.7, 730.1]",252,730,95,653,408,808,1,1,1,bracket,vision,0,normalized
clock,World Clock,colorblind_deuteranomaly,co_present,"[324.0, 2179.1]",324,2179,221,2162,426,2202,1,1,1,bracket,vision,0,normalized
clock,Timers,colorblind_deuteranomaly,co_present,"[540.0, 2176.8]",540,2176,482,2162,596,2202,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[756.0, 2176.8]",756,2176,666,2162,845,2202,1,1,1,bracket,vision,0,normalized
clock,Bedtime,colorblind_deuteranomaly,co_present,"[972.0, 2174.6]",972,2174,900,2162,1042,2202,1,1,1,bracket,vision,0,normalized
contacts,All contacts,baseline,co_present,"[240.8, 253.0]",240,253,142,226,342,279,1,1,1,bracket,vision,0,normalized
contacts,Your info,baseline,co_present,"[283.0, 401.6]",283,401,221,389,346,431,1,1,1,bracket,vision,0,normalized
contacts,No contacts yet,baseline,co_present,"[540.0, 1486.7]",540,1486,317,1446,763,1530,1,1,1,bracket,vision,0,normalized
contacts,Contacts,baseline,co_present,"[179.3, 2179.1]",179,2179,110,2161,248,2203,1,1,1,bracket,vision,0,normalized
contacts,Highlights,baseline,co_present,"[540.0, 2181.3]",540,2181,463,2161,616,2203,1,1,1,bracket,vision,0,normalized
contacts,Organize,baseline,co_present,"[899.6, 2185.7]",899,2185,831,2161,968,2203,1,1,1,bracket,vision,0,normalized
contacts,All contacts,elder_text_heavy,co_present,"[287.3, 250.7]",287,250,142,214,436,291,1,1,1,bracket,vision,0,normalized
contacts,Your info,elder_text_heavy,co_present,"[308.9, 412.7]",308,412,221,389,400,448,1,1,1,bracket,vision,0,normalized
contacts,No contacts yet,elder_text_heavy,co_present,"[540.0, 1502.3]",540,1502,289,1453,792,1549,1,1,1,bracket,vision,0,normalized
contacts,Contacts,elder_text_heavy,co_present,"[179.3, 2172.4]",179,2172,84,2147,275,2203,1,1,1,bracket,vision,0,normalized
contacts,Highlights,elder_text_heavy,co_present,"[540.0, 2174.6]",540,2174,434,2147,646,2203,1,1,1,bracket,vision,0,normalized
contacts,Organize,elder_text_heavy,co_present,"[899.6, 2174.6]",899,2174,805,2147,994,2203,1,1,1,bracket,vision,0,normalized
contacts,All contacts,elder_zoom_heavy,co_present,"[278.6, 281.1]",278,281,162,258,394,318,1,1,1,bracket,vision,0,normalized
contacts,Your info,elder_zoom_heavy,co_present,"[324.0, 463.4]",324,463,252,444,396,492,1,1,1,bracket,vision,0,normalized
contacts,No contacts yet,elder_zoom_heavy,co_present,"[540.0, 1526.2]",540,1526,284,1482,796,1578,1,1,1,bracket,vision,0,normalized
contacts,Contacts,elder_zoom_heavy,co_present,"[180.4, 2154.3]",180,2154,101,2130,258,2178,1,1,1,bracket,vision,0,normalized
