screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space,image_sent_size
clock,Mon-Fri,baseline,co_present,"[170, 112]",183,248,95,221,266,283,1,1,1,bracket,vision,0,normalized,
clock,8:30 AM,baseline,co_present,"[228, 172]",246,381,95,304,393,459,1,1,1,bracket,vision,0,normalized,
clock,Sun Sat,baseline,co_present,"[150, 120]",162,266,95,570,256,632,0,1,0,bracket,vision,0,normalized,
clock,9:00 AM,baseline,co_present,"[232, 326]",250,723,95,653,408,808,1,1,1,bracket,vision,0,normalized,
clock,World Clock,baseline,co_present,"[299, 982]",322,2179,221,2162,426,2202,1,1,1,bracket,vision,0,normalized,
clock,Timers,baseline,co_present,"[499, 982]",538,2179,482,2162,596,2202,1,1,1,bracket,vision,0,normalized,
clock,Stopwatch,baseline,co_present,"[701, 974]",757,2161,666,2162,845,2202,1,1,1,bracket,vision,0,normalized,
clock,Bedtime,baseline,co_present,"[894, 983]",965,2181,900,2162,1042,2202,1,1,1,bracket,vision,0,normalized,
clock,Mon-Fri,elder_text_heavy,co_present,"[192, 118]",207,261,95,221,319,304,1,1,1,bracket,vision,0,normalized,
clock,8:30 AM,elder_text_heavy,co_present,"[228, 182]",246,403,95,325,393,480,1,1,1,bracket,vision,0,normalized,
clock,Sun Sat,elder_text_heavy,co_present,"[186, 282]",200,625,95,591,309,674,1,1,1,bracket,vision,0,normalized,
clock,9:00 AM,elder_text_heavy,co_present,"[214, 347]",231,770,95,695,408,850,1,1,1,bracket,vision,0,normalized,
clock,World Clock,elder_text_heavy,co_present,"[298, 973]",321,2159,216,2160,432,2203,1,1,1,bracket,vision,0,normalized,
clock,Timers,elder_text_heavy,co_present,"[499, 983]",538,2181,478,2160,600,2203,1,1,1,bracket,vision,0,normalized,
clock,Stopwatch,elder_text_heavy,co_present,"[698, 976]",753,2165,660,2160,851,2203,1,1,1,bracket,vision,0,normalized,
clock,Bedtime,elder_text_heavy,co_present,"[898, 979]",969,2172,896,2160,1047,2203,1,1,1,bracket,vision,0,normalized,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[191, 129]",206,283,108,252,303,322,1,1,1,bracket,vision,0,normalized,
clock,8:30 AM,elder_zoom_heavy,co_present,"[253, 198]",273,434,108,346,448,523,1,1,1,bracket,vision,0,normalized,
clock,Sun Sat,elder_zoom_heavy,co_present,"[185, 306]",199,672,108,649,293,719,1,1,1,bracket,vision,0,normalized,
clock,9:00 AM,elder_zoom_heavy,co_present,"[260, 377]",280,827,108,743,466,920,1,1,1,bracket,vision,0,normalized,
clock,World Clock,elder_zoom_heavy,co_present,"[300, 978]",324,2147,221,2130,426,2170,1,1,1,bracket,vision,0,normalized,
clock,Timers,elder_zoom_heavy,co_present,"[500, 975]",540,2141,483,2130,597,2170,1,1,1,bracket,vision,0,normalized,
clock,Stopwatch,elder_zoom_heavy,co_present,"[699, 978]",754,2147,666,2130,845,2170,1,1,1,bracket,vision,0,normalized,
clock,Bedtime,elder_zoom_heavy,co_present,"[896, 972]",967,2134,901,2130,1043,2170,1,1,1,bracket,vision,0,normalized,
clock,Mon-Fri,elder_combo_max,co_present,"[251, 150]",271,326,117,273,419,386,1,1,1,bracket,vision,0,normalized,
clock,8:30 AM,elder_combo_max,co_present,"[279, 234]",301,509,117,412,495,609,1,1,1,bracket,vision,0,normalized,
clock,Sun Sat,elder_combo_max,co_present,"[242, 368]",261,801,117,746,403,859,1,1,1,bracket,vision,0,normalized,
clock,9:00 AM,elder_combo_max,co_present,"[285, 455]",307,990,117,885,513,1082,1,1,1,bracket,vision,0,normalized,
clock,World Clock,elder_combo_max,co_present,"[300, 982]",324,2137,216,2106,432,2151,1,1,1,bracket,vision,0,normalized,
