screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space,image_sent_size
clock,Mon-Fri,baseline,co_present,"[164, 112]",177,248,95,221,266,283,1,1,1,bracket,tree,62,normalized,
clock,8:30 AM,baseline,co_present,"[196, 170]",211,377,95,304,393,459,1,1,1,bracket,tree,62,normalized,
clock,Sun Sat,baseline,co_present,"[160, 266]",172,590,95,570,256,632,1,1,1,bracket,tree,62,normalized,
clock,9:00 AM,baseline,co_present,"[201, 329]",217,730,95,653,408,808,1,1,1,bracket,tree,62,normalized,
clock,World Clock,baseline,co_present,"[299, 967]",322,2145,221,2162,426,2202,1,1,1,bracket,tree,59,normalized,
clock,Timers,baseline,co_present,"[500, 967]",540,2145,482,2162,596,2202,1,1,1,bracket,tree,57,normalized,
clock,Stopwatch,baseline,co_present,"[698, 961]",753,2132,666,2162,845,2202,1,1,1,bracket,tree,59,normalized,
clock,Bedtime,baseline,co_present,"[898, 961]",969,2132,900,2162,1042,2202,1,1,1,bracket,tree,59,normalized,
clock,Mon-Fri,elder_text_heavy,co_present,"[191, 119]",206,264,95,221,319,304,1,1,1,bracket,tree,62,normalized,
clock,8:30 AM,elder_text_heavy,co_present,"[201, 180]",217,399,95,325,393,480,1,1,1,bracket,tree,62,normalized,
clock,Sun Sat,elder_text_heavy,co_present,"[182, 284]",196,630,95,591,309,674,1,1,1,bracket,tree,62,normalized,
clock,9:00 AM,elder_text_heavy,co_present,"[200, 347]",216,770,95,695,408,850,1,1,1,bracket,tree,62,normalized,
clock,World Clock,elder_text_heavy,co_present,"[299, 967]",322,2145,216,2160,432,2203,1,1,1,bracket,tree,59,normalized,
clock,Timers,elder_text_heavy,co_present,"[499, 967]",538,2145,478,2160,600,2203,1,1,1,bracket,tree,57,normalized,
clock,Stopwatch,elder_text_heavy,co_present,"[698, 966]",753,2143,660,2160,851,2203,1,1,1,bracket,tree,59,normalized,
clock,Bedtime,elder_text_heavy,co_present,"[898, 967]",969,2145,896,2160,1047,2203,1,1,1,bracket,tree,59,normalized,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[192, 130]",207,285,108,252,303,322,1,1,1,bracket,tree,62,normalized,
clock,8:30 AM,elder_zoom_heavy,co_present,"[224, 196]",241,430,108,346,448,523,1,1,1,bracket,tree,62,normalized,
clock,Sun Sat,elder_zoom_heavy,co_present,"[185, 309]",199,678,108,649,293,719,1,1,1,bracket,tree,62,normalized,
clock,9:00 AM,elder_zoom_heavy,co_present,"[234, 376]",252,825,108,743,466,920,1,1,1,bracket,tree,62,normalized,
clock,World Clock,elder_zoom_heavy,co_present,"[299, 960]",322,2108,221,2130,426,2170,1,1,1,bracket,tree,59,normalized,
clock,Timers,elder_zoom_heavy,co_present,"[499, 960]",538,2108,483,2130,597,2170,1,1,1,bracket,tree,57,normalized,
clock,Stopwatch,elder_zoom_heavy,co_present,"[698, 967]",753,2123,666,2130,845,2170,1,1,1,bracket,tree,59,normalized,
clock,Bedtime,elder_zoom_heavy,co_present,"[898, 967]",969,2123,901,2130,1043,2170,1,1,1,bracket,tree,59,normalized,
