Sample,Profile,Models_Down,Models_Up,Models_Tied,Sign_P_Value
full,elder_text_heavy,10,0,1,0.001953
full,elder_zoom_heavy,4,4,3,1.000000
full,elder_combo_max,8,2,1,0.109375
full,elder_combo_mid,9,1,1,0.021484
full,colorblind_deuteranomaly,7,4,0,0.548828
primary,elder_text_heavy,10,0,1,0.001953
primary,elder_zoom_heavy,4,4,3,1.000000
primary,elder_combo_max,8,2,1,0.109375
primary,elder_combo_mid,9,1,1,0.021484
primary,colorblind_deuteranomaly,6,4,1,0.753906
precautionary,elder_text_heavy,10,1,0,0.011719
precautionary,elder_zoom_heavy,4,5,2,1.000000
precautionary,elder_combo_max,7,2,2,0.179688
precautionary,elder_combo_mid,9,1,1,0.021484
precautionary,colorblind_deuteranomaly,6,4,1,0.753906
uniform,elder_text_heavy,10,1,0,0.011719
uniform,elder_zoom_heavy,4,5,2,1.000000
uniform,elder_combo_max,7,2,2,0.179688
uniform,elder_combo_mid,9,1,1,0.021484
uniform,colorblind_deuteranomaly,6,4,1,0.753906
