screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,8:30 AM,baseline,"[246.8, 329.5]",246,329,84,231,429,414,1
clock,"Mon, Tue, Wed, Thu, Fri",baseline,"[275.9, 483.7]",275,483,84,450,493,505,1
clock,9:00 AM,baseline,"[214.4, 695.7]",214,695,84,603,429,786,1
clock,"Sun, Sat",baseline,"[131.8, 846.5]",131,846,84,822,241,877,1
clock,Clock,baseline,"[73.4, 2087.0]",73,2087,280,2141,367,2191,0
clock,Timer,baseline,"[458.5, 2119.1]",458,2119,496,2141,584,2191,0
clock,Stopwatch,baseline,"[672.3, 2112.5]",672,2112,675,2141,836,2191,0
clock,Bedtime,baseline,"[866.2, 2174.6]",866,2174,908,2141,1035,2191,0
clock,8:30 AM,elder_text_heavy,"[251.1, 329.5]",251,329,84,231,429,414,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_text_heavy,"[367.7, 479.3]",367,479,84,438,665,517,1
clock,9:00 AM,elder_text_heavy,"[241.9, 695.7]",241,695,84,603,429,786,1
clock,"Sun, Sat",elder_text_heavy,"[169.0, 846.5]",169,846,84,810,301,889,1
clock,Clock,elder_text_heavy,"[65.3, 2085.9]",65,2085,280,2141,367,2191,0
clock,Timer,elder_text_heavy,"[458.5, 2113.6]",458,2113,496,2141,584,2191,0
clock,Stopwatch,elder_text_heavy,"[672.3, 2112.5]",672,2112,675,2141,836,2191,0
clock,Bedtime,elder_text_heavy,"[866.2, 2174.6]",866,2174,908,2141,1035,2191,0
clock,8:30 AM,elder_zoom_heavy,"[269.5, 368.9]",269,368,96,264,487,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_zoom_heavy,"[298.6, 545.7]",298,545,96,513,554,575,1
clock,9:00 AM,elder_zoom_heavy,"[275.9, 786.2]",275,786,96,688,487,896,1
clock,"Sun, Sat",elder_zoom_heavy,"[148.0, 971.7]",148,971,96,937,269,999,1
clock,Clock,elder_zoom_heavy,"[73.4, 2040.1]",73,2040,275,2108,373,2164,0
clock,Timer,elder_zoom_heavy,"[470.3, 2081.8]",470,2081,491,2108,589,2164,0
clock,Stopwatch,elder_zoom_heavy,"[672.3, 2080.7]",672,2080,664,2108,848,2164,0
clock,Bedtime,elder_zoom_heavy,"[875.3, 2140.0]",875,2140,900,2108,1044,2164,0
clock,8:30 AM,elder_combo_max,"[302.9, 396.2]",302,396,104,286,541,516,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_max,"[418.5, 603.0]",418,603,104,516,794,714,1
clock,9:00 AM,elder_combo_max,"[273.8, 908.9]",273,908,104,792,541,1022,1
clock,"Sun, Sat",elder_combo_max,"[229.5, 1099.4]",229,1099,104,1046,393,1154,1
clock,Clock,elder_combo_max,"[73.4, 2005.0]",73,2005,271,2081,377,2142,0
clock,Timer,elder_combo_max,"[470.3, 2045.3]",470,2045,487,2081,593,2142,0
clock,Stopwatch,elder_combo_max,"[672.3, 2060.5]",672,2060,657,2081,854,2142,0
clock,Bedtime,elder_combo_max,"[898.6, 2111.7]",898,2111,894,2081,1049,2142,0
clock,8:30 AM,elder_combo_rtl,"[276.5, 365.6]",276,365,96,264,487,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_rtl,"[381.2, 547.9]",381,547,96,496,800,592,1
clock,9:00 AM,elder_combo_rtl,"[269.5, 800.4]",269,800,96,688,487,896,1
clock,"Sun, Sat",elder_combo_rtl,"[194.4, 971.7]",194,971,96,920,358,1016,1
clock,Clock,elder_combo_rtl,"[73.4, 2040.1]",73,2040,275,2108,373,2164,0
clock,Timer,elder_combo_rtl,"[470.3, 2073.0]",470,2073,491,2108,589,2164,0
clock,Stopwatch,elder_combo_rtl,"[674.5, 2080.7]",674,2080,664,2108,848,2164,0
clock,Bedtime,elder_combo_rtl,"[898.6, 2143.3]",898,2143,900,2108,1044,2164,0
contacts,All contacts,baseline,"[266.8, 247.4]",266,247,142,226,342,279,1
contacts,No contacts yet,baseline,"[536.2, 1394.6]",536,1394,317,1351,763,1435,1
contacts,Contacts,baseline,"[268.4, 2134.7]",268,2134,249,2161,387,2203,0
contacts,Organize,baseline,"[700.4, 2180.2]",700,2180,692,2161,829,2203,1
contacts,All contacts,elder_text_heavy,"[317.5, 253.0]",317,253,142,214,436,291,1
contacts,No contacts yet,elder_text_heavy,"[520.0, 1389.1]",520,1389,289,1338,792,1434,1
contacts,Contacts,elder_text_heavy,"[261.4, 2138.0]",261,2138,223,2147,414,2203,0
contacts,Organize,elder_text_heavy,"[700.9, 2171.3]",700,2171,666,2147,855,2203,1
contacts,All contacts,elder_zoom_heavy,"[274.9, 282.2]",274,282,162,258,394,318,1
contacts,No contacts yet,elder_zoom_heavy,"[534.6, 1423.0]",534,1423,284,1374,796,1470,1
contacts,Contacts,elder_zoom_heavy,"[266.2, 2106.0]",266,2106,208,2130,365,2178,0
contacts,Organize,elder_zoom_heavy,"[727.4, 2156.5]",727,2156,714,2130,869,2178,1
contacts,All contacts,elder_combo_max,"[368.3, 311.3]",368,311,176,260,584,366,1
contacts,No contacts yet,elder_combo_max,"[502.7, 1440.1]",502,1440,199,1364,881,1493,1
contacts,Contacts,elder_combo_max,"[180.4, 2059.4]",180,2059,136,2079,404,2157,0
contacts,Organize,elder_combo_max,"[750.1, 2124.8]",750,2124,676,2079,943,2157,1
contacts,All contacts,elder_combo_rtl,"[349.9, 289.9]",349,289,162,241,527,336,1
contacts,No contacts yet,elder_combo_rtl,"[539.5, 1418.6]",539,1418,242,1357,839,1469,1
contacts,Contacts,elder_combo_rtl,"[267.3, 2093.9]",267,2093,170,2111,404,2178,0
contacts,Organize,elder_combo_rtl,"[727.4, 2141.1]",727,2141,676,2111,908,2178,1
dialer,1,baseline,"[180.4, 1150.6]",180,1150,169,1093,203,1197,1
dialer,2,baseline,"[502.7, 1166.1]",502,1166,518,1097,561,1201,0
dialer,ABC,baseline,"[538.4, 1232.7]",538,1232,505,1201,574,1245,1
dialer,3,baseline,"[842.9, 1159.4]",842,1159,870,1097,914,1201,0
dialer,DEF,baseline,"[899.1, 1182.7]",899,1182,861,1201,924,1245,0
dialer,GHI,baseline,"[133.4, 1421.3]",133,1421,157,1392,216,1436,0
dialer,5,baseline,"[537.3, 1346.9]",537,1346,516,1288,562,1392,1
dialer,JKL,baseline,"[538.4, 1410.2]",538,1410,510,1392,569,1436,1
dialer,6,baseline,"[837.5, 1345.8]",837,1345,869,1288,915,1392,0
dialer,MNO,baseline,"[826.2, 1424.6]",826,1424,852,1392,933,1436,0
dialer,7,baseline,"[106.9, 1543.3]",106,1543,166,1480,208,1584,0
dialer,PQRS,baseline,"[113.4, 1602.1]",113,1602,142,1584,232,1628,0
dialer,8,baseline,"[483.3, 1523.3]",483,1523,517,1480,562,1584,0
dialer,TUV,baseline,"[505.4, 1621.0]",505,1621,507,1584,573,1628,0
dialer,9,baseline,"[828.4, 1540.0]",828,1540,869,1480,915,1584,0
dialer,WXYZ,baseline,"[828.4, 1586.6]",828,1586,846,1584,939,1628,0
dialer,∗,baseline,"[67.0, 43.3]",67,43,168,1668,206,1780,0
dialer,0,baseline,"[177.7, 1159.4]",177,1159,512,1672,567,1776,0
dialer,+,baseline,"[446.6, 1817.4]",446,1817,529,1776,549,1820,0
dialer,#,baseline,"[117.2, 1740.8]",117,1740,865,1672,921,1776,0
dialer,Call,baseline,"[538.9, 1931.6]",538,1931,414,1871,666,2018,1
dialer,Home,baseline,"[126.4, 2141.3]",126,2141,135,2161,224,2203,0
dialer,Keypad,baseline,"[393.1, 2145.8]",393,2145,481,2161,597,2203,0
dialer,Voicemail,baseline,"[805.1, 2142.4]",805,2142,826,2161,972,2203,0
dialer,1,elder_text_heavy,"[180.4, 1135.0]",180,1135,169,1079,203,1183,1
dialer,2,elder_text_heavy,"[487.1, 1149.4]",487,1149,518,1083,561,1187,0
dialer,ABC,elder_text_heavy,"[538.4, 1203.8]",538,1203,505,1187,574,1231,1
dialer,3,elder_text_heavy,"[899.6, 1123.9]",899,1123,870,1083,914,1187,1
dialer,DEF,elder_text_heavy,"[830.5, 1169.4]",830,1169,861,1187,924,1231,0
dialer,GHI,elder_text_heavy,"[133.4, 1409.1]",133,1409,157,1378,216,1422,0
dialer,5,elder_text_heavy,"[537.3, 1338.1]",537,1338,516,1274,562,1378,1
dialer,JKL,elder_text_heavy,"[538.4, 1405.7]",538,1405,510,1378,569,1422,1
dialer,6,elder_text_heavy,"[837.5, 1345.8]",837,1345,869,1274,915,1378,0
dialer,MNO,elder_text_heavy,"[842.4, 1410.2]",842,1410,852,1378,933,1422,0
dialer,7,elder_text_heavy,"[134.5, 1522.2]",134,1522,166,1466,208,1570,0
dialer,PQRS,elder_text_heavy,"[110.7, 1587.7]",110,1587,142,1570,232,1614,0
dialer,8,elder_text_heavy,"[538.4, 1503.4]",538,1503,517,1466,562,1570,1
dialer,TUV,elder_text_heavy,"[538.4, 1591.0]",538,1591,507,1570,573,1614,1
dialer,9,elder_text_heavy,"[811.1, 1525.6]",811,1525,869,1466,915,1570,0
dialer,WXYZ,elder_text_heavy,"[874.8, 1596.6]",874,1596,846,1570,939,1614,1
dialer,∗,elder_text_heavy,"[507.6, 2088.1]",507,2088,168,1654,206,1766,0
dialer,0,elder_text_heavy,"[536.2, 1719.7]",536,1719,512,1658,567,1762,1
dialer,+,elder_text_heavy,"[177.1, 1768.5]",177,1768,529,1762,549,1806,0
dialer,#,elder_text_heavy,"[178.2, 1705.3]",178,1705,865,1658,921,1762,0
dialer,Call,elder_text_heavy,"[492.5, 1938.3]",492,1938,400,1857,681,2004,1
dialer,Home,elder_text_heavy,"[123.7, 2168.0]",123,2168,118,2147,241,2203,0
dialer,Keypad,elder_text_heavy,"[485.5, 2151.3]",485,2151,461,2147,618,2203,0
dialer,Voicemail,elder_text_heavy,"[805.1, 2164.6]",805,2164,800,2147,1000,2203,0
dialer,1,elder_zoom_heavy,"[155.0, 984.9]",155,984,168,911,207,1029,0
dialer,2,elder_zoom_heavy,"[537.3, 967.3]",537,967,514,916,564,1034,1
dialer,ABC,elder_zoom_heavy,"[538.4, 1066.2]",538,1066,500,1034,579,1085,1
dialer,3,elder_zoom_heavy,"[897.5, 1005.8]",897,1005,866,916,916,1034,1
dialer,DEF,elder_zoom_heavy,"[899.1, 1059.6]",899,1059,855,1034,928,1085,1
dialer,GHI,elder_zoom_heavy,"[141.5, 1279.2]",141,1279,154,1253,221,1304,0
dialer,5,elder_zoom_heavy,"[537.8, 1192.4]",537,1192,514,1135,566,1253,1
dialer,JKL,elder_zoom_heavy,"[536.2, 1282.5]",536,1282,506,1253,574,1304,1
dialer,6,elder_zoom_heavy,"[810.0, 1203.4]",810,1203,865,1135,918,1253,0
dialer,MNO,elder_zoom_heavy,"[826.2, 1281.4]",826,1281,845,1253,938,1304,0
dialer,7,elder_zoom_heavy,"[132.3, 1413.1]",132,1413,163,1354,211,1472,0
dialer,PQRS,elder_zoom_heavy,"[157.1, 1491.1]",157,1491,136,1472,239,1523,1
dialer,8,elder_zoom_heavy,"[538.4, 1408.7]",538,1408,514,1354,565,1472,1
dialer,TUV,elder_zoom_heavy,"[538.4, 1502.1]",538,1502,502,1472,577,1523,1
dialer,9,elder_zoom_heavy,"[830.0, 1405.4]",830,1405,865,1354,918,1472,0
dialer,WXYZ,elder_zoom_heavy,"[823.5, 1498.8]",823,1498,839,1472,945,1523,0
dialer,∗,elder_zoom_heavy,"[952.0, 773.0]",952,773,166,1568,209,1696,0
dialer,0,elder_zoom_heavy,"[326.7, 1637.1]",326,1637,508,1573,571,1691,0
dialer,+,elder_zoom_heavy,"[537.3, 1712.9]",537,1712,528,1691,551,1742,1
dialer,#,elder_zoom_heavy,"[536.2, 2050.0]",536,2050,860,1573,924,1691,0
dialer,Call,elder_zoom_heavy,"[536.8, 1889.7]",536,1889,396,1800,684,1968,1
dialer,Home,elder_zoom_heavy,"[125.8, 2120.2]",125,2120,129,2130,230,2178,0
dialer,Keypad,elder_zoom_heavy,"[472.0, 2120.2]",472,2120,475,2130,605,2178,0
dialer,Voicemail,elder_zoom_heavy,"[805.1, 2116.9]",805,2116,817,2130,982,2178,0
dialer,1,elder_combo_max,"[185.8, 816.4]",185,816,167,758,209,885,1
dialer,2,elder_combo_max,"[538.4, 829.4]",538,829,513,764,566,891,1
dialer,ABC,elder_combo_max,"[538.4, 911.1]",538,911,497,891,582,945,1
dialer,3,elder_combo_max,"3, DEF",-1,-1,863,764,917,891,0
dialer,DEF,elder_combo_max,"[842.4, 915.4]",842,915,851,891,930,945,0
dialer,GHI,elder_combo_max,"[175.5, 1160.3]",175,1160,152,1128,225,1182,1
dialer,5,elder_combo_max,"[536.2, 1060.2]",536,1060,511,1001,567,1128,1
dialer,JKL,elder_combo_max,"[538.4, 1144.0]",538,1144,503,1128,575,1182,1
dialer,6,elder_combo_max,"[538.4, 1067.8]",538,1067,862,1001,919,1128,0
