screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,8:30 AM,baseline,"[258, 320]",258,320,84,231,429,414,1
clock,"Mon, Tue, Wed, Thu, Fri",baseline,"[287, 477]",287,477,84,450,493,505,1
clock,9:00 AM,baseline,"[259, 692]",259,692,84,603,429,786,1
clock,"Sun, Sat",baseline,"[163, 849]",163,849,84,822,241,877,1
clock,Clock,baseline,"[323, 2228]",323,2228,280,2196,367,2246,1
clock,Timer,baseline,"[539, 2225]",539,2225,496,2196,584,2246,1
clock,Stopwatch,baseline,"[756, 2225]",756,2225,675,2196,836,2246,1
clock,Bedtime,baseline,"[976, 2224]",976,2224,908,2196,1035,2246,1
clock,8:30 AM,elder_text_heavy,"[258, 320]",258,320,84,231,429,414,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_text_heavy,"[374, 476]",374,476,84,438,665,517,1
clock,9:00 AM,elder_text_heavy,"[258, 692]",258,692,84,603,429,786,1
clock,"Sun, Sat",elder_text_heavy,"[193, 848]",193,848,84,810,301,889,1
clock,Clock,elder_text_heavy,"[324, 2224]",324,2224,280,2196,367,2246,1
clock,Timer,elder_text_heavy,"[540, 2201]",540,2201,496,2196,584,2246,1
clock,Stopwatch,elder_text_heavy,"[756, 2221]",756,2221,675,2196,836,2246,1
clock,Bedtime,elder_text_heavy,"[958, 2204]",958,2204,908,2196,1035,2246,1
clock,8:30 AM,elder_zoom_heavy,"[295, 365]",295,365,96,264,487,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_zoom_heavy,"[324, 544]",324,544,96,513,554,575,1
clock,9:00 AM,elder_zoom_heavy,"[294, 789]",294,789,96,688,487,896,1
clock,"Sun, Sat",elder_zoom_heavy,"[183, 967]",183,967,96,937,269,999,1
clock,Clock,elder_zoom_heavy,"[324, 2200]",324,2200,275,2168,373,2224,1
clock,Timer,elder_zoom_heavy,"[540, 2195]",540,2195,491,2168,589,2224,1
clock,Stopwatch,elder_zoom_heavy,"[756, 2199]",756,2199,664,2168,848,2224,1
clock,Bedtime,elder_zoom_heavy,"[956, 2181]",956,2181,900,2168,1044,2224,1
clock,8:30 AM,elder_combo_max,"[325, 397]",325,397,104,286,541,516,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_max,"[438, 613]",438,613,104,516,794,714,1
clock,9:00 AM,elder_combo_max,"[325, 903]",325,903,104,792,541,1022,1
clock,"Sun, Sat",elder_combo_max,"[249, 1099]",249,1099,104,1046,393,1154,1
clock,Clock,elder_combo_max,"[323, 2182]",323,2182,271,2148,377,2209,1
clock,Timer,elder_combo_max,"[540, 2180]",540,2180,487,2148,593,2209,1
clock,Stopwatch,elder_combo_max,"[755, 2182]",755,2182,657,2148,854,2209,1
clock,Bedtime,elder_combo_max,"[971, 2182]",971,2182,894,2148,1049,2209,1
clock,8:30 AM,elder_combo_rtl,"[295, 365]",295,365,96,264,487,472,1
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_rtl,"[449, 542]",449,542,96,496,800,592,1
clock,9:00 AM,elder_combo_rtl,"[295, 789]",295,789,96,688,487,896,1
clock,"Sun, Sat",elder_combo_rtl,"[228, 967]",228,967,96,920,358,1016,1
clock,Clock,elder_combo_rtl,"[324, 2200]",324,2200,275,2168,373,2224,1
