Sample,Profile,Models_Down,Models_Up,Models_Tied,Sign_P_Value
full,elder_text_heavy,10,3,3,0.092285
full,elder_zoom_heavy,9,4,3,0.266846
full,elder_combo_max,12,2,2,0.012939
full,elder_combo_mid,13,1,2,0.001831
full,colorblind_deuteranomaly,9,2,5,0.065430
primary,elder_text_heavy,10,3,3,0.092285
primary,elder_zoom_heavy,9,4,3,0.266846
primary,elder_combo_max,12,2,2,0.012939
primary,elder_combo_mid,13,1,2,0.001831
primary,colorblind_deuteranomaly,8,4,4,0.387695
precautionary,elder_text_heavy,10,2,4,0.038574
precautionary,elder_zoom_heavy,9,3,4,0.145996
precautionary,elder_combo_max,12,2,2,0.012939
precautionary,elder_combo_mid,12,1,3,0.003418
precautionary,colorblind_deuteranomaly,8,4,4,0.387695
uniform,elder_text_heavy,10,2,4,0.038574
uniform,elder_zoom_heavy,9,3,4,0.145996
uniform,elder_combo_max,12,2,2,0.012939
uniform,elder_combo_mid,12,1,3,0.003418
uniform,colorblind_deuteranomaly,7,2,7,0.179688
