Sample,Model,Profile,Total_Pairs,Both_Pass_a,Broke_It_b,Fluke_Recovery_c,Both_Fail_d,Discordant_Pairs,Baseline_Acc,Exp_Acc,Risk_Diff,Risk_Diff_CI_Low,Risk_Diff_CI_High,Odds_Ratio,OR_CI_Low,OR_CI_High,Test_Used,Statistic,P_Value,Holm_Threshold,Significant,Power_Limit
full,9router_ag_gemini-3-flash-agent,elder_text_heavy,139,138,1,0,0,1,100.0%,99.3%,0.0072,-0.0203,0.0396,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001471,No,ceiling
full,9router_ag_gemini-3-flash-agent,elder_zoom_heavy,144,142,2,0,0,2,100.0%,98.6%,0.0139,-0.0140,0.0492,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000926,No,ceiling
full,9router_ag_gemini-3-flash-agent,elder_combo_max,111,110,1,0,0,1,100.0%,99.1%,0.0090,-0.0253,0.0493,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001515,No,ceiling
full,9router_ag_gemini-3-flash-agent,elder_combo_mid,123,122,1,0,0,1,100.0%,99.2%,0.0081,-0.0229,0.0446,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001563,No,ceiling
full,9router_ag_gemini-3-flash-agent,colorblind_deuteranomaly,153,153,0,0,0,0,100.0%,100.0%,0.0000,-0.0245,0.0245,,,,N/A (no discordant pairs),,1.000000,0.001613,No,ceiling
full,9router_ag_gemini-3-flash,elder_text_heavy,139,138,1,0,0,1,100.0%,99.3%,0.0072,-0.0203,0.0396,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001667,No,ceiling
full,9router_ag_gemini-3-flash,elder_zoom_heavy,144,143,1,0,0,1,100.0%,99.3%,0.0069,-0.0197,0.0383,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001724,No,ceiling
full,9router_ag_gemini-3-flash,elder_combo_max,111,111,0,0,0,0,100.0%,100.0%,0.0000,-0.0335,0.0335,,,,N/A (no discordant pairs),,1.000000,0.001786,No,ceiling
full,9router_ag_gemini-3-flash,elder_combo_mid,123,121,2,0,0,2,100.0%,98.4%,0.0163,-0.0162,0.0574,inf,0.188,inf,Exact Binomial (n=2),,0.500000,0.000943,No,ceiling
full,9router_ag_gemini-3-flash,colorblind_deuteranomaly,153,152,1,0,0,1,100.0%,99.3%,0.0065,-0.0185,0.0361,inf,0.026,inf,Exact Binomial (n=1),,1.000000,0.001852,No,ceiling
