Sample,Profile,Target_Clusters,Observations,Statistic,Broke_It_b,Fluke_Recovery_c,Permutations,P_Value,Holm_Threshold,Significant
full,elder_text_heavy,139,2224,35.0,67,32,20000,0.000800,0.012500,Yes
full,elder_zoom_heavy,144,2304,13.0,65,52,20000,0.334533,0.050000,No
full,elder_combo_max,111,1776,41.0,77,36,20000,0.001900,0.016667,Yes
full,elder_combo_mid,123,1968,39.0,75,36,20000,0.000600,0.010000,Yes
full,colorblind_deuteranomaly,153,2448,30.0,59,29,20000,0.002050,0.025000,Yes
primary,elder_text_heavy,139,2224,35.0,67,32,20000,0.000800,0.012500,Yes
primary,elder_zoom_heavy,144,2304,13.0,65,52,20000,0.334533,0.050000,No
primary,elder_combo_max,111,1776,41.0,77,36,20000,0.001900,0.016667,Yes
primary,elder_combo_mid,123,1968,39.0,75,36,20000,0.000600,0.010000,Yes
primary,colorblind_deuteranomaly,136,2176,22.0,47,25,20000,0.012349,0.025000,Yes
precautionary,elder_text_heavy,109,1744,29.0,54,25,20000,0.001650,0.010000,Yes
precautionary,elder_zoom_heavy,112,1792,16.0,54,38,20000,0.189741,0.050000,No
precautionary,elder_combo_max,91,1456,31.0,61,30,20000,0.012449,0.025000,Yes
precautionary,elder_combo_mid,100,1600,31.0,60,29,20000,0.006000,0.012500,Yes
precautionary,colorblind_deuteranomaly,136,2176,22.0,47,25,20000,0.012349,0.016667,Yes
uniform,elder_text_heavy,109,1744,29.0,54,25,20000,0.001650,0.010000,Yes
uniform,elder_zoom_heavy,112,1792,16.0,54,38,20000,0.189741,0.050000,No
uniform,elder_combo_max,91,1456,31.0,61,30,20000,0.012449,0.016667,Yes
uniform,elder_combo_mid,100,1600,31.0,60,29,20000,0.006000,0.012500,Yes
uniform,colorblind_deuteranomaly,117,1872,18.0,39,21,20000,0.025599,0.025000,No
