Sample,Profile,Models_Down,Models_Up,Models_Tied,Sign_P_Value
full,elder_text_heavy,15,0,2,0.000061
full,elder_zoom_heavy,10,4,3,0.179565
full,elder_combo_max,13,2,2,0.007385
full,elder_combo_mid,14,1,2,0.000977
full,colorblind_deuteranomaly,10,6,1,0.454498
primary,elder_text_heavy,15,0,2,0.000061
primary,elder_zoom_heavy,10,4,3,0.179565
primary,elder_combo_max,13,2,2,0.007385
primary,elder_combo_mid,14,1,2,0.000977
primary,colorblind_deuteranomaly,9,7,1,0.803619
precautionary,elder_text_heavy,15,1,1,0.000519
precautionary,elder_zoom_heavy,8,5,4,0.581055
precautionary,elder_combo_max,12,2,3,0.012939
precautionary,elder_combo_mid,14,1,2,0.000977
precautionary,colorblind_deuteranomaly,9,7,1,0.803619
uniform,elder_text_heavy,15,1,1,0.000519
uniform,elder_zoom_heavy,8,5,4,0.581055
uniform,elder_combo_max,12,2,3,0.012939
uniform,elder_combo_mid,14,1,2,0.000977
uniform,colorblind_deuteranomaly,9,6,2,0.607239
