Sample,Profile,Target_Clusters,Observations,Statistic,Broke_It_b,Fluke_Recovery_c,Permutations,P_Value,Holm_Threshold,Significant
full,elder_text_heavy,139,2363,58.0,97,39,20000,0.000050,0.010000,Yes
full,elder_zoom_heavy,144,2448,30.0,96,66,20000,0.075096,0.025000,No
full,elder_combo_max,111,1887,86.0,138,52,20000,0.000050,0.012500,Yes
full,elder_combo_mid,123,2091,86.0,135,49,20000,0.000050,0.016667,Yes
full,colorblind_deuteranomaly,153,2601,15.0,65,50,20000,0.238588,0.050000,No
primary,elder_text_heavy,139,2363,58.0,97,39,20000,0.000050,0.010000,Yes
primary,elder_zoom_heavy,144,2448,30.0,96,66,20000,0.075096,0.025000,No
primary,elder_combo_max,111,1887,86.0,138,52,20000,0.000050,0.012500,Yes
primary,elder_combo_mid,123,2091,86.0,135,49,20000,0.000050,0.016667,Yes
primary,colorblind_deuteranomaly,136,2312,3.0,50,47,20000,0.845458,0.050000,No
precautionary,elder_text_heavy,109,1853,45.0,79,34,20000,0.002100,0.012500,Yes
precautionary,elder_zoom_heavy,112,1904,27.0,82,55,20000,0.102845,0.025000,No
precautionary,elder_combo_max,91,1547,55.0,105,50,20000,0.002750,0.016667,Yes
precautionary,elder_combo_mid,100,1700,71.0,114,43,20000,0.000350,0.010000,Yes
precautionary,colorblind_deuteranomaly,136,2312,3.0,50,47,20000,0.845458,0.050000,No
uniform,elder_text_heavy,109,1853,45.0,79,34,20000,0.002100,0.012500,Yes
uniform,elder_zoom_heavy,112,1904,27.0,82,55,20000,0.102845,0.025000,No
uniform,elder_combo_max,91,1547,55.0,105,50,20000,0.002750,0.016667,Yes
uniform,elder_combo_mid,100,1700,71.0,114,43,20000,0.000350,0.010000,Yes
uniform,colorblind_deuteranomaly,117,1989,6.0,45,39,20000,0.592770,0.050000,No
