screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[180.4, 248.5]",180,248,95,221,266,283,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,baseline,co_present,"[246.2, 381.7]",246,381,95,304,393,459,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,baseline,co_present,"[175.0, 599.1]",175,599,95,570,256,632,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,baseline,co_present,"[251.6, 732.3]",251,732,95,653,408,808,1,1,1,bracket,vision,0,normalized
clock,World Clock,baseline,co_present,"[324.0, 2176.8]",324,2176,221,2162,426,2202,1,1,1,bracket,vision,0,normalized
clock,Timers,baseline,co_present,"[540.0, 2176.8]",540,2176,482,2162,596,2202,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,baseline,co_present,"[756.0, 2176.8]",756,2176,666,2162,845,2202,1,1,1,bracket,vision,0,normalized
clock,Bedtime,baseline,co_present,"[972.0, 2181.3]",972,2181,900,2162,1042,2202,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_text_heavy,co_present,"[207.4, 259.6]",207,259,95,221,319,304,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_text_heavy,co_present,"[246.2, 399.4]",246,399,95,325,393,480,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_text_heavy,co_present,"[200.9, 628.0]",200,628,95,591,309,674,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_text_heavy,co_present,"[254.9, 770.0]",254,770,95,695,408,850,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_text_heavy,co_present,"[324.0, 2174.6]",324,2174,216,2160,432,2203,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_text_heavy,co_present,"[540.0, 2179.1]",540,2179,478,2160,600,2203,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_text_heavy,co_present,"[756.0, 2176.8]",756,2176,660,2160,851,2203,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_text_heavy,co_present,"[972.0, 2174.6]",972,2174,896,2160,1047,2203,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_zoom_heavy,co_present,"[205.2, 281.1]",205,281,108,252,303,322,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_zoom_heavy,co_present,"[283.0, 430.4]",283,430,108,346,448,523,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_zoom_heavy,co_present,"[197.6, 680.8]",197,680,108,649,293,719,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_zoom_heavy,co_present,"[289.4, 830.1]",289,830,108,743,466,920,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_zoom_heavy,co_present,"[324.0, 2145.5]",324,2145,221,2130,426,2170,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_zoom_heavy,co_present,"[540.0, 2147.7]",540,2147,483,2130,597,2170,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_zoom_heavy,co_present,"[756.0, 2145.5]",756,2145,666,2130,845,2170,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_zoom_heavy,co_present,"[972.0, 2147.7]",972,2147,901,2130,1043,2170,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_combo_max,co_present,"[267.8, 320.0]",267,320,117,273,419,386,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_combo_max,co_present,"[308.9, 509.4]",308,509,117,412,495,609,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_combo_max,co_present,"[260.3, 801.1]",260,801,117,746,403,859,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_combo_max,co_present,"[315.4, 981.8]",315,981,117,885,513,1082,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_combo_max,co_present,"[324.0, 2124.8]",324,2124,216,2106,432,2151,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_combo_max,co_present,"[540.0, 2126.9]",540,2126,476,2106,604,2151,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_combo_max,co_present,"[756.0, 2129.1]",756,2129,654,2106,857,2151,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_combo_max,co_present,"[972.0, 2122.6]",972,2122,892,2106,1052,2151,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_combo_mid,co_present,"[243.0, 294.3]",243,294,108,252,378,352,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_combo_mid,co_present,"[280.8, 463.4]",280,463,108,376,448,553,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_combo_mid,co_present,"[233.3, 724.7]",233,724,108,679,363,779,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_combo_mid,co_present,"[289.4, 889.4]",289,889,108,803,466,980,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_combo_mid,co_present,"[324.0, 2149.9]",324,2149,216,2130,432,2174,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_combo_mid,co_present,"[540.0, 2152.1]",540,2152,477,2130,603,2174,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_combo_mid,co_present,"[756.0, 2147.7]",756,2147,658,2130,854,2174,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_combo_mid,co_present,"[972.0, 2152.1]",972,2152,894,2130,1049,2174,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[180.4, 250.7]",180,250,95,221,266,283,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[244.1, 381.7]",244,381,95,304,393,459,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[175.0, 599.1]",175,599,95,570,256,632,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[254.9, 727.8]",254,727,95,653,408,808,1,1,1,bracket,vision,0,normalized
clock,World Clock,colorblind_deuteranomaly,co_present,"[324.0, 2174.6]",324,2174,221,2162,426,2202,1,1,1,bracket,vision,0,normalized
clock,Timers,colorblind_deuteranomaly,co_present,"[540.0, 2174.6]",540,2174,482,2162,596,2202,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[756.0, 2179.1]",756,2179,666,2162,845,2202,1,1,1,bracket,vision,0,normalized
clock,Bedtime,colorblind_deuteranomaly,co_present,"[972.0, 2179.1]",972,2179,900,2162,1042,2202,1,1,1,bracket,vision,0,normalized
contacts,All contacts,baseline,co_present,"[240.8, 250.7]",240,250,142,226,342,279,1,1,1,bracket,vision,0,normalized
contacts,Your info,baseline,co_present,"[283.0, 406.1]",283,406,221,389,346,431,1,1,1,bracket,vision,0,normalized
contacts,Andres,baseline,co_present,"[291.6, 463.8]",291,463,221,431,365,494,1,1,1,bracket,vision,0,normalized
contacts,No contacts yet,baseline,co_present,"[540.0, 1488.9]",540,1488,317,1446,763,1530,1,1,1,bracket,vision,0,normalized
contacts,Contacts,baseline,co_present,"[179.3, 2176.8]",179,2176,110,2161,248,2203,1,1,1,bracket,vision,0,normalized
contacts,Highlights,baseline,co_present,"[540.0, 2176.8]",540,2176,463,2161,616,2203,1,1,1,bracket,vision,0,normalized
contacts,Organize,baseline,co_present,"[899.6, 2179.1]",899,2179,831,2161,968,2203,1,1,1,bracket,vision,0,normalized
contacts,All contacts,elder_text_heavy,co_present,"[287.3, 250.7]",287,250,142,214,436,291,1,1,1,bracket,vision,0,normalized
contacts,Your info,elder_text_heavy,co_present,"[308.9, 415.0]",308,415,221,389,400,448,1,1,1,bracket,vision,0,normalized
contacts,Andres,elder_text_heavy,co_present,"[317.5, 486.0]",317,486,221,448,412,534,1,1,1,bracket,vision,0,normalized
contacts,No contacts yet,elder_text_heavy,co_present,"[540.0, 1500.0]",540,1500,289,1453,792,1549,1,1,1,bracket,vision,0,normalized
contacts,Contacts,elder_text_heavy,co_present,"[179.3, 2174.6]",179,2174,84,2147,275,2203,1,1,1,bracket,vision,0,normalized
contacts,Highlights,elder_text_heavy,co_present,"[540.0, 2174.6]",540,2174,434,2147,646,2203,1,1,1,bracket,vision,0,normalized
contacts,Organize,elder_text_heavy,co_present,"[899.6, 2176.8]",899,2176,805,2147,994,2203,1,1,1,bracket,vision,0,normalized
contacts,All contacts,elder_zoom_heavy,co_present,"[278.6, 285.5]",278,285,162,258,394,318,1,1,1,bracket,vision,0,normalized
contacts,Your info,elder_zoom_heavy,co_present,"[324.0, 469.9]",324,469,252,444,396,492,1,1,1,bracket,vision,0,normalized
