screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space,image_sent_size
clock,Mon-Fri,baseline,co_present,"[128, 178]",181,251,95,221,266,283,1,1,1,bracket,tree,62,,763x1568
clock,8:30 AM,baseline,co_present,"[178, 269]",251,380,95,304,393,459,1,1,1,bracket,tree,62,,763x1568
clock,Sun Sat,baseline,co_present,"[124, 424]",175,600,95,570,256,632,1,1,1,bracket,tree,62,,763x1568
clock,9:00 AM,baseline,co_present,"[172, 516]",243,730,95,653,408,808,1,1,1,bracket,tree,62,,763x1568
clock,World Clock,baseline,co_present,"[229, 1542]",324,2182,221,2162,426,2202,1,1,1,bracket,tree,59,,763x1568
clock,Timers,baseline,co_present,"[381, 1541]",539,2180,482,2162,596,2202,1,1,1,bracket,tree,57,,763x1568
clock,Stopwatch,baseline,co_present,"[534, 1541]",755,2180,666,2162,845,2202,1,1,1,bracket,tree,59,,763x1568
clock,Bedtime,baseline,co_present,"[687, 1541]",972,2180,900,2162,1042,2202,1,1,1,bracket,tree,59,,763x1568
clock,Mon-Fri,elder_text_heavy,co_present,"[152, 184]",215,260,95,221,319,304,1,1,1,bracket,tree,62,,763x1568
clock,8:30 AM,elder_text_heavy,co_present,"[178, 284]",251,401,95,325,393,480,1,1,1,bracket,tree,62,,763x1568
clock,Sun Sat,elder_text_heavy,co_present,"[144, 447]",203,632,95,591,309,674,1,1,1,bracket,tree,62,,763x1568
clock,9:00 AM,elder_text_heavy,co_present,"[185, 546]",261,772,95,695,408,850,1,1,1,bracket,tree,62,,763x1568
clock,World Clock,elder_text_heavy,co_present,"[229, 1541]",324,2180,216,2160,432,2203,1,1,1,bracket,tree,59,,763x1568
clock,Timers,elder_text_heavy,co_present,"[381, 1543]",539,2183,478,2160,600,2203,1,1,1,bracket,tree,57,,763x1568
clock,Stopwatch,elder_text_heavy,co_present,"[534, 1541]",755,2180,660,2160,851,2203,1,1,1,bracket,tree,59,,763x1568
clock,Bedtime,elder_text_heavy,co_present,"[687, 1541]",972,2180,896,2160,1047,2203,1,1,1,bracket,tree,59,,763x1568
clock,Mon-Fri,elder_zoom_heavy,co_present,"[148, 204]",207,285,108,252,303,322,1,1,1,bracket,tree,62,,771x1568
clock,8:30 AM,elder_zoom_heavy,co_present,"[205, 310]",287,434,108,346,448,523,1,1,1,bracket,tree,62,,771x1568
clock,Sun Sat,elder_zoom_heavy,co_present,"[146, 488]",204,683,108,649,293,719,1,1,1,bracket,tree,62,,771x1568
clock,9:00 AM,elder_zoom_heavy,co_present,"[198, 594]",277,831,108,743,466,920,1,1,1,bracket,tree,62,,771x1568
clock,World Clock,elder_zoom_heavy,co_present,"[231, 1534]",323,2148,221,2130,426,2170,1,1,1,bracket,tree,59,,771x1568
clock,Timers,elder_zoom_heavy,co_present,"[386, 1535]",540,2149,483,2130,597,2170,1,1,1,bracket,tree,57,,771x1568
clock,Stopwatch,elder_zoom_heavy,co_present,"[539, 1535]",754,2149,666,2130,845,2170,1,1,1,bracket,tree,59,,771x1568
clock,Bedtime,elder_zoom_heavy,co_present,"[694, 1535]",972,2149,901,2130,1043,2170,1,1,1,bracket,tree,59,,771x1568
