screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space,image_sent_size
clock,Mon-Fri,baseline,co_present,"[176, 251]",176,251,95,221,266,283,1,1,1,bracket,tree,62,,
clock,8:30 AM,baseline,co_present,"[249, 383]",249,383,95,304,393,459,1,1,1,bracket,tree,62,,
clock,Sun Sat,baseline,co_present,"[175, 601]",175,601,95,570,256,632,1,1,1,bracket,tree,62,,
clock,9:00 AM,baseline,co_present,"[254, 731]",254,731,95,653,408,808,1,1,1,bracket,tree,62,,
clock,World Clock,baseline,co_present,"[324, 2178]",324,2178,221,2162,426,2202,1,1,1,bracket,tree,59,,
clock,Timers,baseline,co_present,"[540, 2182]",540,2182,482,2162,596,2202,1,1,1,bracket,tree,57,,
clock,Stopwatch,baseline,co_present,"[755, 2182]",755,2182,666,2162,845,2202,1,1,1,bracket,tree,59,,
clock,Bedtime,baseline,co_present,"[971, 2181]",971,2181,900,2162,1042,2202,1,1,1,bracket,tree,59,,
clock,Mon-Fri,elder_text_heavy,co_present,"[196, 262]",196,262,95,221,319,304,1,1,1,bracket,tree,62,,
clock,8:30 AM,elder_text_heavy,co_present,"[247, 402]",247,402,95,325,393,480,1,1,1,bracket,tree,62,,
clock,Sun Sat,elder_text_heavy,co_present,"[201, 632]",201,632,95,591,309,674,1,1,1,bracket,tree,62,,
clock,9:00 AM,elder_text_heavy,co_present,"[257, 774]",257,774,95,695,408,850,1,1,1,bracket,tree,62,,
clock,World Clock,elder_text_heavy,co_present,"[324, 2181]",324,2181,216,2160,432,2203,1,1,1,bracket,tree,59,,
clock,Timers,elder_text_heavy,co_present,"[540, 2160]",540,2160,478,2160,600,2203,1,1,1,bracket,tree,57,,
clock,Stopwatch,elder_text_heavy,co_present,"[755, 2160]",755,2160,660,2160,851,2203,1,1,1,bracket,tree,59,,
clock,Bedtime,elder_text_heavy,co_present,"[971, 2181]",971,2181,896,2160,1047,2203,1,1,1,bracket,tree,59,,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[201, 287]",201,287,108,252,303,322,1,1,1,bracket,tree,62,,
clock,8:30 AM,elder_zoom_heavy,co_present,"[287, 434]",287,434,108,346,448,523,1,1,1,bracket,tree,62,,
clock,Sun Sat,elder_zoom_heavy,co_present,"[200, 685]",200,685,108,649,293,719,1,1,1,bracket,tree,62,,
clock,9:00 AM,elder_zoom_heavy,co_present,"[286, 831]",286,831,108,743,466,920,1,1,1,bracket,tree,62,,
clock,World Clock,elder_zoom_heavy,co_present,"[323, 2150]",323,2150,221,2130,426,2170,1,1,1,bracket,tree,59,,
clock,Timers,elder_zoom_heavy,co_present,"[540, 2150]",540,2150,483,2130,597,2170,1,1,1,bracket,tree,57,,
clock,Stopwatch,elder_zoom_heavy,co_present,"[755, 2150]",755,2150,666,2130,845,2170,1,1,1,bracket,tree,59,,
clock,Bedtime,elder_zoom_heavy,co_present,"[972, 2150]",972,2150,901,2130,1043,2170,1,1,1,bracket,tree,59,,
clock,Mon-Fri,elder_combo_max,co_present,"[265, 328]",265,328,117,273,419,386,1,1,1,bracket,tree,62,,
clock,8:30 AM,elder_combo_max,co_present,"[313, 511]",313,511,117,412,495,609,1,1,1,bracket,tree,62,,
clock,Sun Sat,elder_combo_max,co_present,"[261, 800]",261,800,117,746,403,859,1,1,1,bracket,tree,62,,
clock,9:00 AM,elder_combo_max,co_present,"[306, 984]",306,984,117,885,513,1082,1,1,1,bracket,tree,62,,
clock,World Clock,elder_combo_max,co_present,"[324, 2131]",324,2131,216,2106,432,2151,1,1,1,bracket,tree,59,,
clock,Timers,elder_combo_max,co_present,"[540, 2151]",540,2151,476,2106,604,2151,1,1,1,bracket,tree,58,,
clock,Stopwatch,elder_combo_max,co_present,"[756, 2131]",756,2131,654,2106,857,2151,1,1,1,bracket,tree,59,,
clock,Bedtime,elder_combo_max,co_present,"[972, 2129]",972,2129,892,2106,1052,2151,1,1,1,bracket,tree,59,,
clock,Mon-Fri,elder_combo_mid,co_present,"[236, 302]",236,302,108,252,378,352,1,1,1,bracket,tree,62,,
clock,8:30 AM,elder_combo_mid,co_present,"[264, 465]",264,465,108,376,448,553,1,1,1,bracket,tree,62,,
clock,Sun Sat,elder_combo_mid,co_present,"[233, 728]",233,728,108,679,363,779,1,1,1,bracket,tree,62,,
clock,9:00 AM,elder_combo_mid,co_present,"[276, 891]",276,891,108,803,466,980,1,1,1,bracket,tree,62,,
clock,World Clock,elder_combo_mid,co_present,"[324, 2152]",324,2152,216,2130,432,2174,1,1,1,bracket,tree,59,,
clock,Timers,elder_combo_mid,co_present,"[540, 2150]",540,2150,477,2130,603,2174,1,1,1,bracket,tree,58,,
clock,Stopwatch,elder_combo_mid,co_present,"[756, 2151]",756,2151,658,2130,854,2174,1,1,1,bracket,tree,59,,
clock,Bedtime,elder_combo_mid,co_present,"[972, 2152]",972,2152,894,2130,1049,2174,1,1,1,bracket,tree,59,,
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[176, 251]",176,251,95,221,266,283,1,1,1,bracket,tree,62,,
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[251, 382]",251,382,95,304,393,459,1,1,1,bracket,tree,62,,
