screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space,image_sent_size
clock,Mon-Fri,baseline,co_present,"[166, 115]",179,255,95,221,266,283,1,1,1,bracket,tree,62,normalized,
clock,8:30 AM,baseline,co_present,"[218, 174]",235,386,95,304,393,459,1,1,1,bracket,tree,62,normalized,
clock,Sun Sat,baseline,co_present,"[163, 271]",176,601,95,570,256,632,1,1,1,bracket,tree,62,normalized,
clock,9:00 AM,baseline,co_present,"[226, 329]",244,730,95,653,408,808,1,1,1,bracket,tree,62,normalized,
clock,World Clock,baseline,co_present,"[300, 981]",324,2176,221,2162,426,2202,1,1,1,bracket,tree,59,normalized,
clock,Timers,baseline,co_present,"[500, 983]",540,2181,482,2162,596,2202,1,1,1,bracket,tree,57,normalized,
clock,Stopwatch,baseline,co_present,"[700, 982]",756,2179,666,2162,845,2202,1,1,1,bracket,tree,59,normalized,
clock,Bedtime,baseline,co_present,"[899, 983]",970,2181,900,2162,1042,2202,1,1,1,bracket,tree,59,normalized,
clock,Mon-Fri,elder_text_heavy,co_present,"[193, 116]",208,257,95,221,319,304,1,1,1,bracket,tree,62,normalized,
clock,8:30 AM,elder_text_heavy,co_present,"[233, 181]",251,401,95,325,393,480,1,1,1,bracket,tree,62,normalized,
clock,Sun Sat,elder_text_heavy,co_present,"[186, 285]",200,632,95,591,309,674,1,1,1,bracket,tree,62,normalized,
clock,9:00 AM,elder_text_heavy,co_present,"[226, 348]",244,772,95,695,408,850,1,1,1,bracket,tree,62,normalized,
clock,World Clock,elder_text_heavy,co_present,"[299, 983]",322,2181,216,2160,432,2203,1,1,1,bracket,tree,59,normalized,
clock,Timers,elder_text_heavy,co_present,"[500, 983]",540,2181,478,2160,600,2203,1,1,1,bracket,tree,57,normalized,
clock,Stopwatch,elder_text_heavy,co_present,"[700, 983]",756,2181,660,2160,851,2203,1,1,1,bracket,tree,59,normalized,
clock,Bedtime,elder_text_heavy,co_present,"[900, 982]",972,2179,896,2160,1047,2203,1,1,1,bracket,tree,59,normalized,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[191, 130]",206,285,108,252,303,322,1,1,1,bracket,tree,62,normalized,
clock,8:30 AM,elder_zoom_heavy,co_present,"[266, 198]",287,434,108,346,448,523,1,1,1,bracket,tree,62,normalized,
clock,Sun Sat,elder_zoom_heavy,co_present,"[185, 312]",199,685,108,649,293,719,1,1,1,bracket,tree,62,normalized,
clock,9:00 AM,elder_zoom_heavy,co_present,"[258, 378]",278,830,108,743,466,920,1,1,1,bracket,tree,62,normalized,
clock,World Clock,elder_zoom_heavy,co_present,"[300, 970]",324,2130,221,2130,426,2170,1,1,1,bracket,tree,59,normalized,
clock,Timers,elder_zoom_heavy,co_present,"[500, 981]",540,2154,483,2130,597,2170,1,1,1,bracket,tree,57,normalized,
clock,Stopwatch,elder_zoom_heavy,co_present,"[700, 965]",756,2119,666,2130,845,2170,1,1,1,bracket,tree,59,normalized,
