screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space,image_sent_size
clock,Mon-Fri,baseline,co_present,"{""coordinates"": [127, 176]}",179,249,95,221,266,283,1,1,1,bracket,vision,0,,763x1568
clock,8:30 AM,baseline,co_present,"{""coordinates"": [170, 270]}",240,382,95,304,393,459,1,1,1,bracket,vision,0,,763x1568
clock,Sun Sat,baseline,co_present,"{""coordinates"": [123, 424]}",174,600,95,570,256,632,1,1,1,bracket,vision,0,,763x1568
clock,9:00 AM,baseline,co_present,"{""coordinates"": [155, 515]}",219,728,95,653,408,808,1,1,1,bracket,vision,0,,763x1568
clock,World Clock,baseline,co_present,"{""coordinates"": [228, 1757]}",-1,-1,221,2162,426,2202,0,1,0,bracket,vision,0,,763x1568
clock,Timers,baseline,co_present,"{""coordinates"": [381, 1755]}",-1,-1,482,2162,596,2202,0,1,0,bracket,vision,0,,763x1568
clock,Stopwatch,baseline,co_present,"{""coordinates"": [533, 1757]}",-1,-1,666,2162,845,2202,0,1,0,bracket,vision,0,,763x1568
clock,Bedtime,baseline,co_present,"{""coordinates"": [687, 1757]}",-1,-1,900,2162,1042,2202,0,1,0,bracket,vision,0,,763x1568
clock,Mon-Fri,elder_text_heavy,co_present,"{""coordinates"": [145, 184]}",205,260,95,221,319,304,1,1,1,bracket,vision,0,,763x1568
clock,8:30 AM,elder_text_heavy,co_present,"{""coordinates"": [149, 283]}",210,400,95,325,393,480,1,1,1,bracket,vision,0,,763x1568
clock,Sun Sat,elder_text_heavy,co_present,"{""coordinates"": [141, 447]}",199,632,95,591,309,674,1,1,1,bracket,vision,0,,763x1568
clock,9:00 AM,elder_text_heavy,co_present,"{""coordinates"": [150, 545]}",212,771,95,695,408,850,1,1,1,bracket,vision,0,,763x1568
clock,World Clock,elder_text_heavy,co_present,"{""coordinates"": [228, 1758]}",-1,-1,216,2160,432,2203,0,1,0,bracket,vision,0,,763x1568
clock,Timers,elder_text_heavy,co_present,"{""coordinates"": [381, 1757]}",-1,-1,478,2160,600,2203,0,1,0,bracket,vision,0,,763x1568
clock,Stopwatch,elder_text_heavy,co_present,"{""coordinates"": [534, 1757]}",-1,-1,660,2160,851,2203,0,1,0,bracket,vision,0,,763x1568
clock,Bedtime,elder_text_heavy,co_present,"{""coordinates"": [687, 1757]}",-1,-1,896,2160,1047,2203,0,1,0,bracket,vision,0,,763x1568
clock,Mon-Fri,elder_zoom_heavy,co_present,"{""coordinates"": [146, 203]}",204,284,108,252,303,322,1,1,1,bracket,vision,0,,771x1568
clock,8:30 AM,elder_zoom_heavy,co_present,"{""coordinates"": [175, 310]}",245,434,108,346,448,523,1,1,1,bracket,vision,0,,771x1568
clock,Sun Sat,elder_zoom_heavy,co_present,"{""coordinates"": [142, 487]}",198,682,108,649,293,719,1,1,1,bracket,vision,0,,771x1568
clock,9:00 AM,elder_zoom_heavy,co_present,"{""coordinates"": [207, 593]}",289,830,108,743,466,920,1,1,1,bracket,vision,0,,771x1568
clock,World Clock,elder_zoom_heavy,co_present,"{""coordinates"": [231, 1745]}",-1,-1,221,2130,426,2170,0,1,0,bracket,vision,0,,771x1568
clock,Timers,elder_zoom_heavy,co_present,"{""coordinates"": [386, 1748]}",-1,-1,483,2130,597,2170,0,1,0,bracket,vision,0,,771x1568
clock,Stopwatch,elder_zoom_heavy,co_present,"{""coordinates"": [539, 1748]}",-1,-1,666,2130,845,2170,0,1,0,bracket,vision,0,,771x1568
clock,Bedtime,elder_zoom_heavy,co_present,"{""coordinates"": [694, 1748]}",-1,-1,901,2130,1043,2170,0,1,0,bracket,vision,0,,771x1568
clock,Mon-Fri,elder_combo_max,co_present,"{""coordinates"": [192, 235]}",266,326,117,273,419,386,1,1,1,bracket,vision,0,,778x1568
