screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,Mon-Fri,baseline,"[180, 251]",180,251,95,221,266,283,1
clock,8:30 AM,baseline,"[245, 387]",245,387,95,304,393,459,1
clock,Sun Sat,baseline,"[176, 604]",176,604,95,570,256,632,1
clock,9:00 AM,baseline,"[253, 738]",253,738,95,653,408,808,1
clock,World Clock,baseline,"[324, 2169]",324,2169,221,2162,426,2202,1
clock,Timers,baseline,"[542, 2153]",542,2153,482,2162,596,2202,1
clock,Stopwatch,baseline,"[754, 2164]",754,2164,666,2162,845,2202,1
clock,Bedtime,baseline,"[975, 2168]",975,2168,900,2162,1042,2202,1
clock,Mon-Fri,elder_text_heavy,"[204, 264]",204,264,95,221,319,304,1
clock,8:30 AM,elder_text_heavy,"[245, 418]",245,418,95,325,393,480,1
clock,Sun Sat,elder_text_heavy,"[202, 638]",202,638,95,591,309,674,1
clock,9:00 AM,elder_text_heavy,"[253, 774]",253,774,95,695,408,850,1
clock,World Clock,elder_text_heavy,"[324, 2149]",324,2149,216,2160,432,2203,1
clock,Timers,elder_text_heavy,"[540, 2168]",540,2168,478,2160,600,2203,1
clock,Stopwatch,elder_text_heavy,"[756, 2164]",756,2164,660,2160,851,2203,1
clock,Bedtime,elder_text_heavy,"[971, 2162]",971,2162,896,2160,1047,2203,1
clock,Mon-Fri,elder_zoom_heavy,"[203, 286]",203,286,108,252,303,322,1
clock,8:30 AM,elder_zoom_heavy,"[278, 435]",278,435,108,346,448,523,1
clock,Sun Sat,elder_zoom_heavy,"[200, 686]",200,686,108,649,293,719,1
clock,9:00 AM,elder_zoom_heavy,"[290, 829]",290,829,108,743,466,920,1
clock,World Clock,elder_zoom_heavy,"[323, 2115]",323,2115,221,2130,426,2170,1
clock,Timers,elder_zoom_heavy,"[539, 2125]",539,2125,483,2130,597,2170,1
clock,Stopwatch,elder_zoom_heavy,"[756, 2133]",756,2133,666,2130,845,2170,1
clock,Bedtime,elder_zoom_heavy,"[956, 2112]",956,2112,901,2130,1043,2170,1
clock,Mon-Fri,elder_combo_max,"[264, 332]",264,332,117,273,419,386,1
clock,8:30 AM,elder_combo_max,"[310, 513]",310,513,117,412,495,609,1
clock,Sun Sat,elder_combo_max,"[259, 798]",259,798,117,746,403,859,1
clock,9:00 AM,elder_combo_max,"[315, 987]",315,987,117,885,513,1082,1
clock,World Clock,elder_combo_max,"[324, 2112]",324,2112,216,2106,432,2151,1
clock,Timers,elder_combo_max,"[540, 2113]",540,2113,476,2106,604,2151,1
clock,Stopwatch,elder_combo_max,"[754, 2127]",754,2127,654,2106,857,2151,1
clock,Bedtime,elder_combo_max,"[973, 2129]",973,2129,892,2106,1052,2151,1
clock,Mon-Fri,elder_combo_rtl,"[242, 303]",242,303,108,252,378,352,1
clock,8:30 AM,elder_combo_rtl,"[279, 471]",279,471,108,376,448,553,1
clock,Sun Sat,elder_combo_rtl,"[238, 732]",238,732,108,679,363,779,1
clock,9:00 AM,elder_combo_rtl,"[286, 894]",286,894,108,803,466,980,1
clock,World Clock,elder_combo_rtl,"[326, 2115]",326,2115,216,2130,432,2174,1
