screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,8:30 AM,baseline,"```json [{""point"": [240, 311], ""label"": ""text""}] ```",240,311,84,231,429,414,1
clock,"Mon, Tue, Wed, Thu, Fri",baseline,"[267, 212]",267,212,84,450,493,505,0
clock,9:00 AM,baseline,"[237, 309]",237,309,84,603,429,786,0
clock,"Sun, Sat",baseline,"[150, 376]",150,376,84,822,241,877,0
clock,Clock,baseline,"[300, 960]",300,960,280,2196,367,2246,0
clock,Timer,baseline,"```json [498, 2235] ```",498,2235,496,2196,584,2246,1
clock,Stopwatch,baseline,"```json [   {""point"": [699, 2216], ""label"": ""text""} ] ```",699,2216,675,2196,836,2246,1
clock,Bedtime,baseline,"```json [   {""point"": [899, 2210]} ] ```",899,2210,908,2196,1035,2246,0
clock,8:30 AM,elder_text_heavy,"[203, 142]",203,142,84,231,429,414,0
clock,"Mon, Tue, Wed, Thu, Fri",elder_text_heavy,"[346, 212]",346,212,84,438,665,517,0
clock,9:00 AM,elder_text_heavy,"[238, 305]",238,305,84,603,429,786,0
clock,"Sun, Sat",elder_text_heavy,"[178, 372]",178,372,84,810,301,889,0
clock,Clock,elder_text_heavy,"[300, 977]",300,977,280,2196,367,2246,0
clock,Timer,elder_text_heavy,"```json [499, 2223] ```",499,2223,496,2196,584,2246,1
clock,Stopwatch,elder_text_heavy,"[700, 953]",700,953,675,2196,836,2246,0
clock,Bedtime,elder_text_heavy,"[899, 977]",899,977,908,2196,1035,2246,0
clock,8:30 AM,elder_zoom_heavy,"[270, 169]",270,169,96,264,487,472,0
clock,"Mon, Tue, Wed, Thu, Fri",elder_zoom_heavy,"[300, 241]",300,241,96,513,554,575,0
clock,9:00 AM,elder_zoom_heavy,"[230, 345]",230,345,96,688,487,896,0
clock,"Sun, Sat",elder_zoom_heavy,"[169, 432]",169,432,96,937,269,999,0
clock,Clock,elder_zoom_heavy,"[300, 971]",300,971,275,2168,373,2224,0
clock,Timer,elder_zoom_heavy,"[540, 2197]",540,2197,491,2168,589,2224,1
clock,Stopwatch,elder_zoom_heavy,"[699, 971]",699,971,664,2168,848,2224,0
clock,Bedtime,elder_zoom_heavy,"[900, 955]",900,955,900,2168,1044,2224,0
clock,8:30 AM,elder_combo_max,"[300, 180]",300,180,104,286,541,516,0
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_max,"[415, 277]",415,277,104,516,794,714,0
clock,9:00 AM,elder_combo_max,"[253, 401]",253,401,104,792,541,1022,0
clock,"Sun, Sat",elder_combo_max,"[230, 489]",230,489,104,1046,393,1154,0
clock,Clock,elder_combo_max,"[300, 966]",300,966,271,2148,377,2209,0
clock,Timer,elder_combo_max,"```json [   {""point"": [500, 2173], ""label"": ""text""} ] ```",500,2173,487,2148,593,2209,1
clock,Stopwatch,elder_combo_max,"```json [   {""point"": [699, 2168], ""label"": ""Stopwatch""} ] ```",699,2168,657,2148,854,2209,1
clock,Bedtime,elder_combo_max,"[899, 966]",899,966,894,2148,1049,2209,0
clock,8:30 AM,elder_combo_rtl,"[269, 163]",269,163,96,264,487,472,0
clock,"Mon, Tue, Wed, Thu, Fri",elder_combo_rtl,"[416, 240]",416,240,96,496,800,592,0
clock,9:00 AM,elder_combo_rtl,"[272, 355]",272,355,96,688,487,896,0
clock,"Sun, Sat",elder_combo_rtl,"[210, 428]",210,428,96,920,358,1016,0
clock,Clock,elder_combo_rtl,"[300, 2197]",300,2197,275,2168,373,2224,1
clock,Timer,elder_combo_rtl,"[499, 971]",499,971,491,2168,589,2224,0
clock,Stopwatch,elder_combo_rtl,"[700, 2209]",700,2209,664,2168,848,2224,1
clock,Bedtime,elder_combo_rtl,"[899, 971]",899,971,900,2168,1044,2224,0
contacts,All contacts,baseline,"```json [224, 256] ```",224,256,142,226,342,279,1
contacts,No contacts yet,baseline,"[500, 626]",500,626,317,1378,763,1462,0
contacts,Contacts,baseline,"[295, 2197]",295,2197,249,2216,387,2258,0
contacts,Organize,baseline,"```json [704, 2217] ```",704,2217,692,2216,829,2258,1
contacts,All contacts,elder_text_heavy,"[267, 110]",267,110,142,214,436,291,0
contacts,No contacts yet,elder_text_heavy,"[499, 622]",499,622,289,1365,792,1461,0
contacts,Contacts,elder_text_heavy,"[295, 977]",295,977,223,2202,414,2258,0
contacts,Organize,elder_text_heavy,"```json [   {""point"": [705, 2215]} ] ```",705,2215,666,2202,855,2258,1
contacts,All contacts,elder_zoom_heavy,"[257, 127]",257,127,162,258,394,318,0
contacts,No contacts yet,elder_zoom_heavy,"[500, 642]",500,642,284,1404,796,1500,0
contacts,Contacts,elder_zoom_heavy,"[264, 2208]",264,2208,208,2190,365,2238,1
contacts,Organize,elder_zoom_heavy,"[732, 981]",732,981,714,2190,869,2238,0
contacts,All contacts,elder_combo_max,"```json [339, 315] ```",339,315,176,260,584,366,1
contacts,No contacts yet,elder_combo_max,"[500, 650]",500,650,199,1397,881,1526,0
contacts,Contacts,elder_combo_max,"[250, 971]",250,971,136,2146,404,2224,0
contacts,Organize,elder_combo_max,"[749, 971]",749,971,676,2146,943,2224,0
contacts,All contacts,elder_combo_rtl,"[320, 305]",320,305,162,241,527,336,1
contacts,No contacts yet,elder_combo_rtl,"[499, 642]",499,642,242,1387,839,1499,0
contacts,Contacts,elder_combo_rtl,"[266, 977]",266,977,170,2171,404,2238,0
contacts,Organize,elder_combo_rtl,"[735, 953]",735,953,676,2171,908,2238,0
dialer,Phone Number,baseline,"[500, 204]",500,204,147,955,933,1099,0
dialer,1,baseline,"[173, 532]",173,532,169,1148,203,1252,0
dialer,2,baseline,"[499, 529]",499,529,518,1152,561,1256,0
dialer,ABC,baseline,"[499, 563]",499,563,505,1256,574,1300,0
dialer,3,baseline,"[826, 545]",826,545,870,1152,914,1256,0
dialer,DEF,baseline,"[826, 563]",826,563,861,1256,924,1300,0
dialer,4,baseline,"[172, 611]",172,611,163,1343,210,1447,0
dialer,GHI,baseline,"[173, 642]",173,642,157,1447,216,1491,0
dialer,5,baseline,"[500, 614]",500,614,516,1343,562,1447,0
dialer,JKL,baseline,"[498, 642]",498,642,510,1447,569,1491,0
dialer,6,baseline,"[826, 616]",826,616,869,1343,915,1447,0
dialer,MNO,baseline,"[826, 642]",826,642,852,1447,933,1491,0
dialer,7,baseline,"[173, 706]",173,706,166,1535,208,1639,0
dialer,PQRS,baseline,"```json [   {""point"": [173, 1640], ""label"": ""PQRS""} ] ```",173,1640,142,1639,232,1683,1
dialer,8,baseline,"[499, 696]",499,696,517,1535,562,1639,0
dialer,TUV,baseline,"[499, 729]",499,729,507,1639,573,1683,0
dialer,9,baseline,"```json [   {""point"": [826, 1493], ""label"": ""9""} ] ```",826,1493,869,1535,915,1639,0
dialer,WXYZ,baseline,"[826, 729]",826,729,846,1639,939,1683,0
dialer,∗,baseline,"[173, 792]",173,792,168,1723,206,1835,0
dialer,0,baseline,"[499, 810]",499,810,512,1727,567,1831,0
