screen,target_text,profile,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score
clock,Mon-Fri,baseline,"[174, 230]",174,230,95,221,266,283,1
clock,8:30 AM,baseline,"[228, 350]",228,350,95,304,393,459,1
clock,Sun Sat,baseline,"[175, 558]",175,558,95,570,256,632,1
clock,9:00 AM,baseline,"[249, 672]",249,672,95,653,408,808,1
clock,World Clock,baseline,"[322, 2156]",322,2156,221,2162,426,2202,1
clock,Timers,baseline,"[540, 2142]",540,2142,482,2162,596,2202,1
clock,Stopwatch,baseline,"[757, 2154]",757,2154,666,2162,845,2202,1
clock,Bedtime,baseline,"[882, 2130]",882,2130,900,2162,1042,2202,0
clock,Mon-Fri,elder_text_heavy,"[192, 240]",192,240,95,221,319,304,1
clock,8:30 AM,elder_text_heavy,"[229, 372]",229,372,95,325,393,480,1
clock,Sun Sat,elder_text_heavy,"[177, 584]",177,584,95,591,309,674,1
clock,9:00 AM,elder_text_heavy,"[234, 776]",234,776,95,695,408,850,1
clock,World Clock,elder_text_heavy,"[324, 2168]",324,2168,216,2160,432,2203,1
clock,Timers,elder_text_heavy,"[541, 2169]",541,2169,478,2160,600,2203,1
clock,Stopwatch,elder_text_heavy,"[747, 2154]",747,2154,660,2160,851,2203,1
clock,Bedtime,elder_text_heavy,"[954, 2162]",954,2162,896,2160,1047,2203,1
clock,Mon-Fri,elder_zoom_heavy,"[186, 267]",186,267,108,252,303,322,1
clock,8:30 AM,elder_zoom_heavy,"[249, 406]",249,406,108,346,448,523,1
clock,Sun Sat,elder_zoom_heavy,"[169, 637]",169,637,108,649,293,719,1
clock,9:00 AM,elder_zoom_heavy,"[273, 774]",273,774,108,743,466,920,1
clock,World Clock,elder_zoom_heavy,"[320, 2151]",320,2151,221,2130,426,2170,1
clock,Timers,elder_zoom_heavy,"[539, 2140]",539,2140,483,2130,597,2170,1
clock,Stopwatch,elder_zoom_heavy,"[756, 2110]",756,2110,666,2130,845,2170,1
clock,Bedtime,elder_zoom_heavy,"[977, 2151]",977,2151,901,2130,1043,2170,1
clock,Mon-Fri,elder_combo_max,"[252, 305]",252,305,117,273,419,386,1
clock,8:30 AM,elder_combo_max,"[293, 480]",293,480,117,412,495,609,1
clock,Sun Sat,elder_combo_max,"[218, 753]",218,753,117,746,403,859,1
clock,9:00 AM,elder_combo_max,"[304, 924]",304,924,117,885,513,1082,1
clock,World Clock,elder_combo_max,"[326, 2114]",326,2114,216,2106,432,2151,1
clock,Timers,elder_combo_max,"[540, 2134]",540,2134,476,2106,604,2151,1
clock,Stopwatch,elder_combo_max,"[765, 2108]",765,2108,654,2106,857,2151,1
clock,Bedtime,elder_combo_max,"[928, 2114]",928,2114,892,2106,1052,2151,1
clock,Mon-Fri,elder_combo_rtl,"[226, 279]",226,279,108,252,378,352,1
clock,8:30 AM,elder_combo_rtl,"[251, 432]",251,432,108,376,448,553,1
clock,Sun Sat,elder_combo_rtl,"[216, 688]",216,688,108,679,363,779,1
clock,9:00 AM,elder_combo_rtl,"[256, 830]",256,830,108,803,466,980,1
clock,World Clock,elder_combo_rtl,"[303, 2160]",303,2160,216,2130,432,2174,1
clock,Timers,elder_combo_rtl,"[540, 2125]",540,2125,477,2130,603,2174,1
clock,Stopwatch,elder_combo_rtl,"[756, 2132]",756,2132,658,2130,854,2174,1
clock,Bedtime,elder_combo_rtl,"[956, 2118]",956,2118,894,2130,1049,2174,1
clock,Mon-Fri,colorblind_deuteranomaly,"[171, 239]",171,239,95,221,266,283,1
clock,8:30 AM,colorblind_deuteranomaly,"[239, 348]",239,348,95,304,393,459,1
clock,Sun Sat,colorblind_deuteranomaly,"[176, 551]",176,551,95,570,256,632,1
clock,9:00 AM,colorblind_deuteranomaly,"[241, 676]",241,676,95,653,408,808,1
clock,World Clock,colorblind_deuteranomaly,"[322, 2138]",322,2138,221,2162,426,2202,1
clock,Timers,colorblind_deuteranomaly,"[539, 2140]",539,2140,482,2162,596,2202,1
clock,Stopwatch,colorblind_deuteranomaly,"[756, 2133]",756,2133,666,2162,845,2202,1
clock,Bedtime,colorblind_deuteranomaly,"[929, 2168]",929,2168,900,2162,1042,2202,1
contacts,All contacts,baseline,"[230, 233]",230,233,142,226,342,279,1
contacts,Your info,baseline,"[286, 384]",286,384,221,389,346,431,1
contacts,Andres,baseline,"[313, 439]",313,439,221,431,365,494,1
contacts,No contacts yet,baseline,"[540, 1383]",540,1383,317,1446,763,1530,0
contacts,Contacts,baseline,"[176, 2153]",176,2153,110,2161,248,2203,1
contacts,Highlights,baseline,"[540, 2147]",540,2147,463,2161,616,2203,1
contacts,Organize,baseline,"[900, 2182]",900,2182,831,2161,968,2203,1
contacts,All contacts,elder_text_heavy,"[267, 231]",267,231,142,214,436,291,1
contacts,Your info,elder_text_heavy,"[299, 395]",299,395,221,389,400,448,1
contacts,Andres,elder_text_heavy,"[308, 450]",308,450,221,448,412,534,1
contacts,No contacts yet,elder_text_heavy,"[540, 1606]",540,1606,289,1453,792,1549,0
contacts,Contacts,elder_text_heavy,"[165, 2175]",165,2175,84,2147,275,2203,1
contacts,Highlights,elder_text_heavy,"[540, 2158]",540,2158,434,2147,646,2203,1
contacts,Organize,elder_text_heavy,"[831, 2158]",831,2158,805,2147,994,2203,1
contacts,All contacts,elder_zoom_heavy,"[266, 273]",266,273,162,258,394,318,1
